Alternative,SpNo,Spp,Yr,ABC,OFL,Catch,SSB,R,F,Tot_biom,SPR_Implied,Ntot,SexRatio,FABC,FOFL,B0,B40,B35
1,1,goa_wp,2033,108179,125189,108179,149089,14054.4,0.218363,819593,0.47995,524.792,0.5,0.218363,0.256351,476575,190630,166801
1,1,goa_wp,2034,96345.8,111189,96345.8,154251,1056.68,0.226439,1.82983e+06,0.468804,464.881,0.5,0.226439,0.26555,476575,190630,166801
1,1,goa_wp,2035,63357.2,73526,63357.2,122946,3947.21,0.177456,1.16235e+06,0.542701,402.983,0.5,0.177456,0.208432,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,626.615,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168364,195824,168364,226545,54.5554,0.283367,1.32596e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,161803,187788,161803,209815,90.8476,0.283367,972584,0.4,631.636,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,120967,139168,120967,187390,105.781,0.278296,660062,0.405501,549.39,0.5,0.278296,0.326389,476575,190630,166801
1,1,goa_wp,2026,69183.4,79855.3,69183.4,155317,385.932,0.228109,452845,0.466547,400.73,0.5,0.228109,0.267772,476575,190630,166801
1,1,goa_wp,2027,30488.5,35451.3,30488.5,111132,1159.26,0.158974,335036,0.574918,272.267,0.5,0.158974,0.187067,476575,190630,166801
1,1,goa_wp,2028,0,17634.3,0,87707,723.55,0,336645,1,192.942,0.5,0,0.141714,476575,190630,166801
1,1,goa_wp,2029,0,11128.6,0,71387.6,437.531,0,305511,1,155.701,0.5,0,0.112629,476575,190630,166801
1,1,goa_wp,2030,0,6031.3,0,59367.4,226.541,0,281794,1,134.514,0.5,0,0.0916481,476575,190630,166801
1,1,goa_wp,2031,0,6956.66,0,52897.6,371.75,0,247609,1,131.807,0.5,0,0.0796631,476575,190630,166801
1,1,goa_wp,2032,0,7417.01,0,51541,446.218,0,232270,1,135.9,0.5,0,0.077015,476575,190630,166801
1,1,goa_wp,2033,0,7519.5,0,50795.7,651.239,0,221310,1,133.557,0.5,0,0.0754554,476575,190630,166801
1,1,goa_wp,2034,0,6783.55,0,47268.4,287.637,0,230946,1,122.793,0.5,0,0.0689628,476575,190630,166801
1,1,goa_wp,2035,0,6047.61,0,43774.2,746.321,0,204075,1,111.967,0.5,0,0.0625895,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,72.8098,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168341,195797,168341,226545,218.462,0.283367,1.27746e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,161488,187416,161488,209732,109.833,0.283367,961406,0.4,629.546,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,117832,135528,117832,186964,309.509,0.27763,639098,0.406232,545.827,0.5,0.27763,0.32561,476575,190630,166801
1,1,goa_wp,2026,65602.1,75732.1,65602.1,153318,818.599,0.224981,456307,0.470789,391.421,0.5,0.224981,0.264118,476575,190630,166801
1,1,goa_wp,2027,28552.7,33218.6,28552.7,108466,797.234,0.154802,374980,0.58256,263.052,0.5,0.154802,0.182186,476575,190630,166801
1,1,goa_wp,2028,0,17058.7,0,85419.9,848.47,0,330884,1,189.754,0.5,0,0.137708,476575,190630,166801
1,1,goa_wp,2029,0,12207.2,0,71108.8,134.304,0,329428,1,157.943,0.5,0,0.112161,476575,190630,166801
1,1,goa_wp,2030,0,7237.05,0,61418.3,538.529,0,266489,1,145.38,0.5,0,0.0953785,476575,190630,166801
1,1,goa_wp,2031,0,8270.08,0,56295.3,288.567,0,271022,1,142.538,0.5,0,0.085783,476575,190630,166801
1,1,goa_wp,2032,0,8550.67,0,54738.9,189.762,0,232943,1,143.54,0.5,0,0.0827159,476575,190630,166801
1,1,goa_wp,2033,0,8109,0,52045.1,26528.6,0,205180,1,135.738,0.5,0,0.0776789,476575,190630,166801
1,1,goa_wp,2034,0,7590.35,0,48758.1,1397.61,0,2.49104e+06,1,123.581,0.5,0,0.0716443,476575,190630,166801
1,1,goa_wp,2035,0,10298.4,0,48499.5,119.809,0,1.48333e+06,1,210.547,0.5,0,0.0712316,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,160.234,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168344,195801,168344,226545,1197.95,0.283367,1.28512e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,161580,187525,161580,209745,507.755,0.283367,1.05122e+06,0.4,629.876,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,119001,136889,119001,187177,679.993,0.277963,723873,0.405866,550.184,0.5,0.277963,0.326,476575,190630,166801
1,1,goa_wp,2026,71146.3,82182.8,71146.3,154491,120.243,0.226816,564244,0.468293,401.93,0.5,0.226816,0.266267,476575,190630,166801
1,1,goa_wp,2027,36165.9,42077.9,36165.9,113334,3553.65,0.162419,398683,0.568713,288.722,0.5,0.162419,0.191116,476575,190630,166801
1,1,goa_wp,2028,0,25952.2,0,94816.1,5739.56,0,610235,1,225.26,0.5,0,0.154295,476575,190630,166801
1,1,goa_wp,2029,0,20633.1,0,85463.1,649.5,0,906086,1,210.366,0.5,0,0.137607,476575,190630,166801
1,1,goa_wp,2030,0,20231.3,0,76992.2,263.686,0,704160,1,216.047,0.5,0,0.123333,476575,190630,166801
1,1,goa_wp,2031,0,39627.6,0,82738.4,147.805,0,689222,1,257.465,0.5,0,0.133295,476575,190630,166801
1,1,goa_wp,2032,54696.9,63790.5,54696.9,106117,389.889,0.151126,590453,0.589413,350.087,0.5,0.151126,0.177877,476575,190630,166801
1,1,goa_wp,2033,53070.9,61630.3,53070.9,118194,173.495,0.170022,468404,0.555345,360.862,0.5,0.170022,0.199872,476575,190630,166801
1,1,goa_wp,2034,37394.3,43456,37394.3,106520,8399.88,0.151755,350803,0.588233,293.053,0.5,0.151755,0.178426,476575,190630,166801
1,1,goa_wp,2035,0,25483,0,85316.8,9894.31,0,992088,1,214.367,0.5,0,0.136544,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,151.231,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168344,195801,168344,226545,657.374,0.283367,1.28433e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,161552,187492,161552,209743,350.186,0.283367,1.00346e+06,0.4,629.842,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,118588,136407,118588,187091,2226.85,0.277829,684659,0.406013,548.075,0.5,0.277829,0.325843,476575,190630,166801
1,1,goa_wp,2026,68478.9,79077.1,68478.9,154004,371.156,0.226054,662632,0.469327,397.117,0.5,0.226054,0.265374,476575,190630,166801
1,1,goa_wp,2027,32970.9,38366.7,32970.9,111198,1234.02,0.159077,459079,0.574731,282.581,0.5,0.159077,0.1872,476575,190630,166801
1,1,goa_wp,2028,0,26846.9,0,91653.5,1246.38,0,479495,1,220.471,0.5,0,0.148767,476575,190630,166801
1,1,goa_wp,2029,0,25063.6,0,86270.9,172.878,0,474279,1,217.583,0.5,0,0.139147,476575,190630,166801
1,1,goa_wp,2030,0,20181.4,0,83349.8,190.757,0,381607,1,220.756,0.5,0,0.134627,476575,190630,166801
1,1,goa_wp,2031,0,23135.8,0,82351.4,1788.61,0,346465,1,216.828,0.5,0,0.132299,476575,190630,166801
1,1,goa_wp,2032,0,22000.6,0,79036.9,900.173,0,435201,1,211.899,0.5,0,0.12609,476575,190630,166801
1,1,goa_wp,2033,0,19409.7,0,77535.1,178.103,0,388528,1,202.026,0.5,0,0.1232,476575,190630,166801
1,1,goa_wp,2034,0,18238,0,71132.3,757.025,0,338015,1,182.421,0.5,0,0.11177,476575,190630,166801
1,1,goa_wp,2035,0,16746.8,0,67701.3,242.477,0,354885,1,178.207,0.5,0,0.10598,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,256.699,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168348,195806,168348,226545,76.1931,0.283367,1.29357e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,161589,187535,161589,209759,4508.7,0.283367,957424,0.4,630.24,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,118996,136881,118996,187092,80.3206,0.277831,1.02782e+06,0.406011,546.678,0.5,0.277831,0.325845,476575,190630,166801
1,1,goa_wp,2026,68679.6,79309.8,68679.6,154554,359.547,0.226915,639332,0.468159,410.481,0.5,0.226915,0.266383,476575,190630,166801
1,1,goa_wp,2027,43571.3,50786.2,43571.3,112581,1816.03,0.16124,563174,0.570825,296.93,0.5,0.16124,0.189744,476575,190630,166801
1,1,goa_wp,2028,36275.4,42324.7,36275.4,102700,192.747,0.14578,586586,0.599581,274.859,0.5,0.14578,0.171652,476575,190630,166801
1,1,goa_wp,2029,27680.3,32303.4,27680.3,95674.5,7502.43,0.13473,411698,0.621384,263.336,0.5,0.13473,0.15869,476575,190630,166801
1,1,goa_wp,2030,0,24109.5,0,87863.8,457.128,0,996389,1,224.397,0.5,0,0.142184,476575,190630,166801
1,1,goa_wp,2031,0,24557,0,80852.4,893.055,0,666610,1,238.988,0.5,0,0.129482,476575,190630,166801
1,1,goa_wp,2032,0,41259,0,84389.6,174.945,0,736701,1,254.786,0.5,0,0.135503,476575,190630,166801
1,1,goa_wp,2033,55349.4,64554.6,55349.4,104806,390.517,0.149075,626599,0.593286,335.048,0.5,0.149075,0.17541,476575,190630,166801
1,1,goa_wp,2034,50612.4,58868.2,50612.4,113617,229.579,0.162861,498577,0.567923,356.412,0.5,0.162861,0.191567,476575,190630,166801
1,1,goa_wp,2035,41637.5,48368.9,41637.5,111280,2504.57,0.159204,388297,0.574501,307.584,0.5,0.159204,0.187162,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,279.207,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168349,195807,168349,226545,142.715,0.283367,1.29554e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,161605,187554,161605,209763,1344.04,0.283367,964288,0.4,630.325,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,119041,136932,119041,187120,433.702,0.277875,754948,0.405963,547.099,0.5,0.277875,0.325896,476575,190630,166801
1,1,goa_wp,2026,67518.4,77949,67518.4,154232,1475.84,0.226412,528977,0.468842,399.466,0.5,0.226412,0.265791,476575,190630,166801
1,1,goa_wp,2027,33413.2,38895.8,33413.2,110448,1301.59,0.157904,508108,0.576865,276.299,0.5,0.157904,0.185823,476575,190630,166801
1,1,goa_wp,2028,0,24742.1,0,91882.4,2174.26,0,470393,1,220.206,0.5,0,0.149185,476575,190630,166801
1,1,goa_wp,2029,0,22145.6,0,83226.3,658.913,0,556793,1,206.823,0.5,0,0.133707,476575,190630,166801
1,1,goa_wp,2030,0,19348.2,0,80115.1,193.785,0,477763,1,211.395,0.5,0,0.128906,476575,190630,166801
1,1,goa_wp,2031,0,24664.3,0,79004.7,229.6,0,424305,1,222.562,0.5,0,0.126461,476575,190630,166801
1,1,goa_wp,2032,0,29725,0,85449.1,293.561,0,376556,1,240.486,0.5,0,0.137498,476575,190630,166801
1,1,goa_wp,2033,0,29220.3,0,88439.4,279.319,0,326813,1,242.5,0.5,0,0.142389,476575,190630,166801
1,1,goa_wp,2034,0,24147.1,0,85960.9,133.35,0,286893,1,219.296,0.5,0,0.137986,476575,190630,166801
1,1,goa_wp,2035,0,17884.2,0,75790.6,1255.19,0,240641,1,184.236,0.5,0,0.119963,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,1368.11,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168395,195861,168395,226545,1872.45,0.283367,1.39091e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,162310,188386,162310,209927,194.606,0.283367,1.16598e+06,0.4,634.435,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,126541,145645,126541,188254,182.809,0.279649,793375,0.404022,561.851,0.5,0.279649,0.327973,476575,190630,166801
1,1,goa_wp,2026,84167.5,97233.8,84167.5,159625,130.002,0.234849,595688,0.457593,428.92,0.5,0.234849,0.275651,476575,190630,166801
1,1,goa_wp,2027,46501,54021,46501,122988,7784.12,0.177525,423337,0.542585,326.534,0.5,0.177525,0.208794,476575,190630,166801
1,1,goa_wp,2028,27859.3,32440.7,27859.3,103522,489.72,0.147066,983211,0.597113,255.817,0.5,0.147066,0.173103,476575,190630,166801
1,1,goa_wp,2029,0,20573.8,0,85243.6,30457.4,0,620747,1,221.665,0.5,0,0.137125,476575,190630,166801
1,1,goa_wp,2030,0,29056.4,0,76310.3,233.675,0,3.29036e+06,1,215.248,0.5,0,0.12198,476575,190630,166801
1,1,goa_wp,2031,52031.7,60911.4,52031.7,96942,3818.36,0.136772,1.96494e+06,0.617275,407.196,0.5,0.136772,0.161148,476575,190630,166801
1,1,goa_wp,2032,167048,194984,167048,131514,1988.58,0.190865,2.40675e+06,0.520902,561.904,0.5,0.190865,0.224482,476575,190630,166801
1,1,goa_wp,2033,305997,355718,305997,228575,134.776,0.283367,2.0341e+06,0.4,902.404,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2034,265520,307584,265520,273221,9858.96,0.283367,1.41023e+06,0.4,990.448,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2035,213061,246518,213061,264275,149.621,0.283367,1.87737e+06,0.4,802.841,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,72.2276,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168341,195797,168341,226545,350.56,0.283367,1.27741e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,161493,187423,161493,209732,1042.02,0.283367,972948,0.4,629.544,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,117954,135670,117954,186983,1238.49,0.277659,726799,0.4062,546.321,0.5,0.277659,0.325644,476575,190630,166801
1,1,goa_wp,2026,66736.8,77055.9,66736.8,153556,139.591,0.225354,587814,0.47028,395.918,0.5,0.225354,0.264556,476575,190630,166801
1,1,goa_wp,2027,32700.8,38068.9,32700.8,109898,462.973,0.157042,415094,0.57844,276.145,0.5,0.157042,0.184816,476575,190630,166801
1,1,goa_wp,2028,0,25352.5,0,91104.1,771.096,0,367842,1,216.479,0.5,0,0.147817,476575,190630,166801
1,1,goa_wp,2029,0,20905,0,83869.7,133.835,0,351822,1,203.583,0.5,0,0.134851,476575,190630,166801
1,1,goa_wp,2030,0,13229.7,0,77302,59.813,0,278529,1,189.578,0.5,0,0.1238,476575,190630,166801
1,1,goa_wp,2031,0,12406.2,0,68675.5,7807.47,0,239126,1,167.998,0.5,0,0.107934,476575,190630,166801
1,1,goa_wp,2032,0,10587.6,0,61177.2,8190.13,0,876670,1,150.772,0.5,0,0.0942529,476575,190630,166801
1,1,goa_wp,2033,0,9657.38,0,57061,158409,0,1.23096e+06,1,162.555,0.5,0,0.0867494,476575,190630,166801
1,1,goa_wp,2034,0,22883.6,0,56631.2,1580.63,0,1.48033e+07,1,201.062,0.5,0,0.0861134,476575,190630,166801
1,1,goa_wp,2035,118002,138490,118002,106214,374.451,0.151279,8.37276e+06,0.589126,916.536,0.5,0.151279,0.178294,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,3612.73,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168490,195973,168490,226545,3313.23,0.283367,1.58749e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,163673,189996,163673,210267,1810.8,0.283367,1.39566e+06,0.4,642.907,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,140981,162415,140981,190284,4766.22,0.282825,1.12368e+06,0.400582,584.241,0.5,0.282825,0.331688,476575,190630,166801
1,1,goa_wp,2026,112634,130131,112634,169592,281.817,0.250445,1.24783e+06,0.437815,488.704,0.5,0.250445,0.293866,476575,190630,166801
1,1,goa_wp,2027,82246.1,95391,82246.1,143849,338.826,0.210166,861419,0.491658,436.635,0.5,0.210166,0.246964,476575,190630,166801
1,1,goa_wp,2028,77723.2,90270.5,77723.2,135859,349.773,0.197663,743212,0.510325,399.041,0.5,0.197663,0.232306,476575,190630,166801
1,1,goa_wp,2029,67477.6,78347,67477.6,129610,1337.33,0.187885,581730,0.525637,379.937,0.5,0.187885,0.220825,476575,190630,166801
1,1,goa_wp,2030,45636.9,53016.6,45636.9,118926,195.035,0.171168,525159,0.553369,335.037,0.5,0.171168,0.201312,476575,190630,166801
1,1,goa_wp,2031,31047.6,36134.2,31047.6,102843,107.789,0.146004,381420,0.599152,267.453,0.5,0.146004,0.171766,476575,190630,166801
1,1,goa_wp,2032,0,22587,0,82134.4,2341.49,0,308528,1,204.686,0.5,0,0.131469,476575,190630,166801
1,1,goa_wp,2033,0,18338.3,0,76463,345.329,0,456987,1,186.034,0.5,0,0.121528,476575,190630,166801
1,1,goa_wp,2034,0,13883.1,0,70594.2,158.05,0,337179,1,177.818,0.5,0,0.111086,476575,190630,166801
1,1,goa_wp,2035,0,12639.3,0,64576.7,1144.54,0,316691,1,162.855,0.5,0,0.100622,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,654.436,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168365,195826,168365,226545,110.814,0.283367,1.3284e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,161821,187809,161821,209820,6540.43,0.283367,978794,0.4,631.741,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,121434,139713,121434,187420,106.76,0.278344,1.22903e+06,0.405448,549.813,0.5,0.278344,0.326445,476575,190630,166801
1,1,goa_wp,2026,73117.1,84447.2,73117.1,156408,6667.5,0.229817,754570,0.464255,426.026,0.5,0.229817,0.269775,476575,190630,166801
1,1,goa_wp,2027,53874.6,62804.1,53874.6,116799,238.737,0.16784,1.24047e+06,0.559136,322.547,0.5,0.16784,0.197479,476575,190630,166801
1,1,goa_wp,2028,54107.4,63067.5,54107.4,114843,809.024,0.16478,841810,0.564514,348.258,0.5,0.16478,0.193932,476575,190630,166801
1,1,goa_wp,2029,64038.6,74632.3,64038.6,116339,468.788,0.16712,807554,0.560395,364.64,0.5,0.16712,0.196579,476575,190630,166801
1,1,goa_wp,2030,67637.4,78638.5,67637.4,127324,413.444,0.18431,657992,0.531401,388.641,0.5,0.18431,0.216771,476575,190630,166801
1,1,goa_wp,2031,55358.2,64281.8,55358.2,121118,2006.51,0.174598,508042,0.547514,367.079,0.5,0.174598,0.205258,476575,190630,166801
1,1,goa_wp,2032,41625.2,48355.7,41625.2,111946,82.8923,0.160245,551033,0.572618,300.154,0.5,0.160245,0.188377,476575,190630,166801
1,1,goa_wp,2033,0,29176.7,0,89930.8,465.254,0,374282,1,234.84,0.5,0,0.144767,476575,190630,166801
1,1,goa_wp,2034,0,24818.7,0,84131.7,576.499,0,376774,1,208.389,0.5,0,0.135072,476575,190630,166801
1,1,goa_wp,2035,0,22356.9,0,79921.5,80.3707,0,347186,1,202.631,0.5,0,0.127575,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,337.693,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168352,195810,168352,226545,26162.1,0.283367,1.30066e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,162735,188890,162735,209772,1105.12,0.283367,3.24579e+06,0.4,630.546,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,136533,157566,136533,190950,162.674,0.283367,1.93684e+06,0.4,645.743,0.5,0.283367,0.332899,476575,190630,166801
1,1,goa_wp,2026,206749,239941,206749,175105,3367.57,0.259074,1.91314e+06,0.427408,594.563,0.5,0.259074,0.304035,476575,190630,166801
1,1,goa_wp,2027,259033,301186,259033,213304,736.845,0.283367,1.79537e+06,0.4,778.709,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2028,208983,241966,208983,247446,379.747,0.283367,1.21346e+06,0.4,845.961,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2029,165356,191372,165356,226847,236.963,0.283367,913184,0.4,664.217,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2030,103602,119501,103602,164704,338.474,0.242796,641619,0.447355,471.799,0.5,0.242796,0.284791,476575,190630,166801
1,1,goa_wp,2031,61522.8,71221.4,61522.8,134961,1488.07,0.196257,468066,0.512488,354.065,0.5,0.196257,0.230457,476575,190630,166801
1,1,goa_wp,2032,33395.3,38836.1,33395.3,108351,22767,0.154621,451308,0.582897,262.869,0.5,0.154621,0.181814,476575,190630,166801
1,1,goa_wp,2033,0,15442.3,0,84279.8,217.634,0,2.29384e+06,1,199.16,0.5,0,0.136269,476575,190630,166801
1,1,goa_wp,2034,0,20139,0,75631.7,1197.76,0,1.33387e+06,1,256.031,0.5,0,0.120624,476575,190630,166801
1,1,goa_wp,2035,0,79197.4,0,85620.1,722.562,0,1.58466e+06,1,334.492,0.5,0,0.138538,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,208.624,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2023,168346,195804,168346,226545,5493.55,0.283367,1.28936e+06,0.4,668.54,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2024,161789,187772,161789,209752,169.739,0.283367,1.42967e+06,0.4,630.059,0.5,0.283367,0.334834,476575,190630,166801
1,1,goa_wp,2025,122096,140495,122096,187838,699.776,0.278998,894956,0.404732,566.762,0.5,0.278998,0.327214,476575,190630,166801
1,1,goa_wp,2026,92238.5,106738,92238.5,158040,2155.93,0.23237,786352,0.460857,433.736,0.5,0.23237,0.272771,476575,190630,166801
1,1,goa_wp,2027,63971.1,74325.6,63971.1,130575,79.48,0.189395,751515,0.52323,371.292,0.5,0.189395,0.222719,476575,190630,166801
1,1,goa_wp,2028,46774.8,54356.3,46774.8,120353,167.088,0.173402,514603,0.549546,336.725,0.5,0.173402,0.203942,476575,190630,166801
1,1,goa_wp,2029,36974.5,43073.4,36974.5,106239,280.795,0.151317,431960,0.589056,278.533,0.5,0.151317,0.178024,476575,190630,166801
1,1,goa_wp,2030,0,27393.9,0,90602.1,4185.54,0,343757,1,238.175,0.5,0,0.147035,476575,190630,166801
1,1,goa_wp,2031,0,24079.9,0,87923.1,277.926,0,635946,1,222.285,0.5,0,0.141759,476575,190630,166801
1,1,goa_wp,2032,0,19731.2,0,81000.9,1662.04,0,438748,1,206.001,0.5,0,0.129351,476575,190630,166801
1,1,goa_wp,2033,0,19934.5,0,70940.3,38739.7,0,564049,1,188.2,0.5,0,0.112031,476575,190630,166801
1,1,goa_wp,2034,0,27201.6,0,76913.3,658.856,0,3.82605e+06,1,222.617,0.5,0,0.12253,476575,190630,166801
1,1,goa_wp,2035,0,45623.9,0,92225.8,2729.95,0,2.21587e+06,1,398.03,0.5,0,0.149586,476575,190630,166801
1,1,goa_wp,2022,145659,169199,129754,248140,96.5596,0.249586,1.46093e+06,0.438871,735.525,0.5,0.283367,0.334834,476575,190630,166801
