,Fleet_name,Fleet_code,MSE,Year,Catch
66,Pollock_total,8,SS-SSP-245 OM - SS_fixM_Tier3_EM,2096,48308.94516
76,Pollock_total,8,SS-SSP-585 OM - SS_fixM_Tier3_EM,2096,84996.61308
7,Pollock_total,8,MS-Climate naive OM - SS_fixM_Tier3_EM,2097,613081.5215
17,Pollock_total,8,MS-SSP-126 OM - SS_fixM_Tier3_EM,2097,464268.9955
27,Pollock_total,8,MS-SSP-245 OM - SS_fixM_Tier3_EM,2097,28775.66949
37,Pollock_total,8,MS-SSP-585 OM - SS_fixM_Tier3_EM,2097,40429.70004
47,Pollock_total,8,SS-Climate naive OM - SS_fixM_Tier3_EM,2097,352893.9258
57,Pollock_total,8,SS-SSP-126 OM - SS_fixM_Tier3_EM,2097,276146.9737
67,Pollock_total,8,SS-SSP-245 OM - SS_fixM_Tier3_EM,2097,62019.12876
77,Pollock_total,8,SS-SSP-585 OM - SS_fixM_Tier3_EM,2097,131496.3158
8,Pollock_total,8,MS-Climate naive OM - SS_fixM_Tier3_EM,2098,531666.713
18,Pollock_total,8,MS-SSP-126 OM - SS_fixM_Tier3_EM,2098,405577.3305
28,Pollock_total,8,MS-SSP-245 OM - SS_fixM_Tier3_EM,2098,95252.34127
38,Pollock_total,8,MS-SSP-585 OM - SS_fixM_Tier3_EM,2098,81209.05013
48,Pollock_total,8,SS-Climate naive OM - SS_fixM_Tier3_EM,2098,289537.6314
58,Pollock_total,8,SS-SSP-126 OM - SS_fixM_Tier3_EM,2098,230722.6822
68,Pollock_total,8,SS-SSP-245 OM - SS_fixM_Tier3_EM,2098,76560.51188
78,Pollock_total,8,SS-SSP-585 OM - SS_fixM_Tier3_EM,2098,127014.4781
9,Pollock_total,8,MS-Climate naive OM - SS_fixM_Tier3_EM,2099,430794.4664
19,Pollock_total,8,MS-SSP-126 OM - SS_fixM_Tier3_EM,2099,330311.2082
29,Pollock_total,8,MS-SSP-245 OM - SS_fixM_Tier3_EM,2099,114587.5069
39,Pollock_total,8,MS-SSP-585 OM - SS_fixM_Tier3_EM,2099,72205.05091
49,Pollock_total,8,SS-Climate naive OM - SS_fixM_Tier3_EM,2099,256768.2202
59,Pollock_total,8,SS-SSP-126 OM - SS_fixM_Tier3_EM,2099,193667.0102
69,Pollock_total,8,SS-SSP-245 OM - SS_fixM_Tier3_EM,2099,74324.0994
79,Pollock_total,8,SS-SSP-585 OM - SS_fixM_Tier3_EM,2099,99725.27544
10,Pollock_total,8,MS-Climate naive OM - SS_fixM_Tier3_EM,2100,434138.6309
20,Pollock_total,8,MS-SSP-126 OM - SS_fixM_Tier3_EM,2100,294137.2369
30,Pollock_total,8,MS-SSP-245 OM - SS_fixM_Tier3_EM,2100,111871.3911
40,Pollock_total,8,MS-SSP-585 OM - SS_fixM_Tier3_EM,2100,144464.5901
50,Pollock_total,8,SS-Climate naive OM - SS_fixM_Tier3_EM,2100,256618.2658
60,Pollock_total,8,SS-SSP-126 OM - SS_fixM_Tier3_EM,2100,191315.6205
70,Pollock_total,8,SS-SSP-245 OM - SS_fixM_Tier3_EM,2100,70504.79585
80,Pollock_total,8,SS-SSP-585 OM - SS_fixM_Tier3_EM,2100,109479.9463
81,ATF_total,11,MS-Climate naive OM - SS_fixM_Tier3_EM,2091,27659.95381
91,ATF_total,11,MS-SSP-126 OM - SS_fixM_Tier3_EM,2091,19814.4058
101,ATF_total,11,MS-SSP-245 OM - SS_fixM_Tier3_EM,2091,15243.36565
111,ATF_total,11,MS-SSP-585 OM - SS_fixM_Tier3_EM,2091,12803.13966
121,ATF_total,11,SS-Climate naive OM - SS_fixM_Tier3_EM,2091,25869.4273
131,ATF_total,11,SS-SSP-126 OM - SS_fixM_Tier3_EM,2091,16504.42766
141,ATF_total,11,SS-SSP-245 OM - SS_fixM_Tier3_EM,2091,13612.611
151,ATF_total,11,SS-SSP-585 OM - SS_fixM_Tier3_EM,2091,11035.3435
82,ATF_total,11,MS-Climate naive OM - SS_fixM_Tier3_EM,2092,27378.14817
92,ATF_total,11,MS-SSP-126 OM - SS_fixM_Tier3_EM,2092,20115.73499
102,ATF_total,11,MS-SSP-245 OM - SS_fixM_Tier3_EM,2092,14397.67273
112,ATF_total,11,MS-SSP-585 OM - SS_fixM_Tier3_EM,2092,12410.17965
122,ATF_total,11,SS-Climate naive OM - SS_fixM_Tier3_EM,2092,25910.97647
132,ATF_total,11,SS-SSP-126 OM - SS_fixM_Tier3_EM,2092,16709.83161
142,ATF_total,11,SS-SSP-245 OM - SS_fixM_Tier3_EM,2092,13098.9198
152,ATF_total,11,SS-SSP-585 OM - SS_fixM_Tier3_EM,2092,10808.30618
83,ATF_total,11,MS-Climate naive OM - SS_fixM_Tier3_EM,2093,27245.54266
93,ATF_total,11,MS-SSP-126 OM - SS_fixM_Tier3_EM,2093,20422.3886
103,ATF_total,11,MS-SSP-245 OM - SS_fixM_Tier3_EM,2093,14096.07466
113,ATF_total,11,MS-SSP-585 OM - SS_fixM_Tier3_EM,2093,12374.41445
123,ATF_total,11,SS-Climate naive OM - SS_fixM_Tier3_EM,2093,25821.26824
133,ATF_total,11,SS-SSP-126 OM - SS_fixM_Tier3_EM,2093,17011.49994
143,ATF_total,11,SS-SSP-245 OM - SS_fixM_Tier3_EM,2093,12864.21724
153,ATF_total,11,SS-SSP-585 OM - SS_fixM_Tier3_EM,2093,10787.53699
84,ATF_total,11,MS-Climate naive OM - SS_fixM_Tier3_EM,2094,26935.10628
94,ATF_total,11,MS-SSP-126 OM - SS_fixM_Tier3_EM,2094,20332.6687
104,ATF_total,11,MS-SSP-245 OM - SS_fixM_Tier3_EM,2094,13237.65976
114,ATF_total,11,MS-SSP-585 OM - SS_fixM_Tier3_EM,2094,11688.70202
124,ATF_total,11,SS-Climate naive OM - SS_fixM_Tier3_EM,2094,25782.4766
134,ATF_total,11,SS-SSP-126 OM - SS_fixM_Tier3_EM,2094,17063.77224
144,ATF_total,11,SS-SSP-245 OM - SS_fixM_Tier3_EM,2094,12296.02676
154,ATF_total,11,SS-SSP-585 OM - SS_fixM_Tier3_EM,2094,10408.55267
85,ATF_total,11,MS-Climate naive OM - SS_fixM_Tier3_EM,2095,26777.16299
95,ATF_total,11,MS-SSP-126 OM - SS_fixM_Tier3_EM,2095,20324.72075
105,ATF_total,11,MS-SSP-245 OM - SS_fixM_Tier3_EM,2095,12945.92247
115,ATF_total,11,MS-SSP-585 OM - SS_fixM_Tier3_EM,2095,11499.32231
125,ATF_total,11,SS-Climate naive OM - SS_fixM_Tier3_EM,2095,25610.81652
135,ATF_total,11,SS-SSP-126 OM - SS_fixM_Tier3_EM,2095,17124.77727
145,ATF_total,11,SS-SSP-245 OM - SS_fixM_Tier3_EM,2095,12019.98135
155,ATF_total,11,SS-SSP-585 OM - SS_fixM_Tier3_EM,2095,10260.52696
86,ATF_total,11,MS-Climate naive OM - SS_fixM_Tier3_EM,2096,26537.52501
96,ATF_total,11,MS-SSP-126 OM - SS_fixM_Tier3_EM,2096,19933.33928
106,ATF_total,11,MS-SSP-245 OM - SS_fixM_Tier3_EM,2096,12346.38636
116,ATF_total,11,MS-SSP-585 OM - SS_fixM_Tier3_EM,2096,10692.8522
126,ATF_total,11,SS-Climate naive OM - SS_fixM_Tier3_EM,2096,25552.72622
136,ATF_total,11,SS-SSP-126 OM - SS_fixM_Tier3_EM,2096,16937.59796
146,ATF_total,11,SS-SSP-245 OM - SS_fixM_Tier3_EM,2096,11505.96639
156,ATF_total,11,SS-SSP-585 OM - SS_fixM_Tier3_EM,2096,9776.160208
87,ATF_total,11,MS-Climate naive OM - SS_fixM_Tier3_EM,2097,26454.55323
97,ATF_total,11,MS-SSP-126 OM - SS_fixM_Tier3_EM,2097,19738.82643
107,ATF_total,11,MS-SSP-245 OM - SS_fixM_Tier3_EM,2097,12200.50987
117,ATF_total,11,MS-SSP-585 OM - SS_fixM_Tier3_EM,2097,10463.3032
127,ATF_total,11,SS-Climate naive OM - SS_fixM_Tier3_EM,2097,25423.05853
137,ATF_total,11,SS-SSP-126 OM - SS_fixM_Tier3_EM,2097,16795.9537
147,ATF_total,11,SS-SSP-245 OM - SS_fixM_Tier3_EM,2097,11321.52523
157,ATF_total,11,SS-SSP-585 OM - SS_fixM_Tier3_EM,2097,9577.526496
88,ATF_total,11,MS-Climate naive OM - SS_fixM_Tier3_EM,2098,26142.13547
98,ATF_total,11,MS-SSP-126 OM - SS_fixM_Tier3_EM,2098,19141.18499
108,ATF_total,11,MS-SSP-245 OM - SS_fixM_Tier3_EM,2098,11908.49362
118,ATF_total,11,MS-SSP-585 OM - SS_fixM_Tier3_EM,2098,9803.658357
128,ATF_total,11,SS-Climate naive OM - SS_fixM_Tier3_EM,2098,25292.28686
138,ATF_total,11,SS-SSP-126 OM - SS_fixM_Tier3_EM,2098,16474.9718
148,ATF_total,11,SS-SSP-245 OM - SS_fixM_Tier3_EM,2098,10960.13786
158,ATF_total,11,SS-SSP-585 OM - SS_fixM_Tier3_EM,2098,9128.688695
89,ATF_total,11,MS-Climate naive OM - SS_fixM_Tier3_EM,2099,25991.15801
99,ATF_total,11,MS-SSP-126 OM - SS_fixM_Tier3_EM,2099,18927.91551
109,ATF_total,11,MS-SSP-245 OM - SS_fixM_Tier3_EM,2099,11967.85903
119,ATF_total,11,MS-SSP-585 OM - SS_fixM_Tier3_EM,2099,9644.262102
129,ATF_total,11,SS-Climate naive OM - SS_fixM_Tier3_EM,2099,25079.9587
139,ATF_total,11,SS-SSP-126 OM - SS_fixM_Tier3_EM,2099,16306.40054
149,ATF_total,11,SS-SSP-245 OM - SS_fixM_Tier3_EM,2099,10930.9858
159,ATF_total,11,SS-SSP-585 OM - SS_fixM_Tier3_EM,2099,8951.636859
90,ATF_total,11,MS-Climate naive OM - SS_fixM_Tier3_EM,2100,25460.29794
100,ATF_total,11,MS-SSP-126 OM - SS_fixM_Tier3_EM,2100,18302.23809
110,ATF_total,11,MS-SSP-245 OM - SS_fixM_Tier3_EM,2100,12017.03835
120,ATF_total,11,MS-SSP-585 OM - SS_fixM_Tier3_EM,2100,9434.254266
130,ATF_total,11,SS-Climate naive OM - SS_fixM_Tier3_EM,2100,24790.05292
140,ATF_total,11,SS-SSP-126 OM - SS_fixM_Tier3_EM,2100,15907.72645
150,ATF_total,11,SS-SSP-245 OM - SS_fixM_Tier3_EM,2100,10781.29801
160,ATF_total,11,SS-SSP-585 OM - SS_fixM_Tier3_EM,2100,8595.873933
161,Pcod_trawl,14,MS-Climate naive OM - SS_fixM_Tier3_EM,2091,18626.73412
171,Pcod_trawl,14,MS-SSP-126 OM - SS_fixM_Tier3_EM,2091,10497.85025
181,Pcod_trawl,14,MS-SSP-245 OM - SS_fixM_Tier3_EM,2091,4269.65665
191,Pcod_trawl,14,MS-SSP-585 OM - SS_fixM_Tier3_EM,2091,285.4832319
201,Pcod_trawl,14,SS-Climate naive OM - SS_fixM_Tier3_EM,2091,22686.76194
211,Pcod_trawl,14,SS-SSP-126 OM - SS_fixM_Tier3_EM,2091,13256.56454
221,Pcod_trawl,14,SS-SSP-245 OM - SS_fixM_Tier3_EM,2091,4831.885839
231,Pcod_trawl,14,SS-SSP-585 OM - SS_fixM_Tier3_EM,2091,367.3291496
162,Pcod_trawl,14,MS-Climate naive OM - SS_fixM_Tier3_EM,2092,20340.99135
172,Pcod_trawl,14,MS-SSP-126 OM - SS_fixM_Tier3_EM,2092,5279.811535
182,Pcod_trawl,14,MS-SSP-245 OM - SS_fixM_Tier3_EM,2092,2269.691828
192,Pcod_trawl,14,MS-SSP-585 OM - SS_fixM_Tier3_EM,2092,0
202,Pcod_trawl,14,SS-Climate naive OM - SS_fixM_Tier3_EM,2092,24594.82487
212,Pcod_trawl,14,SS-SSP-126 OM - SS_fixM_Tier3_EM,2092,10311.46074
222,Pcod_trawl,14,SS-SSP-245 OM - SS_fixM_Tier3_EM,2092,3407.096537
232,Pcod_trawl,14,SS-SSP-585 OM - SS_fixM_Tier3_EM,2092,1015.00811
163,Pcod_trawl,14,MS-Climate naive OM - SS_fixM_Tier3_EM,2093,21032.35758
173,Pcod_trawl,14,MS-SSP-126 OM - SS_fixM_Tier3_EM,2093,3616.755497
183,Pcod_trawl,14,MS-SSP-245 OM - SS_fixM_Tier3_EM,2093,631.4416503
193,Pcod_trawl,14,MS-SSP-585 OM - SS_fixM_Tier3_EM,2093,733.188616
203,Pcod_trawl,14,SS-Climate naive OM - SS_fixM_Tier3_EM,2093,24225.73026
213,Pcod_trawl,14,SS-SSP-126 OM - SS_fixM_Tier3_EM,2093,10122.97692
223,Pcod_trawl,14,SS-SSP-245 OM - SS_fixM_Tier3_EM,2093,2536.975306
233,Pcod_trawl,14,SS-SSP-585 OM - SS_fixM_Tier3_EM,2093,2492.100996
164,Pcod_trawl,14,MS-Climate naive OM - SS_fixM_Tier3_EM,2094,19072.4086
174,Pcod_trawl,14,MS-SSP-126 OM - SS_fixM_Tier3_EM,2094,8901.018218
184,Pcod_trawl,14,MS-SSP-245 OM - SS_fixM_Tier3_EM,2094,0
194,Pcod_trawl,14,MS-SSP-585 OM - SS_fixM_Tier3_EM,2094,953.6132908
204,Pcod_trawl,14,SS-Climate naive OM - SS_fixM_Tier3_EM,2094,22783.25879
214,Pcod_trawl,14,SS-SSP-126 OM - SS_fixM_Tier3_EM,2094,11071.17009
224,Pcod_trawl,14,SS-SSP-245 OM - SS_fixM_Tier3_EM,2094,463.5613307
234,Pcod_trawl,14,SS-SSP-585 OM - SS_fixM_Tier3_EM,2094,2495.779063
165,Pcod_trawl,14,MS-Climate naive OM - SS_fixM_Tier3_EM,2095,17023.38134
175,Pcod_trawl,14,MS-SSP-126 OM - SS_fixM_Tier3_EM,2095,12430.05872
185,Pcod_trawl,14,MS-SSP-245 OM - SS_fixM_Tier3_EM,2095,1541.110683
195,Pcod_trawl,14,MS-SSP-585 OM - SS_fixM_Tier3_EM,2095,342.4146993
205,Pcod_trawl,14,SS-Climate naive OM - SS_fixM_Tier3_EM,2095,20885.26284
215,Pcod_trawl,14,SS-SSP-126 OM - SS_fixM_Tier3_EM,2095,13618.05182
225,Pcod_trawl,14,SS-SSP-245 OM - SS_fixM_Tier3_EM,2095,3604.194518
235,Pcod_trawl,14,SS-SSP-585 OM - SS_fixM_Tier3_EM,2095,2613.145664
166,Pcod_trawl,14,MS-Climate naive OM - SS_fixM_Tier3_EM,2096,15430.75421
176,Pcod_trawl,14,MS-SSP-126 OM - SS_fixM_Tier3_EM,2096,9897.097632
186,Pcod_trawl,14,MS-SSP-245 OM - SS_fixM_Tier3_EM,2096,3288.519525
196,Pcod_trawl,14,MS-SSP-585 OM - SS_fixM_Tier3_EM,2096,257.3068669
206,Pcod_trawl,14,SS-Climate naive OM - SS_fixM_Tier3_EM,2096,18989.48536
216,Pcod_trawl,14,SS-SSP-126 OM - SS_fixM_Tier3_EM,2096,10987.11064
226,Pcod_trawl,14,SS-SSP-245 OM - SS_fixM_Tier3_EM,2096,5243.635817
236,Pcod_trawl,14,SS-SSP-585 OM - SS_fixM_Tier3_EM,2096,307.8440722
167,Pcod_trawl,14,MS-Climate naive OM - SS_fixM_Tier3_EM,2097,15267.86623
177,Pcod_trawl,14,MS-SSP-126 OM - SS_fixM_Tier3_EM,2097,6991.822508
187,Pcod_trawl,14,MS-SSP-245 OM - SS_fixM_Tier3_EM,2097,3253.360357
197,Pcod_trawl,14,MS-SSP-585 OM - SS_fixM_Tier3_EM,2097,0
207,Pcod_trawl,14,SS-Climate naive OM - SS_fixM_Tier3_EM,2097,18583.33708
217,Pcod_trawl,14,SS-SSP-126 OM - SS_fixM_Tier3_EM,2097,9182.434433
227,Pcod_trawl,14,SS-SSP-245 OM - SS_fixM_Tier3_EM,2097,4514.774911
237,Pcod_trawl,14,SS-SSP-585 OM - SS_fixM_Tier3_EM,2097,0
168,Pcod_trawl,14,MS-Climate naive OM - SS_fixM_Tier3_EM,2098,16177.29989
178,Pcod_trawl,14,MS-SSP-126 OM - SS_fixM_Tier3_EM,2098,6784.994301
188,Pcod_trawl,14,MS-SSP-245 OM - SS_fixM_Tier3_EM,2098,2814.456109
198,Pcod_trawl,14,MS-SSP-585 OM - SS_fixM_Tier3_EM,2098,0
208,Pcod_trawl,14,SS-Climate naive OM - SS_fixM_Tier3_EM,2098,19139.72046
218,Pcod_trawl,14,SS-SSP-126 OM - SS_fixM_Tier3_EM,2098,9299.996064
228,Pcod_trawl,14,SS-SSP-245 OM - SS_fixM_Tier3_EM,2098,4240.092921
238,Pcod_trawl,14,SS-SSP-585 OM - SS_fixM_Tier3_EM,2098,0
169,Pcod_trawl,14,MS-Climate naive OM - SS_fixM_Tier3_EM,2099,16938.20726
179,Pcod_trawl,14,MS-SSP-126 OM - SS_fixM_Tier3_EM,2099,8955.628568
189,Pcod_trawl,14,MS-SSP-245 OM - SS_fixM_Tier3_EM,2099,4492.552749
199,Pcod_trawl,14,MS-SSP-585 OM - SS_fixM_Tier3_EM,2099,1537.079857
209,Pcod_trawl,14,SS-Climate naive OM - SS_fixM_Tier3_EM,2099,20221.58434
219,Pcod_trawl,14,SS-SSP-126 OM - SS_fixM_Tier3_EM,2099,10935.62346
229,Pcod_trawl,14,SS-SSP-245 OM - SS_fixM_Tier3_EM,2099,5429.789548
239,Pcod_trawl,14,SS-SSP-585 OM - SS_fixM_Tier3_EM,2099,4942.098079
170,Pcod_trawl,14,MS-Climate naive OM - SS_fixM_Tier3_EM,2100,17070.48008
180,Pcod_trawl,14,MS-SSP-126 OM - SS_fixM_Tier3_EM,2100,8721.295803
190,Pcod_trawl,14,MS-SSP-245 OM - SS_fixM_Tier3_EM,2100,7166.679555
200,Pcod_trawl,14,MS-SSP-585 OM - SS_fixM_Tier3_EM,2100,5583.648158
210,Pcod_trawl,14,SS-Climate naive OM - SS_fixM_Tier3_EM,2100,19826.88334
220,Pcod_trawl,14,SS-SSP-126 OM - SS_fixM_Tier3_EM,2100,9882.713546
230,Pcod_trawl,14,SS-SSP-245 OM - SS_fixM_Tier3_EM,2100,7702.160223
240,Pcod_trawl,14,SS-SSP-585 OM - SS_fixM_Tier3_EM,2100,7525.145186
241,Pcod_longline,15,MS-Climate naive OM - SS_fixM_Tier3_EM,2091,18118.06945
251,Pcod_longline,15,MS-SSP-126 OM - SS_fixM_Tier3_EM,2091,10088.31536
261,Pcod_longline,15,MS-SSP-245 OM - SS_fixM_Tier3_EM,2091,4121.713947
271,Pcod_longline,15,MS-SSP-585 OM - SS_fixM_Tier3_EM,2091,260.3620581
281,Pcod_longline,15,SS-Climate naive OM - SS_fixM_Tier3_EM,2091,21911.44174
291,Pcod_longline,15,SS-SSP-126 OM - SS_fixM_Tier3_EM,2091,12659.79125
301,Pcod_longline,15,SS-SSP-245 OM - SS_fixM_Tier3_EM,2091,4738.328853
311,Pcod_longline,15,SS-SSP-585 OM - SS_fixM_Tier3_EM,2091,344.3543722
242,Pcod_longline,15,MS-Climate naive OM - SS_fixM_Tier3_EM,2092,19937.54239
252,Pcod_longline,15,MS-SSP-126 OM - SS_fixM_Tier3_EM,2092,4979.359243
262,Pcod_longline,15,MS-SSP-245 OM - SS_fixM_Tier3_EM,2092,2131.007008
272,Pcod_longline,15,MS-SSP-585 OM - SS_fixM_Tier3_EM,2092,0
282,Pcod_longline,15,SS-Climate naive OM - SS_fixM_Tier3_EM,2092,24109.58834
292,Pcod_longline,15,SS-SSP-126 OM - SS_fixM_Tier3_EM,2092,9890.106996
302,Pcod_longline,15,SS-SSP-245 OM - SS_fixM_Tier3_EM,2092,3243.512978
312,Pcod_longline,15,SS-SSP-585 OM - SS_fixM_Tier3_EM,2092,1000.582061
243,Pcod_longline,15,MS-Climate naive OM - SS_fixM_Tier3_EM,2093,20598.43468
253,Pcod_longline,15,MS-SSP-126 OM - SS_fixM_Tier3_EM,2093,3410.607993
263,Pcod_longline,15,MS-SSP-245 OM - SS_fixM_Tier3_EM,2093,580.0995284
273,Pcod_longline,15,MS-SSP-585 OM - SS_fixM_Tier3_EM,2093,699.5611435
283,Pcod_longline,15,SS-Climate naive OM - SS_fixM_Tier3_EM,2093,23558.14185
293,Pcod_longline,15,SS-SSP-126 OM - SS_fixM_Tier3_EM,2093,9667.643665
303,Pcod_longline,15,SS-SSP-245 OM - SS_fixM_Tier3_EM,2093,2392.242357
313,Pcod_longline,15,SS-SSP-585 OM - SS_fixM_Tier3_EM,2093,2341.540585
244,Pcod_longline,15,MS-Climate naive OM - SS_fixM_Tier3_EM,2094,18557.75662
254,Pcod_longline,15,MS-SSP-126 OM - SS_fixM_Tier3_EM,2094,8696.676054
264,Pcod_longline,15,MS-SSP-245 OM - SS_fixM_Tier3_EM,2094,0
274,Pcod_longline,15,MS-SSP-585 OM - SS_fixM_Tier3_EM,2094,910.4525248
284,Pcod_longline,15,SS-Climate naive OM - SS_fixM_Tier3_EM,2094,22054.27661
294,Pcod_longline,15,SS-SSP-126 OM - SS_fixM_Tier3_EM,2094,10716.89546
304,Pcod_longline,15,SS-SSP-245 OM - SS_fixM_Tier3_EM,2094,443.268274
314,Pcod_longline,15,SS-SSP-585 OM - SS_fixM_Tier3_EM,2094,2374.087792
245,Pcod_longline,15,MS-Climate naive OM - SS_fixM_Tier3_EM,2095,16366.80473
255,Pcod_longline,15,MS-SSP-126 OM - SS_fixM_Tier3_EM,2095,12622.77677
265,Pcod_longline,15,MS-SSP-245 OM - SS_fixM_Tier3_EM,2095,1514.4461
275,Pcod_longline,15,MS-SSP-585 OM - SS_fixM_Tier3_EM,2095,322.471898
285,Pcod_longline,15,SS-Climate naive OM - SS_fixM_Tier3_EM,2095,20254.54337
295,Pcod_longline,15,SS-SSP-126 OM - SS_fixM_Tier3_EM,2095,13741.34367
305,Pcod_longline,15,SS-SSP-245 OM - SS_fixM_Tier3_EM,2095,3568.385374
315,Pcod_longline,15,SS-SSP-585 OM - SS_fixM_Tier3_EM,2095,2403.124436
246,Pcod_longline,15,MS-Climate naive OM - SS_fixM_Tier3_EM,2096,15021.46533
256,Pcod_longline,15,MS-SSP-126 OM - SS_fixM_Tier3_EM,2096,9439.982512
266,Pcod_longline,15,MS-SSP-245 OM - SS_fixM_Tier3_EM,2096,3086.163025
276,Pcod_longline,15,MS-SSP-585 OM - SS_fixM_Tier3_EM,2096,233.0834288
286,Pcod_longline,15,SS-Climate naive OM - SS_fixM_Tier3_EM,2096,18380.47259
296,Pcod_longline,15,SS-SSP-126 OM - SS_fixM_Tier3_EM,2096,10532.31357
306,Pcod_longline,15,SS-SSP-245 OM - SS_fixM_Tier3_EM,2096,4965.164429
316,Pcod_longline,15,SS-SSP-585 OM - SS_fixM_Tier3_EM,2096,271.4690338
247,Pcod_longline,15,MS-Climate naive OM - SS_fixM_Tier3_EM,2097,14753.60662
257,Pcod_longline,15,MS-SSP-126 OM - SS_fixM_Tier3_EM,2097,6406.000268
267,Pcod_longline,15,MS-SSP-245 OM - SS_fixM_Tier3_EM,2097,3002.105827
277,Pcod_longline,15,MS-SSP-585 OM - SS_fixM_Tier3_EM,2097,0
287,Pcod_longline,15,SS-Climate naive OM - SS_fixM_Tier3_EM,2097,17696.20696
297,Pcod_longline,15,SS-SSP-126 OM - SS_fixM_Tier3_EM,2097,8517.851822
307,Pcod_longline,15,SS-SSP-245 OM - SS_fixM_Tier3_EM,2097,4153.95666
317,Pcod_longline,15,SS-SSP-585 OM - SS_fixM_Tier3_EM,2097,0
