"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"42",5.27296e+12,3.02637e+11,3.8599e+11,5.22187e+11,2.73901e+11,1.9166e+11,40192100000,10350600000,7233090000,7.7967e+10
"43",8.565e+11,1.31283e+12,1.51172e+11,2.31813e+11,3.34838e+11,1.78761e+11,1.30011e+11,27262900000,7099330000,61648900000
"44",3.71787e+13,2.13282e+11,6.56751e+11,91321900000,1.47203e+11,2.13969e+11,1.1857e+11,86223900000,18287900000,49268800000
"45",2.03908e+12,9.25885e+12,1.0678e+11,3.98845e+11,5.8328e+10,94187700000,1.42027e+11,7.8691e+10,57878400000,48057800000
"46",37888100000,5.07798e+11,4.6341e+12,64497800000,2.42211e+11,3.4137e+10,56896700000,85755600000,48112900000,7.0174e+10
"47",5952510000,9434880000,2.53981e+11,2.77896e+12,38241200000,1.38434e+11,20149700000,3.3571e+10,51252400000,78410900000
"48",2.12416e+12,1482350000,4721070000,1.53116e+11,1.7087e+12,23210700000,87042500000,1.2667e+10,2.136e+10,89049400000
"49",5.41488e+12,5.28978e+11,741744000,2844830000,93327900000,1.02029e+12,14343600000,53776300000,7922430000,7.6369e+10
"50",0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0
