"","Area","Yr","Era","Seas","Bio_all","Bio_smry","SpawnBio","Recruit_0","SpawnBio_GP:1","SmryBio_SX:1_GP:1","SmryNum_SX:1_GP:1","sel(B):_1","dead(B):_1","retain(B):_1","sel(N):_1","dead(N):_1","retain(N):_1","obs_cat:_1","F:_1","SSB_vir_LH","ABC_buffer"
"1509",1,2014,"TIME",1,3526220,3432200,1522170,6543420,1522170,3432200,6918870,299254,299254,299254,576849,576849,576849,299254,0.177423,1522170,NA
"1510",1,2015,"TIME",1,2974030,2566600,1159130,43979.5,1159130,2566600,5356620,193838,193838,193838,411036,411036,411036,193838,0.0949288,1284720,NA
"1511",1,2016,"TIME",1,3039830,2992300,1035880,4518030,1035880,2992300,8413170,332067,332067,332067,920189,920189,920189,332068,0.14369,1253530,NA
"1512",1,2017,"TIME",1,3455380,2920520,1298340,1810690,1298340,2920520,6094240,440942,440942,440942,906879,906879,906879,440942,0.231174,1393890,NA
"1513",1,2018,"TIME",1,3645570,3360270,1236700,547256,1236700,3360270,7211200,413718,413718,413718,861418,861418,861418,413718,0.217556,1283550,NA
"1514",1,2019,"TIME",1,3153290,3108170,1289090,738207,1289090,3108170,6348910,412004,412004,412004,771056,771056,771056,412004,0.238353,1273140,NA
"1515",1,2020,"TIME",1,2718390,2573540,1158770,4244830,1158770,2573540,4875520,380388,380388,380388,681493,681493,681493,380388,0.238168,1184250,NA
"1516",1,2021,"TIME",1,2739730,2270090,1007470,783935,1007470,2270090,3877470,326629,326629,326629,514351,514351,514351,326629,0.230725,954251,NA
"1517",1,2022,"FORE",1,2583480,2490420,857143,773497,857143,2490420,5565030,457346,457346,457346,880311,880311,880311,NA,0.37132,865533,1
"1518",1,2023,"FORE",1,2260580,2168510,913025,777745,913025,2168510,4294820,390936,390936,390936,713189,713189,713189,NA,0.373508,873876,1
"1519",1,2024,"FORE",1,1862670,1770350,778000,766539,778000,1770350,3397210,372934,372934,372934,677162,677162,677162,NA,0.401074,761932,0.997992
"1520",1,2025,"FORE",1,1423750,1353370,580207,741898,580207,1353370,2697140,317665,317665,317665,573147,573147,573147,NA,0.433085,580207,0.955686
