"","Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10"
"5227",1,1,1,1,1,1,1,1996,1,1996,"B","TIME",398329,326751,156377,81680.8,57996.1,45041.6,33448.5,15541.8,7571.67,3793.75,4579.31
"5228",1,1,1,1,1,1,1,1996,1,1996.5,"M","TIME",311315,255369,122122,63313.9,43827,32802.9,23695.6,10872.1,5276.69,2642.58,3193.41
"5229",1,1,1,1,1,1,1,1997,1,1997,"B","TIME",361378,243310,199582,95370.8,49077.1,33119.6,23889.7,16786.5,7605.44,3677.32,4067.66
"5230",1,1,1,1,1,1,1,1997,1,1997.5,"M","TIME",282437,190156,155830,73740.8,36660.3,23513.6,16334.5,11291.1,5094.13,2463.22,2731.36
"5231",1,1,1,1,1,1,1,1998,1,1998,"B","TIME",339854,220739,148614,121670,57016.5,27385,16693.7,11168.7,7594.73,3412.05,3484.02
"5232",1,1,1,1,1,1,1,1998,1,1998.5,"M","TIME",265614,172516,116029,93979.2,42318.6,19143.8,11172.3,7343.85,4977.42,2239.12,2296.41
"5233",1,1,1,1,1,1,1,1999,1,1999,"B","TIME",504029,207592,134827,90589.6,72590.5,31409.6,13382.7,7477.17,4828.87,3262.1,2983.03
"5234",1,1,1,1,1,1,1,1999,1,1999.5,"M","TIME",393926,162241,105257,69805.3,53022.5,21114.5,8482.86,4641.84,2995.19,2032.61,1876.27
"5235",1,1,1,1,1,1,1,2000,1,2000,"B","TIME",494146,307874,126797,82171.4,53789.7,38729.3,14193.8,5377,2881.66,1857.82,2446.67
"5236",1,1,1,1,1,1,1,2000,1,2000.5,"M","TIME",386202,240616,99009.9,63454.6,39604.6,26457.3,9198.89,3422.85,1834.52,1188.32,1579.43
"5237",1,1,1,1,1,1,1,2001,1,2001,"B","TIME",296645,301837,188051,77312.4,49001.1,29160.3,18073.9,5961.74,2178.89,1167.89,1779.69
"5238",1,1,1,1,1,1,1,2001,1,2001.5,"M","TIME",231844,235898,146841,59770.8,36440.8,20439.4,12135.9,3935,1433.87,769.68,1178.16
"5239",1,1,1,1,1,1,1,2002,1,2002,"B","TIME",257487,181199,184363,114662,46209.3,27100,14326.6,8148.77,2597.26,943.594,1287.2
"5240",1,1,1,1,1,1,1,2002,1,2002.5,"M","TIME",201240,141614,143972,88617.3,34189.7,18731.6,9430.92,5266.8,1675.26,610.264,837.781
"5241",1,1,1,1,1,1,1,2003,1,2003,"B","TIME",301870,157280,110677,112429,68488.6,25296.5,12947.3,6208.18,3404.1,1080.56,939.96
"5242",1,1,1,1,1,1,1,2003,1,2003.5,"M","TIME",235927,122921,86434.3,86949.8,50785.3,17556,8574.79,4044.85,2216.82,706.329,619.098
"5243",1,1,1,1,1,1,1,2004,1,2004,"B","TIME",294189,184390,96068,67501.5,67244.7,37658.1,12184,5678.96,2635.36,1443.64,869.468
