"","Area","Yr","Era","Seas","Bio_all","Bio_smry","SpawnBio","Recruit_0","SpawnBio_GP:1","SmryBio_SX:1_GP:1","SmryNum_SX:1_GP:1","mature_bio","mature_num","sel(B):_1","dead(B):_1","retain(B):_1","sel(N):_1","dead(N):_1","retain(N):_1","obs_cat:_1","F:_1","sel(B):_2","dead(B):_2","retain(B):_2","sel(N):_2","dead(N):_2","retain(N):_2","obs_cat:_2","F:_2","sel(B):_3","dead(B):_3","retain(B):_3","sel(N):_3","dead(N):_3","retain(N):_3","obs_cat:_3","F:_3","SSB_vir_LH","ABC_buffer"
"1594",1,1996,"TIME",1,495443,495380,351296,398329,351296,495380,732782,351296,108170,45990.5,45990.5,45990.5,12732,12732,12732,45990.5,0.163385,10249.3,10249.3,10249.3,2682.36,2682.36,2682.36,10249.3,0.0367323,12040.1,12040.1,12040.1,3353.06,3353.06,3353.06,12040.1,0.0513106,351296,NA
"1595",1,1997,"TIME",1,444326,444269,302755,361378,302755,444269,676485,302755,90555.8,48405.9,48405.9,48405.9,13395.7,13395.7,13395.7,48405.9,0.204267,12331.2,12331.2,12331.2,3181.97,3181.97,3181.97,12331.2,0.0527273,16433.2,16433.2,16433.2,4511.83,4511.83,4511.83,16433.2,0.0852387,302755,NA
"1596",1,1998,"TIME",1,397597,397543,249212,339854,249212,397543,617778,249212,77163,41569.6,41569.6,41569.6,12210.2,12210.2,12210.2,41569.7,0.212066,11361.3,11361.3,11361.3,3058.97,3058.97,3058.97,11361.3,0.059411,19693.8,19693.8,19693.8,5605.32,5605.32,5605.32,19693.8,0.125875,249212,NA
"1597",1,1999,"TIME",1,361650,361569,218545,504029,218545,361569,568943,218545,73274.5,37174.7,37174.7,37174.7,11672.7,11672.7,11672.7,37174.7,0.221483,13943.3,13943.3,13943.3,4020.61,4020.61,4020.61,13943.3,0.0856159,31424.6,31424.6,31424.6,9511.82,9511.82,9511.82,31424.6,0.229864,218545,NA
"1598",1,2000,"TIME",1,320411,320332,192636,494146,192636,320332,636119,192636,67543.4,25456.9,25456.9,25456.9,8201.35,8201.35,8201.35,25456.9,0.169752,13344.3,13344.3,13344.3,3964.34,3964.34,3964.34,13344.3,0.0913695,27750.2,27750.2,27750.2,8559.94,8559.94,8559.94,27750.2,0.218738,192636,NA
"1599",1,2001,"TIME",1,301906,301859,175616,296645,175616,301859,674524,175616,61763.1,24386.2,24386.2,24386.2,7923.72,7923.72,7923.72,24386.2,0.174056,12144.6,12144.6,12144.6,3615.89,3615.89,3615.89,12144.6,0.0889564,14999.6,14999.6,14999.6,4598.4,4598.4,4598.4,14999.6,0.125281,175616,NA
"1600",1,2002,"TIME",1,307147,307106,167053,257487,167053,307106,580836,167053,59297.5,19810.2,19810.2,19810.2,6678.38,6678.38,6678.38,19810.2,0.148085,16556,16556,16556,5035.21,5035.21,5035.21,16556,0.128186,18271.2,18271.2,18271.2,5662.81,5662.81,5662.81,18271.2,0.16232,167053,NA
"1601",1,2003,"TIME",1,308180,308132,164401,301870,164401,308132,498752,164401,61578.4,18885.5,18885.5,18885.5,6614.45,6614.45,6614.45,18885.5,0.140221,12988,12988,12988,4128.24,4128.24,4128.24,12988,0.100592,20708,20708,20708,6680.57,6680.57,6680.57,20708,0.183013,164401,NA
"1602",1,2004,"TIME",1,299260,299213,175163,294189,175163,299213,475674,175163,66329.4,17512.6,17512.6,17512.6,5965.69,5965.69,5965.69,17512.6,0.124953,13542.7,13542.7,13542.7,4276.05,4276.05,4276.05,13542.7,0.0995867,25568.3,25568.3,25568.3,8240.25,8240.25,8240.25,25568.3,0.209864,175163,NA
"1603",1,2005,"TIME",1,277152,277066,174736,534749,174736,277066,456081,174736,62587.2,14549.2,14549.2,14549.2,4077.85,4077.85,4077.85,14549.2,0.143816,8633.55,8633.55,8633.55,2841.78,2841.78,2841.78,8633.55,0.0531589,24401.6,24401.6,24401.6,7500.33,7500.33,7500.33,24401.6,0.199131,174736,NA
"1604",1,2006,"TIME",1,260283,260166,162842,732468,162842,260166,594163,162842,55198.2,13131.8,13131.8,13131.8,3537.16,3537.16,3537.16,13131.8,0.137078,11079,11079,11079,3531.54,3531.54,3531.54,11079,0.0753822,23686.3,23686.3,23686.3,7032.91,7032.91,7032.91,23686.3,0.215102,162842,NA
"1605",1,2007,"TIME",1,256668,256583,145104,532209,145104,256583,799535,145104,49382.2,14775.4,14775.4,14775.4,5413.87,5413.87,5413.87,14775.4,0.113883,12535.2,12535.2,12535.2,3724.16,3724.16,3724.16,12535.2,0.110186,24950.3,24950.3,24950.3,7505.53,7505.53,7505.53,24950.3,0.265289,145104,NA
"1606",1,2008,"TIME",1,278050,277925,129626,783890,129626,277925,800727,129626,46996,20293.4,20293.4,20293.4,8544.12,8544.12,8544.12,20293.4,0.168162,14053.4,14053.4,14053.4,4524.94,4524.94,4524.94,14053.4,0.139588,24667.2,24667.2,24667.2,7865.43,7865.43,7865.43,24667.2,0.297732,129626,NA
"1607",1,2009,"TIME",1,314253,314185,129276,425130,129276,314185,951917,129276,53301,13976.2,13976.2,13976.2,6453.7,6453.7,6453.7,13976.2,0.103186,17350.2,17350.2,17350.2,6237.38,6237.38,6237.38,17350.2,0.161214,21869.9,21869.9,21869.9,7634.44,7634.44,7634.44,21869.9,0.244195,129276,NA
"1608",1,2010,"TIME",1,366682,366600,163344,514503,163344,366600,825546,163344,70366.8,22035.2,22035.2,22035.2,9940.2,9940.2,9940.2,22035.2,0.134465,21837.8,21837.8,21837.8,7973.98,7973.98,7973.98,21837.8,0.164795,34720,34720,34720,12316.6,12316.6,12316.6,34720,0.303851,163344,NA
"1609",1,2011,"TIME",1,389786,389658,188299,796742,188299,389658,795395,188299,78587.5,16456.3,16456.3,16456.3,7145.13,7145.13,7145.13,16456.3,0.0895097,23002.9,23002.9,23002.9,8172.39,8172.39,8172.39,23002.9,0.151835,45907.5,45907.5,45907.5,15787.4,15787.4,15787.4,45907.5,0.345984,188299,NA
"1610",1,2012,"TIME",1,392348,392163,205738,1163520,205738,392163,948725,205738,84024.9,20084.1,20084.1,20084.1,8218.44,8218.44,8218.44,20084.1,0.10066,20668.4,20668.4,20668.4,7107.56,7107.56,7107.56,20668.4,0.12281,37177.9,37177.9,37177.9,12537.2,12537.2,12537.2,37177.9,0.252612,205738,NA
"1611",1,2013,"TIME",1,405483,405369,219205,712407,219205,405369,1268860,219205,84083.8,21706,21706,21706,8520.44,8520.44,8520.44,21706,0.104494,15703.4,15703.4,15703.4,5098.55,5098.55,5098.55,15703.4,0.0874425,31166.5,31166.5,31166.5,10006.9,10006.9,10006.9,31166.5,0.19857,219205,NA
"1612",1,2014,"TIME",1,456163,456125,221073,235525,221073,456125,1192090,221073,82455.9,26916.7,26916.7,26916.7,11190,11190,11190,26916.7,0.150154,19626,19626,19626,6391.18,6391.18,6391.18,19626,0.129804,38402.4,38402.4,38402.4,12266.8,12266.8,12266.8,38402.4,0.29839,221073,NA
"1613",1,2015,"TIME",1,358877,358832,157180,278914,157180,358832,611464,157180,63723.5,22268.1,22268.1,22268.1,10111.3,10111.3,10111.3,22268.1,0.167156,16840.3,16840.3,16840.3,6007.11,6007.11,6007.11,16840.3,0.157855,40372.1,40372.1,40372.1,13942.3,13942.3,13942.3,40372.1,0.451109,157180,NA
"1614",1,2016,"TIME",1,253158,253115,124447,271411,124447,253115,374155,124447,54024.4,15217.4,15217.4,15217.4,6628.5,6628.5,6628.5,15217.4,0.145231,10979.4,10979.4,10979.4,4028.87,4028.87,4028.87,10979.4,0.128869,37857.7,37857.7,37857.7,13529.7,13529.7,13529.7,37857.7,0.513961,124447,NA
"1615",1,2017,"TIME",1,159423,159376,95983.9,293611,95983.9,159376,269775,95983.9,39022.5,13041.1,13041.1,13041.1,4796.92,4796.92,4796.92,13041.1,0.181284,9249.33,9249.33,9249.33,3089.15,3089.15,3089.15,9249.33,0.136436,26436.5,26436.5,26436.5,8431.94,8431.94,8431.94,26436.5,0.423162,95983.9,NA
"1616",1,2018,"TIME",1,134884,134851,84234.8,208612,84234.8,134851,331689,84234.8,30544.2,3817.98,3817.98,3817.98,1279.66,1279.66,1279.66,3817.98,0.0548362,3659.52,3659.52,3659.52,1099.72,1099.72,1099.72,3659.52,0.0545522,7672.92,7672.92,7672.92,2205.63,2205.63,2205.63,7672.92,0.121355,84234.8,NA
"1617",1,2019,"TIME",1,144263,144236,82872.4,171594,82872.4,144236,326502,82872.4,27936.4,4534.53,4534.53,4534.53,1510.39,1510.39,1510.39,4534.53,0.0648195,3628.42,3628.42,3628.42,1043.85,1043.85,1043.85,3628.42,0.0545445,7552.92,7552.92,7552.92,2052.31,2052.31,2052.31,7552.92,0.119956,82872.4,NA
"1618",1,2020,"TIME",1,157253,157223,83024.6,187267,83024.6,157223,300706,83024.6,29092.8,3427.12,3427.12,3427.12,1193.4,1193.4,1193.4,3427.12,0.045475,1605.95,1605.95,1605.95,478.173,478.173,478.173,1605.95,0.0228749,1809.34,1809.34,1809.34,503.24,503.24,503.24,1809.34,0.0275141,83024.6,NA
"1619",1,2021,"TIME",1,175078,175043,99509.5,217044,99509.5,175043,296388,99509.5,36045,5986.4,5986.4,5986.4,2068.15,2068.15,2068.15,5986.4,0.070188,5529.59,5529.59,5529.59,1681.21,1681.21,1681.21,5529.59,0.0692828,7657.11,7657.11,7657.11,2190.96,2190.96,2190.96,7657.11,0.103012,99509.5,NA
"1620",1,2022,"TIME",1,177074,177040,109627,212307,109627,177040,309045,109627,38760.2,8207.08,8207.08,8207.08,2712.58,2712.58,2712.58,8207.08,0.0916815,7144.77,7144.77,7144.77,2113.07,2113.07,2113.07,7144.77,0.0838238,10570,10570,10570,2971.99,2971.99,2971.99,10570,0.132423,109627,NA
"1621",1,2023,"TIME",1,171150,171084,107020,410739,107020,171084,312464,107020,36274.1,6473.35,6473.35,6473.35,2079.29,2079.29,2079.29,6473.35,0.0734463,7529.61,7529.61,7529.61,2151.8,2151.8,2151.8,7529.61,0.0892057,7722.62,7722.62,7722.62,2099.77,2099.77,2099.77,7722.62,0.0970372,107020,NA
"1622",1,2024,"TIME",1,170489,170412,102580,480494,102580,170412,436884,102580,34369.3,6399.05,6399.05,6399.05,2081.57,2081.57,2081.57,6399.05,0.0755633,7090.74,7090.74,7090.74,2023.23,2023.23,2023.23,7090.74,0.0880401,9681,9681,9681,2613.12,2613.12,2613.12,9681,0.127445,102580,NA
"1623",1,2025,"FORE",1,180671,180589,99210.3,517216,99210.3,180589,555196,99210.3,34054.2,11885.8,11885.8,11885.8,4172.09,4172.09,4172.09,NA,0.146083,10442.5,10442.5,10442.5,3142.12,3142.12,3142.12,NA,0.135145,13298.6,13298.6,13298.6,3944.94,3944.94,3944.94,NA,0.202863,99210.3,0.748027
"1624",1,2026,"FORE",1,199315,199233,91206.9,517216,91206.9,199233,646437,91206.9,33595.6,10680.2,10680.2,10680.2,4227.24,4227.24,4227.24,NA,0.133471,9107.06,9107.06,9107.06,2970.14,2970.14,2970.14,NA,0.123477,11559.3,11559.3,11559.3,3633.4,3633.4,3633.4,NA,0.185348,91206.9,0.683446
"1625",1,2027,"FORE",1,239418,239336,100785,517216,100785,239336,702481,100785,41058.3,13623.9,13623.9,13623.9,5834.76,5834.76,5834.76,NA,0.148564,11382.5,11382.5,11382.5,4050.34,4050.34,4050.34,NA,0.13744,14477,14477,14477,4912.25,4912.25,4912.25,NA,0.206308,100785,0.76073
"1626",1,2028,"FORE",1,281020,280937,123771,517216,123771,280937,733671,123771,52627.5,20117.4,20117.4,20117.4,8670.69,8670.69,8670.69,NA,0.184788,16926.7,16926.7,16926.7,6184.89,6184.89,6184.89,NA,0.170951,21977.5,21977.5,21977.5,7643.98,7643.98,7643.98,NA,0.256611,123771,0.946216
"1627",1,2029,"FORE",1,307507,307424,143601,517216,143601,307424,746850,143601,60646.5,23995,23995,23995,10100.3,10100.3,10100.3,NA,0.195291,20416.8,20416.8,20416.8,7370.53,7370.53,7370.53,NA,0.180668,26857.4,26857.4,26857.4,9238.86,9238.86,9238.86,NA,0.271197,143601,1
"1628",1,2030,"FORE",1,321735,321652,156438,517216,156438,321652,751701,156438,64726.6,25727.8,25727.8,25727.8,10565,10565,10565,NA,0.195291,22054.5,22054.5,22054.5,7805.89,7805.89,7805.89,NA,0.180668,29105.2,29105.2,29105.2,9843.6,9843.6,9843.6,NA,0.271197,156438,1
"1629",1,2031,"FORE",1,328879,328796,163368,517216,163368,328796,753522,163368,66457.9,26634.6,26634.6,26634.6,10761.5,10761.5,10761.5,NA,0.195291,22911.1,22911.1,22911.1,7992.1,7992.1,7992.1,NA,0.180668,30200,30200,30200,10091.3,10091.3,10091.3,NA,0.271197,163368,1
"1630",1,2032,"FORE",1,331995,331912,166455,517216,166455,331912,754158,166455,67084.4,27034.2,27034.2,27034.2,10834.2,10834.2,10834.2,NA,0.195291,23285.7,23285.7,23285.7,8060.57,8060.57,8060.57,NA,0.180668,30639.7,30639.7,30639.7,10175.7,10175.7,10175.7,NA,0.271197,166455,1
"1631",1,2033,"FORE",1,333403,333320,167860,517216,167860,333320,754376,167860,67301.2,27212.7,27212.7,27212.7,10859.9,10859.9,10859.9,NA,0.195291,23451.8,23451.8,23451.8,8084.57,8084.57,8084.57,NA,0.180668,30814.8,30814.8,30814.8,10202.5,10202.5,10202.5,NA,0.271197,167860,1
"1632",1,2034,"FORE",1,333968,333885,168424,517216,168424,333885,754451,168424,67376.3,27283.9,27283.9,27283.9,10868.9,10868.9,10868.9,NA,0.195291,23517.8,23517.8,23517.8,8092.94,8092.94,8092.94,NA,0.180668,30880.8,30880.8,30880.8,10211.2,10211.2,10211.2,NA,0.271197,168424,1
"1633",1,2035,"FORE",1,334193,334110,168649,517216,168649,334110,754477,168649,67402.5,27311.9,27311.9,27311.9,10872,10872,10872,NA,0.195291,23543.7,23543.7,23543.7,8095.87,8095.87,8095.87,NA,0.180668,30905.8,30905.8,30905.8,10214.1,10214.1,10214.1,NA,0.271197,168649,1
"1634",1,2036,"FORE",1,334270,334187,168726,517216,168726,334187,754486,168726,67411.7,27321.5,27321.5,27321.5,10873.1,10873.1,10873.1,NA,0.195291,23552.7,23552.7,23552.7,8096.9,8096.9,8096.9,NA,0.180668,30914.4,30914.4,30914.4,10215.1,10215.1,10215.1,NA,0.271197,168726,1
"1635",1,2037,"FORE",1,334297,334214,168753,517216,168753,334214,754490,168753,67414.9,27324.9,27324.9,27324.9,10873.5,10873.5,10873.5,NA,0.195291,23555.8,23555.8,23555.8,8097.26,8097.26,8097.26,NA,0.180668,30917.5,30917.5,30917.5,10215.5,10215.5,10215.5,NA,0.271197,168753,1
"1636",1,2038,"FORE",1,334306,334224,168762,517216,168762,334224,754491,168762,67416,27326.1,27326.1,27326.1,10873.7,10873.7,10873.7,NA,0.195291,23556.9,23556.9,23556.9,8097.39,8097.39,8097.39,NA,0.180668,30918.5,30918.5,30918.5,10215.6,10215.6,10215.6,NA,0.271197,168762,1
"1637",1,2039,"FORE",1,334309,334227,168766,517216,168766,334227,754491,168766,67416.4,27326.5,27326.5,27326.5,10873.7,10873.7,10873.7,NA,0.195291,23557.3,23557.3,23557.3,8097.43,8097.43,8097.43,NA,0.180668,30918.9,30918.9,30918.9,10215.7,10215.7,10215.7,NA,0.271197,168766,1
