"","Wt_name","Wt_index","Species","Sex","year","1","2","3","4","5","6","7","8","9","10"
"170","Pcod_trawl_fishery",1,1,0,1991,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"182","Pcod_trawl_fishery",1,1,0,1992,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"194","Pcod_trawl_fishery",1,1,0,1993,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"206","Pcod_trawl_fishery",1,1,0,1994,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"218","Pcod_trawl_fishery",1,1,0,1995,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"230","Pcod_trawl_fishery",1,1,0,1996,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"242","Pcod_trawl_fishery",1,1,0,1997,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"254","Pcod_trawl_fishery",1,1,0,1998,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"266","Pcod_trawl_fishery",1,1,0,1999,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"278","Pcod_trawl_fishery",1,1,0,2000,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"290","Pcod_trawl_fishery",1,1,0,2001,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"302","Pcod_trawl_fishery",1,1,0,2002,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"314","Pcod_trawl_fishery",1,1,0,2003,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"326","Pcod_trawl_fishery",1,1,0,2004,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
"338","Pcod_trawl_fishery",1,1,0,2005,0.0975944,0.493916,1.19483,2.09165,3.06828,4.04131,4.97199,5.85309,6.68043,8.75403
"350","Pcod_trawl_fishery",1,1,0,2006,0.0975944,0.493916,1.19483,2.09165,3.06828,4.04131,4.97199,5.85309,6.68043,8.75403
"362","Pcod_trawl_fishery",1,1,0,2007,0.090959,0.459998,1.10695,1.92684,2.81722,3.73382,4.67002,5.60072,6.48789,8.6563
"374","Pcod_trawl_fishery",1,1,0,2008,0.090959,0.459998,1.10695,1.92684,2.81722,3.73382,4.67002,5.60072,6.48789,8.6563
"386","Pcod_trawl_fishery",1,1,0,2009,0.090959,0.459998,1.10695,1.92684,2.81722,3.73382,4.67002,5.60072,6.48789,8.6563
"398","Pcod_trawl_fishery",1,1,0,2010,0.090959,0.459998,1.10695,1.92684,2.81722,3.73382,4.67002,5.60072,6.48789,8.6563
"410","Pcod_trawl_fishery",1,1,0,2011,0.090959,0.459998,1.10695,1.92684,2.81722,3.73382,4.67002,5.60072,6.48789,8.6563
"422","Pcod_trawl_fishery",1,1,0,2012,0.090959,0.459998,1.10695,1.92684,2.81722,3.73382,4.67002,5.60072,6.48789,8.6563
"434","Pcod_trawl_fishery",1,1,0,2013,0.090959,0.459998,1.10695,1.92684,2.81722,3.73382,4.67002,5.60072,6.48789,8.6563
"446","Pcod_trawl_fishery",1,1,0,2014,0.090959,0.459998,1.10695,1.92684,2.81722,3.73382,4.67002,5.60072,6.48789,8.6563
"458","Pcod_trawl_fishery",1,1,0,2015,0.090959,0.459998,1.10695,1.92684,2.81722,3.73382,4.67002,5.60072,6.48789,8.6563
"470","Pcod_trawl_fishery",1,1,0,2016,0.090959,0.459998,1.10695,1.92684,2.81722,3.73382,4.67002,5.60072,6.48789,8.6563
"482","Pcod_trawl_fishery",1,1,0,2017,0.088153,0.456047,1.11384,1.96129,2.88984,3.82941,4.75865,5.66721,6.53294,8.67509
"494","Pcod_trawl_fishery",1,1,0,2018,0.088153,0.456047,1.11384,1.96129,2.88984,3.82941,4.75865,5.66721,6.53294,8.67509
"506","Pcod_trawl_fishery",1,1,0,2019,0.088153,0.456047,1.11384,1.96129,2.88984,3.82941,4.75865,5.66721,6.53294,8.67509
"518","Pcod_trawl_fishery",1,1,0,2020,0.088153,0.456047,1.11384,1.96129,2.88984,3.82941,4.75865,5.66721,6.53294,8.67509
"530","Pcod_trawl_fishery",1,1,0,2021,0.088153,0.456047,1.11384,1.96129,2.88984,3.82941,4.75865,5.66721,6.53294,8.67509
"542","Pcod_trawl_fishery",1,1,0,2022,0.088153,0.456047,1.11384,1.96129,2.88984,3.82941,4.75865,5.66721,6.53294,8.67509
"554","Pcod_trawl_fishery",1,1,0,2023,0.088153,0.456047,1.11384,1.96129,2.88984,3.82941,4.75865,5.66721,6.53294,8.67509
"566","Pcod_trawl_fishery",1,1,0,2024,0.088153,0.456047,1.11384,1.96129,2.88984,3.82941,4.75865,5.66721,6.53294,8.67509
"3","Pcod_longline_fishery",2,1,0,1977,0.148376,0.600713,1.26683,2.00912,2.79154,3.66407,4.61081,5.56341,6.46651,8.649
"15","Pcod_longline_fishery",2,1,0,1978,0.148245,0.580707,1.19724,1.88298,2.66785,3.58936,4.57634,5.54889,6.46028,8.64729
"27","Pcod_longline_fishery",2,1,0,1979,0.157777,0.598615,1.21106,1.88459,2.66415,3.58668,4.57518,5.54844,6.46011,8.64725
"39","Pcod_longline_fishery",2,1,0,1980,0.122594,0.538783,1.1921,1.95383,2.76559,3.65549,4.6086,5.56296,6.46646,8.64901
"51","Pcod_longline_fishery",2,1,0,1981,0.18627,0.646118,1.23963,1.8783,2.64884,3.57804,4.57181,5.54723,6.45965,8.64713
"63","Pcod_longline_fishery",2,1,0,1982,0.168658,0.60311,1.1771,1.81691,2.61337,3.56467,4.56762,5.54592,6.4592,8.64702
"75","Pcod_longline_fishery",2,1,0,1983,0.216478,0.6927,1.26611,1.87607,2.64008,3.57336,4.5701,5.54665,6.45944,8.64708
"87","Pcod_longline_fishery",2,1,0,1984,0.143138,0.588982,1.25408,2.00178,2.79015,3.6649,4.61167,5.56392,6.46677,8.64908
"99","Pcod_longline_fishery",2,1,0,1985,0.0937276,0.483645,1.18393,2.09125,3.08976,4.09148,5.04654,5.93842,6.76358,8.81387
"111","Pcod_longline_fishery",2,1,0,1986,0.0996552,0.502098,1.21225,2.1196,3.10661,4.08829,5.02291,5.90188,6.723,8.78073
"123","Pcod_longline_fishery",2,1,0,1987,0.150858,0.60786,1.27862,2.02392,2.80522,3.673,4.61537,5.56551,6.46747,8.64927
"135","Pcod_longline_fishery",2,1,0,1988,0.159326,0.617619,1.2681,1.97866,2.7474,3.63206,4.59427,5.5559,6.46312,8.64805
"147","Pcod_longline_fishery",2,1,0,1989,0.148499,0.600955,1.26702,2.00907,2.79133,3.66388,4.61069,5.56336,6.46648,8.64899
"159","Pcod_longline_fishery",2,1,0,1990,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"171","Pcod_longline_fishery",2,1,0,1991,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"183","Pcod_longline_fishery",2,1,0,1992,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"195","Pcod_longline_fishery",2,1,0,1993,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"207","Pcod_longline_fishery",2,1,0,1994,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"219","Pcod_longline_fishery",2,1,0,1995,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"231","Pcod_longline_fishery",2,1,0,1996,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"243","Pcod_longline_fishery",2,1,0,1997,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"255","Pcod_longline_fishery",2,1,0,1998,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"267","Pcod_longline_fishery",2,1,0,1999,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"279","Pcod_longline_fishery",2,1,0,2000,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"291","Pcod_longline_fishery",2,1,0,2001,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"303","Pcod_longline_fishery",2,1,0,2002,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"315","Pcod_longline_fishery",2,1,0,2003,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"327","Pcod_longline_fishery",2,1,0,2004,0.129203,0.57366,1.28226,2.11741,2.97665,3.84238,4.73424,5.63599,6.50698,8.66263
"339","Pcod_longline_fishery",2,1,0,2005,0.138389,0.582607,1.25844,2.02781,2.82897,3.69636,4.62988,5.57301,6.47119,8.65038
"351","Pcod_longline_fishery",2,1,0,2006,0.138389,0.582607,1.25844,2.02781,2.82897,3.69636,4.62988,5.57301,6.47119,8.65038
"363","Pcod_longline_fishery",2,1,0,2007,0.135782,0.587619,1.29298,2.11097,2.94807,3.80495,4.70279,5.61478,6.49393,8.65783
"375","Pcod_longline_fishery",2,1,0,2008,0.135782,0.587619,1.29298,2.11097,2.94807,3.80495,4.70279,5.61478,6.49393,8.65783
"387","Pcod_longline_fishery",2,1,0,2009,0.135782,0.587619,1.29298,2.11097,2.94807,3.80495,4.70279,5.61478,6.49393,8.65783
"399","Pcod_longline_fishery",2,1,0,2010,0.135782,0.587619,1.29298,2.11097,2.94807,3.80495,4.70279,5.61478,6.49393,8.65783
"411","Pcod_longline_fishery",2,1,0,2011,0.135782,0.587619,1.29298,2.11097,2.94807,3.80495,4.70279,5.61478,6.49393,8.65783
"423","Pcod_longline_fishery",2,1,0,2012,0.135782,0.587619,1.29298,2.11097,2.94807,3.80495,4.70279,5.61478,6.49393,8.65783
"435","Pcod_longline_fishery",2,1,0,2013,0.135782,0.587619,1.29298,2.11097,2.94807,3.80495,4.70279,5.61478,6.49393,8.65783
"447","Pcod_longline_fishery",2,1,0,2014,0.135782,0.587619,1.29298,2.11097,2.94807,3.80495,4.70279,5.61478,6.49393,8.65783
"459","Pcod_longline_fishery",2,1,0,2015,0.135782,0.587619,1.29298,2.11097,2.94807,3.80495,4.70279,5.61478,6.49393,8.65783
"471","Pcod_longline_fishery",2,1,0,2016,0.135782,0.587619,1.29298,2.11097,2.94807,3.80495,4.70279,5.61478,6.49393,8.65783
"483","Pcod_longline_fishery",2,1,0,2017,0.123211,0.558932,1.26552,2.10932,2.9837,3.85918,4.75125,5.64874,6.51541,8.66595
"495","Pcod_longline_fishery",2,1,0,2018,0.123211,0.558932,1.26552,2.10932,2.9837,3.85918,4.75125,5.64874,6.51541,8.66595
"507","Pcod_longline_fishery",2,1,0,2019,0.123211,0.558932,1.26552,2.10932,2.9837,3.85918,4.75125,5.64874,6.51541,8.66595
"519","Pcod_longline_fishery",2,1,0,2020,0.123211,0.558932,1.26552,2.10932,2.9837,3.85918,4.75125,5.64874,6.51541,8.66595
"531","Pcod_longline_fishery",2,1,0,2021,0.123211,0.558932,1.26552,2.10932,2.9837,3.85918,4.75125,5.64874,6.51541,8.66595
"543","Pcod_longline_fishery",2,1,0,2022,0.123211,0.558932,1.26552,2.10932,2.9837,3.85918,4.75125,5.64874,6.51541,8.66595
"555","Pcod_longline_fishery",2,1,0,2023,0.123211,0.558932,1.26552,2.10932,2.9837,3.85918,4.75125,5.64874,6.51541,8.66595
"567","Pcod_longline_fishery",2,1,0,2024,0.123211,0.558932,1.26552,2.10932,2.9837,3.85918,4.75125,5.64874,6.51541,8.66595
"4","Pcod_pot_fishery",3,1,0,1977,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"16","Pcod_pot_fishery",3,1,0,1978,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"28","Pcod_pot_fishery",3,1,0,1979,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"40","Pcod_pot_fishery",3,1,0,1980,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"52","Pcod_pot_fishery",3,1,0,1981,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"64","Pcod_pot_fishery",3,1,0,1982,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"76","Pcod_pot_fishery",3,1,0,1983,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"88","Pcod_pot_fishery",3,1,0,1984,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"100","Pcod_pot_fishery",3,1,0,1985,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"112","Pcod_pot_fishery",3,1,0,1986,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"124","Pcod_pot_fishery",3,1,0,1987,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"136","Pcod_pot_fishery",3,1,0,1988,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"148","Pcod_pot_fishery",3,1,0,1989,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"160","Pcod_pot_fishery",3,1,0,1990,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"172","Pcod_pot_fishery",3,1,0,1991,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"184","Pcod_pot_fishery",3,1,0,1992,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"196","Pcod_pot_fishery",3,1,0,1993,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"208","Pcod_pot_fishery",3,1,0,1994,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"220","Pcod_pot_fishery",3,1,0,1995,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"232","Pcod_pot_fishery",3,1,0,1996,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"244","Pcod_pot_fishery",3,1,0,1997,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"256","Pcod_pot_fishery",3,1,0,1998,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"268","Pcod_pot_fishery",3,1,0,1999,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"280","Pcod_pot_fishery",3,1,0,2000,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"292","Pcod_pot_fishery",3,1,0,2001,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"304","Pcod_pot_fishery",3,1,0,2002,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"316","Pcod_pot_fishery",3,1,0,2003,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"328","Pcod_pot_fishery",3,1,0,2004,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"340","Pcod_pot_fishery",3,1,0,2005,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"352","Pcod_pot_fishery",3,1,0,2006,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"364","Pcod_pot_fishery",3,1,0,2007,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"376","Pcod_pot_fishery",3,1,0,2008,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"388","Pcod_pot_fishery",3,1,0,2009,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"400","Pcod_pot_fishery",3,1,0,2010,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"412","Pcod_pot_fishery",3,1,0,2011,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"424","Pcod_pot_fishery",3,1,0,2012,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"436","Pcod_pot_fishery",3,1,0,2013,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"448","Pcod_pot_fishery",3,1,0,2014,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"460","Pcod_pot_fishery",3,1,0,2015,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"472","Pcod_pot_fishery",3,1,0,2016,0.176499,0.691288,1.42357,2.21827,2.98372,3.70556,4.42893,5.20433,6.03031,8.26704
"484","Pcod_pot_fishery",3,1,0,2017,0.140371,0.607541,1.33874,2.18904,3.0528,3.90953,4.78351,5.66679,6.51906,8.53784
"496","Pcod_pot_fishery",3,1,0,2018,0.140371,0.607541,1.33874,2.18904,3.0528,3.90953,4.78351,5.66679,6.51906,8.53784
"508","Pcod_pot_fishery",3,1,0,2019,0.140371,0.607541,1.33874,2.18904,3.0528,3.90953,4.78351,5.66679,6.51906,8.53784
"520","Pcod_pot_fishery",3,1,0,2020,0.140371,0.607541,1.33874,2.18904,3.0528,3.90953,4.78351,5.66679,6.51906,8.53784
"532","Pcod_pot_fishery",3,1,0,2021,0.140371,0.607541,1.33874,2.18904,3.0528,3.90953,4.78351,5.66679,6.51906,8.53784
"544","Pcod_pot_fishery",3,1,0,2022,0.140371,0.607541,1.33874,2.18904,3.0528,3.90953,4.78351,5.66679,6.51906,8.53784
"556","Pcod_pot_fishery",3,1,0,2023,0.140371,0.607541,1.33874,2.18904,3.0528,3.90953,4.78351,5.66679,6.51906,8.53784
"568","Pcod_pot_fishery",3,1,0,2024,0.140371,0.607541,1.33874,2.18904,3.0528,3.90953,4.78351,5.66679,6.51906,8.53784
"5","Pcod_bt_survey",4,1,0,1977,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"17","Pcod_bt_survey",4,1,0,1978,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"29","Pcod_bt_survey",4,1,0,1979,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"41","Pcod_bt_survey",4,1,0,1980,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"53","Pcod_bt_survey",4,1,0,1981,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"65","Pcod_bt_survey",4,1,0,1982,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"77","Pcod_bt_survey",4,1,0,1983,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"89","Pcod_bt_survey",4,1,0,1984,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"101","Pcod_bt_survey",4,1,0,1985,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"113","Pcod_bt_survey",4,1,0,1986,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"125","Pcod_bt_survey",4,1,0,1987,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"137","Pcod_bt_survey",4,1,0,1988,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"149","Pcod_bt_survey",4,1,0,1989,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"161","Pcod_bt_survey",4,1,0,1990,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"173","Pcod_bt_survey",4,1,0,1991,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"185","Pcod_bt_survey",4,1,0,1992,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"197","Pcod_bt_survey",4,1,0,1993,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"209","Pcod_bt_survey",4,1,0,1994,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"221","Pcod_bt_survey",4,1,0,1995,0.0486507,0.392325,1.05044,1.76314,2.46714,3.1632,3.93441,4.83149,5.80189,8.22799
"233","Pcod_bt_survey",4,1,0,1996,0.0511798,0.372631,0.986419,1.75775,2.62659,3.58149,4.5758,5.54925,6.46057,8.64741
"245","Pcod_bt_survey",4,1,0,1997,0.0511798,0.372631,0.986419,1.75775,2.62659,3.58149,4.5758,5.54925,6.46057,8.64741
"257","Pcod_bt_survey",4,1,0,1998,0.0511798,0.372631,0.986419,1.75775,2.62659,3.58149,4.5758,5.54925,6.46057,8.64741
"269","Pcod_bt_survey",4,1,0,1999,0.0511798,0.372631,0.986419,1.75775,2.62659,3.58149,4.5758,5.54925,6.46057,8.64741
"281","Pcod_bt_survey",4,1,0,2000,0.0511798,0.372631,0.986419,1.75775,2.62659,3.58149,4.5758,5.54925,6.46057,8.64741
"293","Pcod_bt_survey",4,1,0,2001,0.0511798,0.372631,0.986419,1.75775,2.62659,3.58149,4.5758,5.54925,6.46057,8.64741
"305","Pcod_bt_survey",4,1,0,2002,0.0511798,0.372631,0.986419,1.75775,2.62659,3.58149,4.5758,5.54925,6.46057,8.64741
"317","Pcod_bt_survey",4,1,0,2003,0.0511798,0.372631,0.986419,1.75775,2.62659,3.58149,4.5758,5.54925,6.46057,8.64741
"329","Pcod_bt_survey",4,1,0,2004,0.0511798,0.372631,0.986419,1.75775,2.62659,3.58149,4.5758,5.54925,6.46057,8.64741
"341","Pcod_bt_survey",4,1,0,2005,0.0511798,0.372631,0.986419,1.75775,2.62659,3.58149,4.5758,5.54925,6.46057,8.64741
"353","Pcod_bt_survey",4,1,0,2006,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"365","Pcod_bt_survey",4,1,0,2007,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"377","Pcod_bt_survey",4,1,0,2008,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"389","Pcod_bt_survey",4,1,0,2009,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"401","Pcod_bt_survey",4,1,0,2010,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"413","Pcod_bt_survey",4,1,0,2011,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"425","Pcod_bt_survey",4,1,0,2012,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"437","Pcod_bt_survey",4,1,0,2013,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"449","Pcod_bt_survey",4,1,0,2014,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"461","Pcod_bt_survey",4,1,0,2015,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"473","Pcod_bt_survey",4,1,0,2016,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"485","Pcod_bt_survey",4,1,0,2017,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"497","Pcod_bt_survey",4,1,0,2018,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
"509","Pcod_bt_survey",4,1,0,2019,0.048906,0.373796,0.99327,1.71707,2.57715,3.55474,4.56509,5.54523,6.45899,8.64699
