"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10"
1999,504029,207592,134827,90589.6,72590.5,31409.6,13382.7,7477.17,4828.87,3262.1,2983.03
2000,494146,307874,126797,82171.4,53789.7,38729.3,14193.8,5377,2881.66,1857.82,2446.67
2001,296645,301837,188051,77312.4,49001.1,29160.3,18073.9,5961.74,2178.89,1167.89,1779.69
2002,257487,181199,184363,114662,46209.3,27100,14326.6,8148.77,2597.26,943.594,1287.2
2003,301870,157280,110677,112429,68488.6,25296.5,12947.3,6208.18,3404.1,1080.56,939.96
2004,294189,184390,96068,67501.5,67244.7,37658.1,12184,5678.96,2635.36,1443.64,869.468
2005,534749,179699,112627,58598.7,40396.2,36926.9,18030.6,5301.36,2394.87,1113.19,993.401
2006,732468,326639,109764,68745.7,35265.4,22647.7,18450,8287.63,2359.51,1061.45,942.939
2007,532209,447411,199518,66993.2,41286.3,19553,11060.2,8240.18,3582.25,1016.99,874.52
2008,783890,325087,273268,121551,39767.1,22055.6,8910.75,4549.85,3302.05,1448.54,785.919
2009,425130,478820,198548,166287,71437.9,20473.1,9343.4,3328.25,1641.9,1201.47,834.892
2010,514503,259681,292455,120976,98665.6,37986.2,9226.36,3779.82,1306.11,648.201,822.447
2011,796742,314272,158605,178075,71337.5,51078.3,16168,3458.52,1368.84,477.127,555.326
2012,1163520,486671,191954,96662.8,105620,37389.9,22067.2,6165.47,1279.58,513.232,402.364
2013,712407,710707,297250,116972,57469.8,56693.7,17188.2,9176.41,2497.43,522.553,383.415
2014,235525,435157,434087,181139,69729.7,31465.4,27365.4,7648.96,3995.82,1094,404.56
2015,278914,104000,192130,191025,77190,26205.4,9809.32,7562.55,2047.41,1079.5,414.981
2016,271411,123159,45917.5,84510.3,80761.4,27647.9,7287.83,2319.03,1719.04,473.558,359.486
2017,293611,119846,54377.4,20206.8,35829.4,29006.6,7665.97,1713.39,526.158,399.207,204.152
2018,208612,179346,73197.2,33104.3,11898.1,18507.6,12094.1,2666.15,539.034,158.333,178.21
2019,171594,127426,109545,44664.5,19989.3,6895.36,10032.5,6196.7,1324.26,264.08,163.892
2020,187267,104814,77832,66834.3,26943.7,11552.2,3719.28,5106.25,3054.38,643.507,206.689
2021,217044,114388,64021.6,47506.5,40562.6,16058.9,6702.67,2110.66,2862.15,1702.48,472.679
2022,212307,132576,69868.1,39056.1,28637,23396.7,8638.56,3401.34,1037.18,1386.51,1047.28
2023,410739,129683,80976.6,42606.8,23456.6,16262.7,12161.5,4170.07,1576.2,471.982,1098.52
2024,480494,250891,79210.2,49395.1,25655.9,13468.3,8664.26,6088.12,2017.3,751.011,742.769
2025,517216,293499,153244,48315,29712.8,14641.3,7066,4236.75,2863.93,932.832,685.422
2026,517216,315929,179263,93364.8,28690.5,15982.4,6783.96,2944.28,1693.68,1136.91,647.997
2027,517216,315929,192965,109242,55577.4,15602.9,7584.2,2921.67,1220.88,697.831,740.778
2028,517216,315929,192963,117560,64839,29830.4,7195.68,3139.75,1159.58,481.124,572.578
2029,517216,315929,192960,117484,69289.5,33721.4,12846,2709.36,1121.79,410.654,377.955
2030,517216,315929,192959,117460,69104.3,35708.1,14235.9,4705.64,938.953,385.149,274.158
2031,517216,315929,192959,117460,69090.3,35612.7,15074.6,5214.77,1630.78,322.375,228.975
2032,517216,315929,192959,117460,69089.9,35605.4,15034.3,5522,1807.23,559.904,191.481
2033,517216,315929,192959,117460,69089.9,35605.2,15031.2,5507.24,1913.7,620.484,260.286
2034,517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.12,1908.59,657.04,305.304
2035,517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.09,1908.2,655.284,333.695
2036,517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.09,1908.19,655.151,343.041
2037,517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.09,1908.19,655.147,346.271
2038,517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.09,1908.19,655.147,347.402
2039,517216,315929,192959,117460,69089.9,35605.2,15031.2,5506.09,1908.19,655.147,347.799
