ATM1_M,ATM1_F,ATM1_U,ATM2_M,ATM2_F,ATM3
7.10E-07,0.00916274,0.01167817,9.90E-06,0.02506052,0
1.00E-07,0.00510125,0.0069042,1.80E-06,0.01591824,0
1.00E-08,0.00266422,0.00385035,2.90E-07,0.0094851,0
0,0.00130529,0.00202552,4.00E-08,0.00530189,0
0,0.001,0.0018,0,0.0052,0
1.21E-05,3.30E-05,5.83E-05,9.10E-07,3.11E-06,0
4.69E-05,5.83E-05,9.10E-05,4.48E-06,6.64E-06,0
0.00019331,0.0001471,0.00021341,2.26E-05,1.91E-05,0
0.00069477,0.00034885,0.00047328,9.94E-05,5.16E-05,0
0.0021777,0.00077805,0.00099266,0.00038171,0.00013107,0
0.00595278,0.0016319,0.00196904,0.00127788,0.00031329,0
0.01419112,0.00321889,0.00369384,0.00373098,0.00070423,0
0.02950511,0.00597097,0.00655347,0.0095003,0.00148876,0.002
0.05350174,0.01041624,0.01099592,0.02109761,0.00295981,0.01
0.08461245,0.0170885,0.01744849,0.04086147,0.00553393,0.036
0.11670803,0.02636481,0.02618485,0.06902171,0.00973042,0.089
0.14040102,0.03825368,0.03716286,0.10168488,0.01609001,0.163
0.1473142,0.05219754,0.04988108,0.1306562,0.02502113,0.217
0.13481068,0.0669816,0.06331861,0.14642206,0.03659184,0.212
0.10759905,0.08083318,0.07601443,0.14311605,0.05032566,0.151
0.07490225,0.09173874,0.08630351,0.12200459,0.06509144,0.079
0.04547579,0.09791401,0.09266761,0.09071225,0.079175,0.03
0.02408018,0.0982802,0.09410181,0.0588245,0.0905692,0.008
0.01112059,0.09277186,0.09037222,0.03326955,0.09743182,0.002
0.00447896,0.08235606,0.08208081,0.01641059,0.09857162,0
0.00157326,0.06875492,0.07050424,0.00705968,0.09378452,0
0.00048193,0.05398098,0.05727398,0.00264866,0.0839151,0
0.00012874,0.03985716,0.04400162,0.00086666,0.0706117,0
3.00E-05,0.0276758,0.03197042,0.00024732,0.05587823,0
6.09E-06,0.01807266,0.02196823,6.16E-05,0.04158514,0
1.08E-06,0.01109869,0.01427606,1.34E-05,0.02910464,0
1.70E-07,0.00640986,0.0087738,2.53E-06,0.01915637,0
2.00E-08,0.00348138,0.00509957,4.20E-07,0.01185743,0
0,0.0017782,0.00280315,6.00E-08,0.00690231,0
0,0.0015,0.0028,0,0.0074,0
1.16E-05,3.71E-05,6.48E-05,9.30E-07,3.50E-06,0
4.44E-05,6.31E-05,9.72E-05,4.52E-06,7.19E-06,0
0.00018202,0.00015561,0.00022289,2.25E-05,2.02E-05,0
0.00065222,0.00036171,0.00048457,9.82E-05,5.34E-05,0
0.00204196,0.00079242,0.00099853,0.00037369,0.000133,0
0.00558584,0.0016362,0.00195038,0.00124306,0.00031243,0
0.01335136,0.00318415,0.00361095,0.00361302,0.00069174,0
0.0278848,0.00584025,0.00633682,0.00917597,0.00144348,0.001
0.05088859,0.01009602,0.01054057,0.02036279,0.002839,0.003
0.08115021,0.01644939,0.01661883,0.03948465,0.00526265,0.013
0.11307835,0.02525981,0.02483587,0.06690076,0.00919444,0.04
0.13768696,0.03655881,0.03518046,0.09904976,0.01514002,0.091
0.14649795,0.04986958,0.04723544,0.12814436,0.0234967,0.157
0.13620599,0.06411524,0.06011457,0.14486679,0.03436906,0.205
0.11065885,0.0776907,0.07251656,0.14310811,0.04738158,0.202
0.07855963,0.08872766,0.08291619,0.12353395,0.06156501,0.151
0.0487341,0.09550617,0.08986382,0.0931818,0.07539481,0.085
0.02641694,0.09689164,0.09231611,0.06141853,0.08702242,0.036
0.01251246,0.09264535,0.08989037,0.03537414,0.09466764,0.012
0.00517853,0.08349171,0.08296519,0.01780258,0.09706361,0.003
0.00187269,0.0709162,0.07258086,0.00782862,0.09379768,0.001
0.00059172,0.05677142,0.06018565,0.00300809,0.08543029,0
0.00016336,0.04283474,0.04730526,0.00100995,0.07333519,0
3.94E-05,0.03046101,0.03524288,0.00029629,0.05933287,0
8.30E-06,0.02041616,0.02488728,7.60E-05,0.04524404,0
1.53E-06,0.01289689,0.01665815,1.70E-05,0.03251695,0
2.50E-07,0.00767851,0.01056864,3.33E-06,0.02202618,0
3.00E-08,0.00430873,0.00635557,5.70E-07,0.01406204,0
0,0.00227878,0.00362271,9.00E-08,0.00846131,0
0,0.0021,0.0038,0,0.0097,0
1.13E-05,4.21E-05,7.31E-05,9.80E-07,4.03E-06,0
4.31E-05,6.91E-05,0.00010539,4.67E-06,7.98E-06,0
0.00017566,0.00016677,0.00023666,2.30E-05,2.19E-05,0
0.00062635,0.00038026,0.00050471,9.89E-05,5.66E-05,0
0.00195478,0.00081876,0.00102228,0.00037309,0.00013842,0
0.00533973,0.0016648,0.00196659,0.00123136,0.00031954,0
0.01276708,0.00319661,0.00359307,0.00355727,0.00069661,0
0.02671904,0.00579621,0.00623483,0.0089951,0.0014341,0
0.04894561,0.0099249,0.01027514,0.0199091,0.00278807,0.001
0.07848299,0.01604853,0.01608257,0.03857057,0.00511869,0.005
0.11015653,0.02450597,0.02390712,0.06540711,0.00887445,0.016
0.13533833,0.03533755,0.03375231,0.09708805,0.0145295,0.044
0.14554895,0.04812039,0.04525693,0.12614871,0.02246398,0.092
0.13701738,0.06187999,0.05763324,0.14347473,0.03279813,0.152
0.11290678,0.07514496,0.06970563,0.14283895,0.04522087,0.194
0.08144052,0.08617437,0.08006979,0.12447921,0.05887862,0.193
0.05142026,0.09332224,0.08735224,0.09495598,0.07239455,0.149
0.02841824,0.09543793,0.09050805,0.06340507,0.08405873,0.09
0.01374752,0.09216916,0.08906451,0.03705929,0.09216944,0.042
0.00582116,0.08405801,0.08323969,0.01895982,0.09543805,0.015
0.00215747,0.07239379,0.07388583,0.00849044,0.09332183,0.004
0.00069988,0.05887788,0.06228696,0.00332799,0.08617392,0.001
