"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"11",5.07e-05,8.61e-05,0.00021165,0.00048917,0.00106333,0.00217384,0.00417965,0.00755796,0.01285343,0.02055806,0.0309239,0.04374779,0.05820622,0.07283413,0.0857141,0.09486798,0.09875065,0.0966742,0.08900919,0.07707422,0.06276749,0.04807427,0.03462919,0.02345969,0.0149469,0.00895631,0.00504727,0.00267506,0.00133341,0.0011
"12",5.35e-05,8.72e-05,0.00020914,0.00047341,0.00101087,0.00203616,0.00386881,0.00693414,0.01172347,0.01869677,0.02812703,0.03991432,0.05342967,0.0674662,0.08036,0.09029047,0.09569585,0.09567406,0.09022881,0.08026855,0.06735873,0.05332027,0.03981445,0.02804387,0.018633,0.01167817,0.0069042,0.00385035,0.00202552,0.0018
"13",5.83e-05,9.1e-05,0.00021341,0.00047328,0.00099266,0.00196904,0.00369384,0.00655347,0.01099592,0.01744849,0.02618485,0.03716286,0.04988108,0.06331861,0.07601443,0.08630351,0.09266761,0.09410181,0.09037222,0.08208081,0.07050424,0.05727398,0.04400162,0.03197042,0.02196823,0.01427606,0.0087738,0.00509957,0.00280315,0.0028
"14",6.48e-05,9.72e-05,0.00022289,0.00048457,0.00099853,0.00195038,0.00361095,0.00633682,0.01054057,0.01661883,0.02483587,0.03518046,0.04723544,0.06011457,0.07251656,0.08291619,0.08986382,0.09231611,0.08989037,0.08296519,0.07258086,0.06018565,0.04730526,0.03524288,0.02488728,0.01665815,0.01056864,0.00635557,0.00362271,0.0038
"15",7.31e-05,0.00010539,0.00023666,0.00050471,0.00102228,0.00196659,0.00359307,0.00623483,0.01027514,0.01608257,0.02390712,0.03375231,0.04525693,0.05763324,0.06970563,0.08006979,0.08735224,0.09050805,0.08906451,0.08323969,0.07388583,0.06228696,0.04987006,0.03792183,0.027387,0.0187847,0.01223681,0.00757071,0.00444846,0.005
"16",8.31e-05,0.00011547,0.0002541,0.00053205,0.0010599,0.00200889,0.00362263,0.00621531,0.01014551,0.01575634,0.0232813,0.03272877,0.04377473,0.05570445,0.0674418,0.07768564,0.08513794,0.08877258,0.08806546,0.08312015,0.07464119,0.06377082,0.05183678,0.04008917,0.0294977,0.02065002,0.01375382,0.00871558,0.00525461,0.0063
"17",9.49e-05,0.00012729,0.00027483,0.00056545,0.00110862,0.00207127,0.00368766,0.00625642,0.01011483,0.01558292,0.02287687,0.03200383,0.04266441,0.05419871,0.06561029,0.07568577,0.08319828,0.08715135,0.08699472,0.08275066,0.07500829,0.06478955,0.05332858,0.04182875,0.03126433,0.02226802,0.01511374,0.00977506,0.00602455,0.0076
"18",0.00010861,0.0001408,0.00029854,0.00060407,0.00116644,0.00214941,0.00377971,0.00634272,0.01015715,0.01552193,0.02263588,0.03150116,0.0418345,0.05301783,0.06411938,0.07400076,0.08150066,0.08565748,0.08591116,0.08222668,0.07510276,0.06546014,0.05444742,0.04321731,0.0327354,0.02366227,0.01632198,0.01074402,0.00674899,0.0089
"19",0.00012425,0.00015591,0.00032498,0.00064726,0.00123183,0.00224011,0.00389251,0.00646301,0.01025371,0.0155442,0.02251628,0.03116493,0.04121709,0.05208724,0.06289679,0.07257189,0.080011,0.08428943,0.08484779,0.0816111,0.07500698,0.06587115,0.05527531,0.04432108,0.03395724,0.02485974,0.0173901,0.01162381,0.00742396,0.0102
"20",0.00014187,0.00017257,0.00035394,0.00069446,0.00130356,0.00234084,0.00402134,0.00660888,0.01039061,0.01562823,0.02248711,0.03095373,0.04076135,0.05135009,0.06188585,0.07135075,0.0786976,0.08303873,0.08382211,0.0809453,0.07477959,0.06608912,0.05587704,0.0451954,0.03497135,0.02588733,0.01833233,0.01241949,0.00804905,0.0114
"21",0.00016151,0.00019071,0.00038522,0.0007452,0.0013806,0.0024496,0.00416249,0.00677392,0.01055736,0.0157579,0.02252518,0.03083655,0.04042885,0.05076287,0.06104222,0.07029808,0.0775326,0.08189422,0.08284246,0.08025637,0.07446234,0.06616391,0.05630332,0.04588557,0.03581357,0.02676996,0.01916354,0.01313806,0.00862608,0.0127
"22",0.0001832,0.00021026,0.00041863,0.00079904,0.00146208,0.00256474,0.004313,0.00695312,0.01074592,0.01592097,0.02261297,0.0307899,0.04019039,0.05029213,0.06033124,0.06938224,0.0764922,0.0808442,0.0819118,0.07956198,0.07408502,0.06613289,0.05659367,0.04642826,0.03651415,0.02752984,0.01989799,0.01378723,0.00915813,0.0139
"23",0.00020693,0.00023115,0.00045398,0.00085559,0.00154725,0.00268488,0.0044705,0.00714255,0.01095005,0.01610807,0.02273714,0.03079592,0.0400236,0.04991206,0.05972576,0.0685779,0.0755565,0.07987755,0.08103004,0.0788735,0.07366894,0.06602411,0.05677881,0.0468529,0.03709826,0.02818621,0.02054874,0.0143747,0.00964888,0.0151
"24",0.0002327,0.00025329,0.00049111,0.0009145,0.00163545,0.00280886,0.00463303,0.00733906,0.01116489,0.01631198,0.02288745,0.0308409,0.03991132,0.04960268,0.0592045,0.06786476,0.07470897,0.07898418,0.08019543,0.07819814,0.07322938,0.06585864,0.05688259,0.04718307,0.03758663,0.02875548,0.02112745,0.01490775,0.01010219,0.0162
"25",0.00026049,0.0002766,0.00052982,0.00097544,0.00172608,0.0029357,0.00479901,0.00754015,0.01138662,0.01652709,0.02305603,0.03091432,0.0398403,0.04934846,0.05875073,0.06722659,0.073936,0.07815519,0.07940541,0.07754034,0.07277724,0.06565234,0.05692356,0.04743755,0.03799628,0.02925149,0.02164424,0.01539301,0.01052184,0.0173
"26",0.00029027,0.00030101,0.00056997,0.0010381,0.00181864,0.00306456,0.00496712,0.00774381,0.01161225,0.01674906,0.02323682,0.03100809,0.03980031,0.04913732,0.05835129,0.06665042,0.0732264,0.07738287,0.07865706,0.07690264,0.07232033,0.06541717,0.05691616,0.04763137,0.03834109,0.02968584,0.02210788,0.01583643,0.01091137,0.0183
"27",0.00032199,0.00032642,0.00061138,0.00110221,0.00191266,0.00319473,0.00513628,0.00794843,0.01183944,0.01697455,0.02342514,0.03111597,0.03978345,0.04895984,0.05799577,0.06612581,0.07257096,0.07666057,0.07794742,0.07628636,0.07186421,0.06516215,0.05687161,0.04777647,0.03863238,0.03006818,0.02252583,0.0162432,0.01127403,0.0193
"28",0.00035561,0.00035276,0.0006539,0.0011675,0.00200775,0.00332559,0.00530559,0.00815273,0.01206636,0.01720096,0.02361742,0.03123317,0.03978359,0.04880865,0.05767596,0.06564439,0.07196212,0.07598258,0.07727359,0.075692,0.07141276,0.0648941,0.05679869,0.04788243,0.03887938,0.03040656,0.02290443,0.01661787,0.01161274,0.0203
"29",0.00039107,0.00037993,0.00069739,0.00123374,0.00210354,0.00345664,0.00547433,0.0083557,0.01229157,0.01742631,0.02381093,0.03135602,0.03979601,0.04867801,0.05738535,0.0651994,0.07139364,0.07534404,0.07663285,0.07511948,0.0709687,0.06461814,0.05670423,0.04795688,0.03908961,0.03070763,0.02324906,0.01696437,0.01193008,0.0213
"30",0.0004283,0.00040787,0.00074172,0.00130074,0.00219974,0.00358744,0.00564192,0.00855653,0.012514,0.0176491,0.0240036,0.03148172,0.03981706,0.04856342,0.05711875,0.06478539,0.07086036,0.07474078,0.07602268,0.07456839,0.07053386,0.06433813,0.05659358,0.04800593,0.0392692,0.03097693,0.02356424,0.01728608,0.01222834,0.0222
