"","MSE","Year","MeanSSB"
"53","SS-Climate naive OM - SS_fixM_Tier3_EM","2097",381481.167765211
"54","SS-SSP-126 OM - SS_fixM_Tier3_EM","2097",314350.180382253
"55","SS-SSP-245 OM - SS_fixM_Tier3_EM","2097",136631.229063669
"56","SS-SSP-585 OM - SS_fixM_Tier3_EM","2097",181988.04259409
"57","MS-Climate naive OM - SS_fixM_Tier3_EM","2098",808835.498800843
"58","MS-SSP-126 OM - SS_fixM_Tier3_EM","2098",629352.117787326
"59","MS-SSP-245 OM - SS_fixM_Tier3_EM","2098",268185.977041023
"60","MS-SSP-585 OM - SS_fixM_Tier3_EM","2098",267050.397086988
"61","SS-Climate naive OM - SS_fixM_Tier3_EM","2098",383231.679562064
"62","SS-SSP-126 OM - SS_fixM_Tier3_EM","2098",313817.489197287
"63","SS-SSP-245 OM - SS_fixM_Tier3_EM","2098",141713.791326438
"64","SS-SSP-585 OM - SS_fixM_Tier3_EM","2098",188153.962731593
"65","MS-Climate naive OM - SS_fixM_Tier3_EM","2099",780809.966357663
"66","MS-SSP-126 OM - SS_fixM_Tier3_EM","2099",590017.09676559
"67","MS-SSP-245 OM - SS_fixM_Tier3_EM","2099",294695.344682632
"68","MS-SSP-585 OM - SS_fixM_Tier3_EM","2099",302232.102605176
"69","SS-Climate naive OM - SS_fixM_Tier3_EM","2099",365393.484430627
"70","SS-SSP-126 OM - SS_fixM_Tier3_EM","2099",295661.607932201
"71","SS-SSP-245 OM - SS_fixM_Tier3_EM","2099",141134.712971519
"72","SS-SSP-585 OM - SS_fixM_Tier3_EM","2099",184042.109328443
"73","MS-Climate naive OM - SS_fixM_Tier3_EM","2100",737480.171997443
"74","MS-SSP-126 OM - SS_fixM_Tier3_EM","2100",535385.193113807
"75","MS-SSP-245 OM - SS_fixM_Tier3_EM","2100",316909.784578967
"76","MS-SSP-585 OM - SS_fixM_Tier3_EM","2100",359747.03571036
"77","SS-Climate naive OM - SS_fixM_Tier3_EM","2100",340445.541061549
"78","SS-SSP-126 OM - SS_fixM_Tier3_EM","2100",272457.055736648
"79","SS-SSP-245 OM - SS_fixM_Tier3_EM","2100",140434.559607694
"80","SS-SSP-585 OM - SS_fixM_Tier3_EM","2100",184996.609400652
