"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20"
1978,5299.55,235530,13348.7,266248,60018.3,671088,56851.6,81163.7,572200,56506.3,134945,170114,46298.7,53075.4,25030,17511.5,10185.8,6093.84,4336.57,3527.24,18979.6
1979,41186,6409.44,641122,22000.8,264349,61627.2,672723,60836,76896.6,540873,53005.3,117596,160661,41495.2,49375.4,21862.6,11408.9,6636.18,3970.19,2825.32,14663.4
1980,518019,55788.1,14615.8,977472,26650.2,175715,36268,436936,37072.6,56015.6,421691,39101.5,92447.6,103687,25831,29216.6,11717.8,6114.88,3556.82,2127.92,9373.52
1981,7836.42,1008690,122043,19139,913017,21269.4,148857,29672.7,385051,28960.6,40821.2,319769,28606.8,74593.2,92114.6,19089.6,19639.8,7876.88,4110.51,2390.95,7731.45
1982,7404.66,18100.9,1895170,154187,13870.2,755917,16822.5,112995,23176.2,296706,21015.8,31933.1,243133,18218.5,42587,53915.3,13751,14147.4,5674.04,2960.97,7291.58
1983,12520.7,20232.2,17029.9,2127630,136523,11496.6,552429,16040.1,99736.5,21850.7,258634,21297.4,29260.5,180374,19602,46838.3,52116.7,13292.3,13675.4,5484.76,9910.52
1984,305985,38223.1,21138.8,25432,2196350,120822,12053.7,481506,14286.7,84197.1,16746.4,215806,20089.2,22371.5,172944,21521.3,45852.8,51020.1,13012.6,13387.7,15071.4
1985,2910.75,1359230,52721.8,26259.3,33288.7,2166220,124422,11868.8,441063,11924.7,64210.3,15748.3,131236,12840.1,11320.2,88905.8,7536.69,16057.5,17867.1,4556.99,9966.28
1986,3651.34,12879.2,1778560,56283.2,25457.2,24368.1,1709340,102834,10620.9,402004,13827.6,88244.6,16977.6,186107,17736.4,21023.9,130179,11035.5,23512,26161.7,21265.5
1987,101890,17343.4,9412.32,1966090,43054.7,19024,18437.5,1378550,81395.7,7982.74,283428,10942.4,52151.7,13412.8,123508,11325.3,13971.8,86512.3,7333.79,15625.2,31518.4
1988,30542.4,526565,17962.5,17496.9,1939360,44534.7,19104,19606.9,1152200,69918.5,6714.26,254899,9081,42915.9,11688.8,111296,8672.93,10699.5,66251,5616.2,36102.5
1989,1830.09,182978,842630,24230,12737.5,1653620,40760.5,15435.4,14548.2,859181,50741.7,4364.98,186828,4119.72,25820.3,6999.57,66468,5179.64,6389.97,39566.3,24915.2
1990,48437.8,13163.5,262446,871658,24525.4,17181.3,1347190,42741.1,18053.5,10653.8,732793,43819.6,10885.7,173931,4472.04,32262.6,6186.2,58744.3,4577.75,5647.45,56988.7
1991,15282.7,347837,21532.9,321984,900653,24248.2,13863.2,1051940,35335.7,17019.1,16328.8,500156,25436.3,3723.35,130405,7742.78,39176.1,7511.85,71332.6,5558.72,76058.4
1992,1871.03,108863,482157,21305.9,284750,790397,20474,11499,828472,23241.2,9207.49,7782.21,371765,24524.9,2587.97,80722.1,2423.99,12264.7,2351.69,22331.7,25551.4
1993,37433,12602.8,163317,567913,17524.7,193245,548471,12330.4,6309.84,495875,12674.9,12828.3,7717.91,216565,12076.9,1269.62,37588.7,1128.74,5711.11,1095.08,22297.1
1994,38469.3,235712,24299.5,193363,571888,14424.1,160700,462578,11159.1,5285.38,418141,8801.57,4814.19,4013.68,180768,10966.3,1008.96,29871.6,897.01,4538.6,18589.7
1995,15758.4,226820,434645,22462.1,206952,488177,14861.5,119220,334451,8475.67,3934.09,306693,9067.24,4216.73,2337,128949,7358.85,677.06,20045.2,601.934,15520.1
1996,22006.9,85366.3,482038,525170,24592,176207,358644,9835.5,75179.9,213360,4486.12,2926.27,184104,6081.28,4552.34,1706.13,79985.3,4564.6,419.971,12433.8,10000.3
1997,11415.5,109386,243596,554606,484425,21418.2,133258,229162,5476.74,47429.4,131101,3963.34,1436.12,120073,3072.33,1649.32,1222.68,57320.7,3271.17,300.968,16077.1
1998,22836.3,51238.3,202490,199583,453178,343620,15110.7,95824.3,147617,3880.61,37804.8,91464.8,2243.7,1154.43,77542.2,2278.89,931.359,690.44,32368.6,1847.21,9248.61
1999,148728,168428,125129,265344,148243,326875,214287,9870.64,57045.5,105398,2373.78,23817.9,59845.8,1539.45,677.265,52703.1,1450.41,592.765,439.432,20601.1,7061.96
2000,4463.79,1522720,387861,172421,291400,129452,277500,167499,7770.57,46724.5,73153.2,1881.54,15251.1,44492.8,916.126,514.602,35941.2,989.115,404.24,299.674,18865
2001,14000.5,12403.5,1882980,393867,173619,244282,99053.9,205916,121482,5598.48,33142.1,54166.2,1324.43,11545.8,29023.2,631.539,332.251,23205.3,638.618,260.996,12373.6
2002,580.484,57442.7,71076.2,2432460,355567,130407,179657,67488.3,142234,79394.6,3637.97,20272.7,30238.2,719.945,7754.9,19966.5,441.539,232.292,16223.9,446.488,8833.45
2003,19846.8,3171.36,158781,70463.9,2213310,266982,91674.1,123435,46390.5,92157.4,51108.3,2659.2,14934.9,20455,519.098,5134.72,13644.6,301.737,158.743,11087.1,6341.69
2004,582.924,117212,5326.39,221726,62559.5,1732850,214484,61764.1,84408.7,31678.7,64693.6,41036.2,1652.99,11250.8,16093.4,397.591,3320.69,8824.17,195.138,102.661,11271.4
2005,31220.5,3725.45,231047,9016.96,195640,42615.7,1305670,140215,38235.2,60276.7,23777.5,43547.4,25926.1,1088.53,8871.59,12053.7,286.989,2396.94,6369.47,140.854,8210.04
2006,23809.5,227346,10059.1,330409,8788.31,155598,27683.3,885761,93591.6,26332.3,40137.4,13898.9,26855.6,13562.9,590.794,4770.81,7669.8,182.612,1525.18,4052.9,5313.68
2007,322.954,58667.3,320639,8390.83,277948,6206.25,98345.3,17743,574283,60250.5,17397.8,25243.9,9376.47,18043.2,9880.53,480.7,2600.99,4181.49,99.5578,831.51,5106.56
2008,59940,2406.97,263135,445001,7469.74,215776,5042.4,64286.6,11588.1,372330,37234.3,10589,16348.1,5203.2,10665.1,5985.75,268.113,1450.72,2332.25,55.5288,3311.98
2009,15033.2,226232,3592.56,285748,332423,5618.94,129956,2636.96,37677.6,7096.49,209634,21473.8,7209.54,8647.59,3509.07,6662.26,3964.44,177.575,960.828,1544.68,2230.35
2010,152409,99378.8,658785,3417.24,258236,263719,4144.28,103193,2652.62,32316,5217.49,150909,14136.8,4922.89,4627.85,2018.71,3632.4,2161.5,96.8174,523.863,2058.22
2011,4146.76,817166,183569,710697,3206.1,163671,182510,2828.37,70226.9,1515.88,20479.2,3896.8,121398,11349.9,3074.87,3942.18,1372.48,2469.61,1469.56,65.8245,1755.52
2012,13437.5,35640.3,1697820,209449,514828,2718.92,141732,148513,2285.34,52350.2,1100.72,14153.5,2449.61,79523.3,7683.19,1924.99,2828.29,984.682,1771.81,1054.33,1306.71
2013,3390.59,122073,64905.8,2258260,205940,427816,2500.44,110932,112684,1751.3,41309.5,881.307,12945.4,2038.12,61549.8,5851.48,1543.51,2267.8,789.545,1420.68,1893.15
2014,68051.5,25967,314445,85723.1,2268600,175918,352603,1651.83,68076.3,73786.7,976.918,32132,555.105,6663.29,1175.96,40671.5,3916.83,1033.19,1518.01,528.501,2218.19
2015,430.999,406999,51076,239952,58984.2,1666160,133102,250704,1234.37,48767.3,50672.7,804.223,18032.9,382.264,5248.29,1042.19,32961.4,3174.32,837.326,1230.24,2226
2016,41565.9,5957.59,1068450,63796.8,197729,43720.9,1228310,93623.9,165483,711.419,35540.9,38493.3,432.739,13721.3,412.605,5307.97,919.051,29066.8,2799.25,738.391,3047.87
2017,15390.8,519462,9087.48,1274240,60686.1,181710,39499.3,1043260,75607.9,149536,606.507,27633.7,30523.8,404.623,8347.67,189.464,2432.17,421.12,13318.7,1282.65,1734.91
2018,7825.77,277480,1063700,10064.6,1148830,46215.4,133654,28256,722482,54152.6,95411.7,435.26,17185.6,17982.9,304.573,7131.94,141.357,1814.62,314.193,9936.98,2251.37
2019,14764.1,30361.8,337137,997832,8869.76,896372,38897,100090,20257.7,551604,40710.5,75187.3,303.465,13626.6,14558.3,210.556,4133.26,81.9226,1051.65,182.088,7063.67
2020,84896.5,59951.4,126504,418669,848762,6568.87,644256,24301.4,61916.8,12466.7,337236,25266.3,40022.4,229.93,9284.17,9888.93,135.147,2652.96,52.5826,675.009,4650.74
2021,15678.7,453960,145587,154549,420517,682311,5692.41,475743,17564.5,51620.4,9645.41,241443,16604,31084.4,126.423,6248.37,6221.18,85.0217,1668.99,33.08,3350.46
2022,12809.1,80252.7,906275,185566,126719,286052,438639,3313.64,294923,11728,29443.7,5865.44,155599,11903.9,22231.8,110.3,4275.36,4256.75,58.1748,1141.98,2315.14
2023,12879.5,79184.1,164815,977148,154445,86555.8,194558,253563,1912.11,182276,6640.09,17548.5,3285.24,97348.8,7175.48,14369.6,62.3533,2416.89,2406.38,32.8867,1954.34
2024,12693.9,79619,162604,177604,812667,105355,58781.6,112222,145996,1179.19,102975,3948.87,9807.47,2050.88,58551.9,4627.76,8105.5,35.1718,1363.3,1357.37,1120.94
2025,10015.6,60367.7,132171,144957,134216,527334,68753.5,35461.6,72020.1,100361,803.606,75481.8,2899.74,8014.03,1433.31,39630.7,2739.53,4798.27,20.8209,807.045,1467.1
