"","Fishery_name","Fishery_code","Species","Year","Month","Sample_size","Comp_1","Comp_2","Comp_3","Comp_4","Comp_5","Comp_6","Comp_7","Comp_8","Comp_9","Comp_10","Comp_11","Comp_12","Comp_13","Comp_14","Comp_15","Comp_16","Comp_17","Comp_18","Comp_19","Comp_20","Comp_21","Comp_22","Comp_23","Comp_24","Comp_25"
"14","Pollock",1,1,1992,0,200,0,93539.9,674859,132755,79533.9,114217,134308,252161,100104,155077,54319.7,129750.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Pollock",1,1,1993,0,200,164.919,8114.74,262722,1146150,102147,65827.8,63710.3,53256.5,91219.6,20486.7,32304.6,47384.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Pollock",1,1,1994,0,200,1639.08,35979.6,56762.5,359649,1066710,175769,54462.4,20196.2,13365.8,20711.4,8554.22,27746.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Pollock",1,1,1995,0,200,0,473.072,81344.2,151699,397469,761197,130590,32209.4,11078.1,8482.89,18227.2,22383.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Pollock",1,1,1996,0,200,0,23237.8,56239.9,81804.7,166442,368500,475118,185612,31412.2,13429.9,8813.42,24385.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Pollock",1,1,1997,0,200,2364.39,83568.5,37758.9,111673,478565,288300,251336,196723,61581.5,13563.2,6420.07,24425.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Pollock",1,1,1998,0,200,617.056,51145.8,89811.8,71985.8,156917,686938,199049,128342,108710,29493.1,6326.47,17358.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Pollock",1,1,1999,0,200,410.976,11594.8,294969,227749,105250,155675,473743,132714,57528.2,32891.6,3480.37,5230.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Pollock",1,1,2000,0,200,0,17368.2,80172.8,423185,343030,105384,169067,359491,85963.9,29599.2,24372.6,9519.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Pollock",1,1,2001,0,200,0,3735.08,56752.9,162048,574754,405766,136069,129178,158270,57543.4,35104.2,26962.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Pollock",1,1,2002,0,200,920.17,56708.8,111063,214793,284065,602179,267194,99315.8,87377.1,95564,34869.3,31498.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Pollock",1,1,2003,0,200,0,17298.6,402201,320768,366794,305244,332057,157346,53033.4,40166.6,36510.1,37700.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Pollock",1,1,2004,0,200,0,1131.76,90013.2,829602,479713,238170,168677,156876,64043.5,16920.1,18864,50363.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Pollock",1,1,2005,0,200,0,3128.2,53749.2,391153,861813,489108,156439,67472.6,67084.8,33733.3,11246.6,19154.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Pollock",1,1,2006,0,200,0,12188.2,84168.5,290121,622776,592209,279903,108900,49617.9,38353.7,16420,32233.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Pollock",1,1,2007,0,200,1834.43,19475.6,57200.6,124241,374046,514742,306316,138972,50196.1,28038.4,23321.2,32195.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Pollock",1,1,2008,0,200,0,26913,58603.7,78565.5,147696,307362,242252,149108,83280.2,22297,19102.3,38465.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Pollock",1,1,2009,0,200,756.32,3388.84,151846,188837,73448.6,101992,126940,106863,85673.1,40671,26384.3,39268.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Pollock",1,1,2010,0,200,2348.71,31374.4,31762.4,560104,222297,53702,44263.6,55814,49326.1,34655.3,13933.6,28103.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Pollock",1,1,2011,0,200,923.87,14731.5,191627,117689,807607,283793,64059.2,39350.7,38264.7,40092.7,25315,25402.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Pollock",1,1,2012,0,200,0,28278.4,120523,942652,173000,432751,138349,37855.3,17807.8,13400.2,15875.3,35840.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Pollock",1,1,2013,0,200,3411.71,1709.41,70236.4,342181,944443,187941,154749,68491.7,20583.6,17703.9,13614.9,34675.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Pollock",1,1,2014,0,200,0,42227.4,31344.4,170902,398997,751351,210358,88198.2,29098,9132.3,4790.48,21043.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Pollock",1,1,2015,0,200,0,18705.9,634327,195409,228285,384806,509826,86987.5,42527.3,18550,2852.46,11017.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Pollock",1,1,2016,0,200,0,513.811,91701.018,1389711.96,159282.682,175325.335,175485.305,223115.724,34719.37,13155.031,7889.919,3609.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Cod",2,2,1979,0,200,0,0,0,0,0,0,1,32,135,513,1020,1027,1262,1614,2757,3589,2838,1388,540,212,84,40,9,7,1
"40","Cod",2,2,1980,0,200,0,0,0,0,0,0,2,36,79,246,697,1246,2465,2477,2244,1731,1193,1208,800,326,126,60,17,6,2
"41","Cod",2,2,1981,0,200,0,0,0,1,7,21,17,80,411,676,451,451,1515,1835,1681,1408,987,630,300,150,82,20,7,1,0
"42","Cod",2,2,1982,0,200,0,0,0,0,0,2,2,8,58,135,138,178,705,1154,1608,2242,2666,2310,1279,548,207,117,48,10,6
"43","Cod",2,2,1983,0,200,0,0,0,0,1,17,26,77,177,134,238,663,2326,3650,6856,9120,10389,9439,6851,3923,1785,672,232,88,24
"44","Cod",2,2,1984,0,200,0,2,6,52,201,231,529,981,971,1113,1164,1545,3767,5243,11058,20017,25765,25123,19294,12158,6152,2242,630,163,36
"45","Cod",2,2,1985,0,200,0,0,2,0,4,1,2,44,156,394,1136,3158,10089,18924,17826,17427,30755,39840,30958,18339,9561,4206,1430,351,85
"46","Cod",2,2,1986,0,200,0,4,17,11,38,73,192,513,1130,1359,1363,2058,6920,13274,23402,30822,28644,21638,20488,15342,8154,3552,1342,457,126
"47","Cod",2,2,1987,0,200,0,2,8,46,54,86,268,708,1094,1221,2078,4420,14787,28702,43860,47867,52444,50299,39775,25622,15626,8508,3431,1167,312
"48","Cod",2,2,1988,0,200,2,2,5,9,8,30,98,634,1629,2146,2333,4538,12042,11847,11536,10411,11285,13071,11198,6367,3320,1803,855,359,100
"49","Cod",2,2,1989,0,200,0,0,3,5,16,5,34,266,666,1067,1033,1191,3690,5435,6120,7172,8549,9804,9153,6982,4401,2343,1261,571,241
"50","Cod",2,2,1990,0,200,0,0,3,4,14,84,315,724,986,981,902,899,2738,8557,19538,33981,44723,44175,37910,26426,17423,10627,6381,2556,995
"51","Cod",2,2,1991,0,200,1,1,7,8,20,92,501,1303,1437,1440,1732,2971,10995,17239,25139,40933,55550,58608,51185,37649,25062,14083,7765,3361,1299
"52","Cod",2,2,1992,0,200,0,3,9,17,25,76,218,717,1513,2240,4432,9776,29000,39157,39605,45513,53008,46215,34820,25741,17614,10904,6385,3092,1126
"53","Cod",2,2,1993,0,200,1,0,6,8,25,62,267,1219,1814,2183,6085,11468,23078,32085,39098,33639,24230,19356,14769,10578,6588,3849,1974,879,326
"54","Cod",2,2,1994,0,200,0,1,2,7,27,119,639,2210,3959,3564,2788,5354,21261,43256,60351,68072,63397,42909,24084,13809,8432,5038,2701,1346,616
"55","Cod",2,2,1995,0,200,0,0,12,30,43,97,181,326,466,961,4384,11175,24838,33808,52031,66631,66818,47919,27476,15026,8595,4933,2658,1278,512
"56","Cod",2,2,1996,0,200,1,6,13,26,26,55,370,1088,1404,1397,1982,5053,23947,53170,71483,75282,71482,58492,40527,26110,15833,9354,4955,2312,1048
"57","Cod",2,2,1997,0,200,10,5,18,87,109,84,336,1325,2600,2915,3061,5594,22712,40012,66979,94318,98174,71347,42592,22938,14440,8152,4279,1845,845
"58","Cod",2,2,1998,0,200,1,1,7,5,41,140,799,1530,1625,1745,3565,7563,22698,35186,50607,70562,83641,73370,46297,24524,11885,6576,3603,1542,721
"59","Cod",2,2,1999,0,200,10,0,1,8,7,9,119,460,506,680,2629,6945,18552,22162,23415,26563,28077,25026,16479,9937,4976,2536,1087,545,316
"60","Cod",2,2,2000,0,200,9,8,0,2,2,8,68,198,216,451,1494,3685,13638,25921,34375,37403,30751,21523,13775,8374,4672,2432,1169,480,222
"61","Cod",2,2,2001,0,200,6,0,8,14,19,21,29,93,293,778,1676,3418,12432,23765,36226,42859,39149,26058,12450,6206,3180,1814,916,413,175
"62","Cod",2,2,2002,0,200,13,2,5,16,29,47,123,545,1146,1700,3228,6613,18770,27831,35095,41541,39497,28149,14786,7016,3153,1593,784,305,152
"63","Cod",2,2,2003,0,200,16,1,4,5,6,7,24,157,580,1152,2511,6401,22840,39938,48371,48171,44244,34511,20840,11266,5082,2106,857,348,119
"64","Cod",2,2,2004,0,200,4,2,3,5,5,16,68,194,435,764,1173,2564,11837,26223,40955,49042,42281,28956,16646,10068,5416,2626,1191,456,144
"65","Cod",2,2,2005,0,200,13,0,2,4,15,17,33,170,423,738,1390,2799,11071,19723,29721,37927,40761,34408,22649,14051,7633,4166,1747,606,178
"66","Cod",2,2,2006,0,200,7,0,1,5,15,7,13,78,255,508,888,1728,7802,17539,25225,27288,26528,23460,17991,13830,9040,5319,2682,1083,429
"67","Cod",2,2,2007,0,200,6,1,3,8,14,33,67,182,335,510,784,1301,5568,12426,19131,23821,21956,17033,11978,9631,7459,5022,2751,1154,352
"68","Cod",2,2,2008,0,200,4,0,4,7,10,84,176,237,359,668,1679,3045,8816,16383,24788,29546,28518,21004,11939,7604,5323,4053,2387,1061,309
"69","Cod",2,2,2009,0,200,0,0,1,3,2,4,21,67,128,344,1436,3275,13581,25429,21806,22648,22848,17445,9488,4810,2470,1496,861,408,154
"70","Cod",2,2,2010,0,200,0,0,0,0,5,16,51,72,139,384,1086,1900,6350,16657,25466,29920,22812,13197,6909,3452,1531,655,274,169,77
"71","Cod",2,2,2011,0,200,2,0,0,0,5,9,33,59,152,380,1672,4102,15436,22997,25015,34623,32990,19060,8127,3823,1659,730,343,145,61
"72","Cod",2,2,2012,0,200,0,0,0,1,3,7,88,149,251,332,728,1927,7830,26516,40992,41456,32423,20973,9207,3719,1355,594,239,97,33
"73","Cod",2,2,2013,0,200,2,0,0,2,1,16,95,191,334,628,1593,3866,11475,23082,33670,43840,44537,29327,12710,4559,1561,604,207,87,35
"74","Cod",2,2,2014,0,200,0,1,5,10,2,7,70,210,388,508,2086,5544,15248,27992,35395,43203,43560,32697,17214,6917,2363,888,337,100,26
"75","Cod",2,2,2015,0,200,3,0,0,0,4,5,25,135,348,367,441,1156,5997,13914,21392,20149,21428,14505,7566,4076,1686,616,200,73,16
"76","Cod",2,2,2016,0,200,0,0,0,1,0,3,3,18,53,131,402,1639,8658,14483,19253,27137,29436,21042,10811,4746,2015,797,289,84,23
"77","Cod",2,2,2017,0,200,0,1,0,0,1,5,0,4,16,67,148,348,2116,8318,14807,15444,15664,13357,7846,3418,1369,507,191,63,19
"78","ATF",3,3,1979,0,200,0,1,0,0,0,1,1,7,58,100,296,404,332,333,656,1130,937,650,576,301,180,172,124,179,127
"79","ATF",3,3,1980,0,200,4,1,1,6,8,39,137,363,568,495,430,573,730,1444,1237,991,883,773,598,343,139,63,36,42,41
"80","ATF",3,3,1981,0,200,0,0,0,4,0,1,4,21,46,104,156,281,356,705,945,1199,1137,713,702,617,330,139,80,147,103
"81","ATF",3,3,1982,0,200,0,0,0,0,1,2,12,10,26,74,278,967,2023,4313,3903,3509,3165,2952,4446,4001,2030,1648,1089,1620,715
"82","ATF",3,3,1983,0,200,0,0,1,3,7,17,11,36,28,61,139,257,686,3369,6914,6804,4309,2754,2769,1854,705,407,285,309,230
"83","ATF",3,3,1984,0,200,9,9,21,14,32,89,130,133,103,144,293,485,839,2726,4687,4934,3670,2104,1215,829,406,133,72,67,45
"84","ATF",3,3,1985,0,200,0,1,2,5,21,65,133,242,193,238,498,917,1252,2456,3318,4540,5335,3258,1655,919,444,235,62,20,8
"85","ATF",3,3,1986,0,200,0,0,4,28,64,75,100,144,356,529,443,460,731,1632,1893,1912,1945,1665,1297,633,304,124,44,14,2
"86","ATF",3,3,1987,0,200,0,0,0,0,2,3,22,64,43,61,146,250,412,1253,2340,4148,4402,2754,2555,2749,1942,664,200,52,4
"87","ATF",3,3,1988,0,200,0,0,24,54,99,83,109,108,156,115,52,21,6,3,2,0,0,0,1,0,0,0,0,0,0
"88","ATF",3,3,1990,0,200,25,2,3,9,2,17,14,15,45,69,184,235,361,506,311,281,274,230,131,59,28,27,17,16,2
"89","ATF",3,3,1991,0,200,42,27,40,53,76,91,105,156,207,324,437,461,608,1044,1071,757,490,405,329,170,147,108,60,20,1
"90","ATF",3,3,1992,0,200,37,35,45,39,30,9,7,6,8,5,5,9,6,13,16,18,9,17,21,11,6,7,1,1,0
"91","ATF",3,3,1993,0,200,20,23,33,52,54,66,97,85,83,75,81,50,78,111,119,84,62,49,32,21,2,8,1,0,0
"92","ATF",3,3,1994,0,200,22,45,83,68,41,23,6,4,2,7,7,8,7,14,18,11,4,4,5,8,4,4,2,6,0
"93","ATF",3,3,1995,0,200,33,31,42,75,62,94,120,118,124,117,128,170,170,315,292,218,150,89,72,73,49,46,17,18,3
"94","ATF",3,3,1996,0,200,15,7,11,16,29,41,45,61,76,79,70,59,51,84,60,54,25,24,23,29,11,14,3,2,0
"95","ATF",3,3,1997,0,200,8,9,16,33,54,54,59,61,70,92,103,185,232,401,539,506,257,132,95,42,11,11,8,15,6
"96","ATF",3,3,1998,0,200,3,5,5,8,8,16,16,15,23,27,48,66,78,153,205,144,86,68,31,17,10,3,0,0,0
"97","ATF",3,3,1999,0,200,32,30,24,54,65,80,128,144,144,166,219,206,248,363,480,390,230,154,154,122,94,63,25,7,2
"98","ATF",3,3,2000,0,200,0,0,0,1,2,4,14,19,24,34,32,58,66,126,152,161,194,191,120,66,53,35,19,25,11
"99","ATF",3,3,2001,0,200,1,2,1,2,10,8,4,14,27,50,95,102,153,343,404,338,305,264,226,139,89,48,29,37,10
"100","ATF",3,3,2002,0,200,1,1,2,1,2,6,18,32,39,44,67,112,133,233,311,330,316,246,157,112,82,54,38,32,16
"101","ATF",3,3,2003,0,200,1,2,5,6,11,20,37,61,117,176,190,210,254,394,355,325,334,286,226,140,139,83,62,51,16
"102","ATF",3,3,2004,0,200,3,1,2,6,19,41,99,122,104,159,203,291,369,570,516,373,324,327,288,206,131,72,47,58,25
"103","ATF",3,3,2005,0,200,0,2,4,2,6,14,40,68,107,149,145,151,183,382,322,261,196,138,119,95,90,61,49,32,33
"104","ATF",3,3,2006,0,200,0,0,0,5,8,22,33,72,101,88,128,150,185,315,220,201,171,86,75,87,60,51,32,27,11
"105","ATF",3,3,2007,0,200,1,0,1,0,0,6,3,17,19,23,42,41,34,77,73,59,43,20,21,14,25,13,15,11,17
"106","ATF",3,3,2008,0,200,0,0,3,2,7,20,27,31,26,42,56,88,114,204,185,183,125,84,66,38,39,30,18,16,13
"107","ATF",3,3,2009,0,200,0,0,0,1,2,1,5,1,3,9,13,18,36,75,64,61,72,59,36,36,28,16,13,3,3
"108","ATF",3,3,2010,0,200,0,0,0,0,2,1,6,2,7,20,7,17,21,96,115,130,127,142,94,51,39,23,13,4,4
"109","ATF",3,3,2011,0,200,0,0,1,2,4,5,12,11,11,12,10,16,38,111,130,124,98,89,68,47,39,21,13,8,15
"110","ATF",3,3,2012,0,200,0,0,1,3,9,7,10,16,6,11,12,17,27,43,58,59,58,82,30,16,10,9,9,16,12
"111","ATF",3,3,2013,0,200,2,0,2,1,3,4,8,15,14,8,9,15,21,53,93,83,76,80,74,33,18,13,3,7,7
"112","ATF",3,3,2014,0,200,0,0,1,2,3,2,1,3,3,5,4,2,16,16,17,19,17,13,12,11,3,1,1,2,2
