ParName   Value   Gradient
sel_slope_fsh_devs_f(1,2009)    0.0930855  9.62759e-06
sel_slope_fsh_devs_f(1,2010)   -0.0594413  5.30506e-06
sel_slope_fsh_devs_f(1,2011)     0.016221 -6.30105e-06
sel_slope_fsh_devs_f(1,2012)    -0.154819 -1.08258e-06
sel_slope_fsh_devs_f(1,2013)    -0.348703 -7.24458e-06
sel_slope_fsh_devs_f(1,2014)    -0.124269  1.33448e-06
sel_slope_fsh_devs_f(1,2015)    -0.358399  4.00664e-06
sel_slope_fsh_devs_f(1,2016)    -0.219413 -6.03926e-06
sel_slope_fsh_devs_f(1,2017)    -0.415769 -2.57259e-05
sel_slope_fsh_devs_f(1,2018)    0.0798826 -3.79804e-05
sel_slope_fsh_devs_f(1,2019)    -0.114334 -6.22511e-07
sel_slope_fsh_devs_f(1,2020)     0.169207 -2.85963e-06
sel_slope_fsh_devs_f(1,2021)     0.321069  3.07922e-06
sel_slope_fsh_devs_f(1,2022)     0.231082 -0.000108103
sel_slope_fsh_devs_f(1,2023)     0.324126 -0.000293888
sel_slope_fsh_devs_f(1,2024)  -2.0939e-05 -0.000388074
sel50_fsh_devs_f(1,1975)     0.410186  6.98468e-05
sel50_fsh_devs_f(1,1976)     0.499781  0.000617416
sel50_fsh_devs_f(1,1977)     0.426305  6.46792e-05
sel50_fsh_devs_f(1,1978)     0.513062  0.000147798
sel50_fsh_devs_f(1,1979)  0.000685443 -7.04075e-05
sel50_fsh_devs_f(1,1980)     -0.39505 -8.43226e-06
sel50_fsh_devs_f(1,1981)    -0.482453  1.12857e-05
sel50_fsh_devs_f(1,1982)    -0.434695  1.78334e-05
sel50_fsh_devs_f(1,1983)    -0.153288  4.74912e-05
sel50_fsh_devs_f(1,1984)   -0.0832082  2.73562e-05
sel50_fsh_devs_f(1,1985)    -0.563133  1.06834e-05
sel50_fsh_devs_f(1,1986)    -0.336607  1.92026e-05
sel50_fsh_devs_f(1,1987)    -0.374296  3.83776e-05
sel50_fsh_devs_f(1,1988)    -0.341336  7.76372e-06
sel50_fsh_devs_f(1,1989)    -0.308621  4.65473e-05
sel50_fsh_devs_f(1,1990)     -0.23426   1.6159e-05
sel50_fsh_devs_f(1,1991)    0.0265328  4.91406e-05
sel50_fsh_devs_f(1,1992)    0.0971379  6.41102e-05
sel50_fsh_devs_f(1,1993)    0.0508436  0.000104236
sel50_fsh_devs_f(1,1994)     0.156707  0.000104023
sel50_fsh_devs_f(1,1995)     0.187691  0.000184977
sel50_fsh_devs_f(1,1996)     0.273657  3.24272e-05
sel50_fsh_devs_f(1,1997)     0.380628 -0.000597733
sel50_fsh_devs_f(1,1998)     0.303461  0.000156344
sel50_fsh_devs_f(1,1999)     0.251464  7.56282e-05
sel50_fsh_devs_f(1,2000)     0.216373   1.2565e-05
sel50_fsh_devs_f(1,2001)     0.174957  1.43107e-05
sel50_fsh_devs_f(1,2002)     0.156773  2.52765e-05
sel50_fsh_devs_f(1,2003)    0.0927672  2.63293e-05
sel50_fsh_devs_f(1,2004)    0.0439818  1.95478e-05
sel50_fsh_devs_f(1,2005)   0.00808975  1.05138e-05
sel50_fsh_devs_f(1,2006)   -0.0122403   2.4197e-05
sel50_fsh_devs_f(1,2007)   -0.0683949  2.63823e-05
sel50_fsh_devs_f(1,2008)    -0.035193  3.98239e-05
sel50_fsh_devs_f(1,2009)    0.0239836   9.5858e-05
sel50_fsh_devs_f(1,2010)     0.106328  7.18982e-05
sel50_fsh_devs_f(1,2011)    0.0900068  1.61906e-05
sel50_fsh_devs_f(1,2012)     0.122691  3.82468e-05
sel50_fsh_devs_f(1,2013)     0.139593  1.96661e-05
sel50_fsh_devs_f(1,2014)     0.195892   4.2656e-06
sel50_fsh_devs_f(1,2015)     0.241651  5.46878e-06
sel50_fsh_devs_f(1,2016)     0.175777   2.6822e-05
sel50_fsh_devs_f(1,2017)      0.15506 -0.000326343
sel50_fsh_devs_f(1,2018)    -0.192629 -0.000107123
sel50_fsh_devs_f(1,2019)    -0.100366  1.71287e-05
sel50_fsh_devs_f(1,2020)    -0.344772  2.85026e-05
sel50_fsh_devs_f(1,2021)    -0.374307  3.40827e-05
sel50_fsh_devs_f(1,2022)    -0.339873 -0.000453585
sel50_fsh_devs_f(1,2023)    -0.347621 -0.000944859
sel50_fsh_devs_f(1,2024)  0.000275982   -0.0016422
