"","Wt_name","Wt_index","Species","Yr","Sex","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"134","Pcod_bt_survey",1,1,1990,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"144","Pcod_bt_survey",1,1,1991,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"154","Pcod_bt_survey",1,1,1992,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"164","Pcod_bt_survey",1,1,1993,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"174","Pcod_bt_survey",1,1,1994,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"184","Pcod_bt_survey",1,1,1995,0,0.0815512,0.443231,0.990193,1.56603,2.10271,2.633,3.25511,3.99525,4.78663,5.54907,6.23932,6.84575,7.37122,7.82328,8.21035,8.54056,8.82143,9.05974,9.26154,9.62373
"194","Pcod_bt_survey",1,1,1996,0,0.0788862,0.408836,0.965402,1.5779,2.24024,2.96869,3.73442,4.49481,5.21915,5.89001,6.49901,7.04347,7.52431,7.9447,8.30922,8.62318,8.89214,9.12159,9.31669,9.67452
"204","Pcod_bt_survey",1,1,1997,0,0.0788862,0.408836,0.965402,1.5779,2.24024,2.96869,3.73442,4.49481,5.21915,5.89001,6.49901,7.04347,7.52431,7.9447,8.30922,8.62318,8.89214,9.12159,9.31669,9.67452
"214","Pcod_bt_survey",1,1,1998,0,0.0788862,0.408836,0.965402,1.5779,2.24024,2.96869,3.73442,4.49481,5.21915,5.89001,6.49901,7.04347,7.52431,7.9447,8.30922,8.62318,8.89214,9.12159,9.31669,9.67452
"224","Pcod_bt_survey",1,1,1999,0,0.0788862,0.408836,0.965402,1.5779,2.24024,2.96869,3.73442,4.49481,5.21915,5.89001,6.49901,7.04347,7.52431,7.9447,8.30922,8.62318,8.89214,9.12159,9.31669,9.67452
"234","Pcod_bt_survey",1,1,2000,0,0.0788862,0.408836,0.965402,1.5779,2.24024,2.96869,3.73442,4.49481,5.21915,5.89001,6.49901,7.04347,7.52431,7.9447,8.30922,8.62318,8.89214,9.12159,9.31669,9.67452
"244","Pcod_bt_survey",1,1,2001,0,0.0788862,0.408836,0.965402,1.5779,2.24024,2.96869,3.73442,4.49481,5.21915,5.89001,6.49901,7.04347,7.52431,7.9447,8.30922,8.62318,8.89214,9.12159,9.31669,9.67452
"254","Pcod_bt_survey",1,1,2002,0,0.0788862,0.408836,0.965402,1.5779,2.24024,2.96869,3.73442,4.49481,5.21915,5.89001,6.49901,7.04347,7.52431,7.9447,8.30922,8.62318,8.89214,9.12159,9.31669,9.67452
"264","Pcod_bt_survey",1,1,2003,0,0.0788862,0.408836,0.965402,1.5779,2.24024,2.96869,3.73442,4.49481,5.21915,5.89001,6.49901,7.04347,7.52431,7.9447,8.30922,8.62318,8.89214,9.12159,9.31669,9.67452
"274","Pcod_bt_survey",1,1,2004,0,0.0788862,0.408836,0.965402,1.5779,2.24024,2.96869,3.73442,4.49481,5.21915,5.89001,6.49901,7.04347,7.52431,7.9447,8.30922,8.62318,8.89214,9.12159,9.31669,9.67452
"284","Pcod_bt_survey",1,1,2005,0,0.0788862,0.408836,0.965402,1.5779,2.24024,2.96869,3.73442,4.49481,5.21915,5.89001,6.49901,7.04347,7.52431,7.9447,8.30922,8.62318,8.89214,9.12159,9.31669,9.67452
"294","Pcod_bt_survey",1,1,2006,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"304","Pcod_bt_survey",1,1,2007,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"314","Pcod_bt_survey",1,1,2008,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"324","Pcod_bt_survey",1,1,2009,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"334","Pcod_bt_survey",1,1,2010,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"344","Pcod_bt_survey",1,1,2011,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"354","Pcod_bt_survey",1,1,2012,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"364","Pcod_bt_survey",1,1,2013,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"374","Pcod_bt_survey",1,1,2014,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"384","Pcod_bt_survey",1,1,2015,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"394","Pcod_bt_survey",1,1,2016,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"404","Pcod_bt_survey",1,1,2017,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"414","Pcod_bt_survey",1,1,2018,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"424","Pcod_bt_survey",1,1,2019,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"434","Pcod_bt_survey",1,1,2020,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"444","Pcod_bt_survey",1,1,2021,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"454","Pcod_bt_survey",1,1,2022,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"464","Pcod_bt_survey",1,1,2023,0,0.0781791,0.425154,0.964461,1.53126,2.19016,2.93808,3.71934,4.48774,5.21574,5.88825,6.49803,7.04288,7.52393,7.94444,8.30903,8.62303,8.89203,9.1215,9.31661,9.67445
"5","Pcod_ll_survey",2,1,1977,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"15","Pcod_ll_survey",2,1,1978,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"25","Pcod_ll_survey",2,1,1979,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"35","Pcod_ll_survey",2,1,1980,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"45","Pcod_ll_survey",2,1,1981,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"55","Pcod_ll_survey",2,1,1982,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"65","Pcod_ll_survey",2,1,1983,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"75","Pcod_ll_survey",2,1,1984,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"85","Pcod_ll_survey",2,1,1985,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"95","Pcod_ll_survey",2,1,1986,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"105","Pcod_ll_survey",2,1,1987,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"115","Pcod_ll_survey",2,1,1988,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"125","Pcod_ll_survey",2,1,1989,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"135","Pcod_ll_survey",2,1,1990,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"145","Pcod_ll_survey",2,1,1991,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"155","Pcod_ll_survey",2,1,1992,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"165","Pcod_ll_survey",2,1,1993,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"175","Pcod_ll_survey",2,1,1994,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"185","Pcod_ll_survey",2,1,1995,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"195","Pcod_ll_survey",2,1,1996,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"205","Pcod_ll_survey",2,1,1997,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"215","Pcod_ll_survey",2,1,1998,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"225","Pcod_ll_survey",2,1,1999,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"235","Pcod_ll_survey",2,1,2000,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"245","Pcod_ll_survey",2,1,2001,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"255","Pcod_ll_survey",2,1,2002,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"265","Pcod_ll_survey",2,1,2003,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"275","Pcod_ll_survey",2,1,2004,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"285","Pcod_ll_survey",2,1,2005,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"295","Pcod_ll_survey",2,1,2006,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"305","Pcod_ll_survey",2,1,2007,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"315","Pcod_ll_survey",2,1,2008,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"325","Pcod_ll_survey",2,1,2009,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"335","Pcod_ll_survey",2,1,2010,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"345","Pcod_ll_survey",2,1,2011,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"355","Pcod_ll_survey",2,1,2012,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"365","Pcod_ll_survey",2,1,2013,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"375","Pcod_ll_survey",2,1,2014,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"385","Pcod_ll_survey",2,1,2015,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"395","Pcod_ll_survey",2,1,2016,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"405","Pcod_ll_survey",2,1,2017,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"415","Pcod_ll_survey",2,1,2018,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"425","Pcod_ll_survey",2,1,2019,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"435","Pcod_ll_survey",2,1,2020,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"445","Pcod_ll_survey",2,1,2021,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"455","Pcod_ll_survey",2,1,2022,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"465","Pcod_ll_survey",2,1,2023,0,0.294795,0.809166,1.40098,1.96643,2.4834,2.96662,3.4422,3.94163,4.48402,5.06365,5.65523,6.22883,6.76144,7.24037,7.66153,8.02637,8.33929,8.6059,8.83205,9.21738
"1","Pcod_trawl_fishery",3,1,1977,0,0.197716,0.561846,0.999546,1.51616,2.17332,2.92977,3.71598,4.4864,5.21516,5.88798,6.49789,7.0428,7.52388,7.9444,8.309,8.62302,8.89202,9.12149,9.3166,9.67444
"11","Pcod_trawl_fishery",3,1,1978,0,0.171151,0.535642,1.01016,1.54865,2.19592,2.93981,3.71987,4.48793,5.21581,5.88828,6.49805,7.04289,7.52393,7.94444,8.30903,8.62304,8.89203,9.1215,9.31661,9.67445
"21","Pcod_trawl_fishery",3,1,1979,0,0.185387,0.570175,1.06326,1.60275,2.23084,2.95639,3.72681,4.49083,5.2171,5.88891,6.49838,7.04309,7.52405,7.94452,8.30909,8.62308,8.89206,9.12153,9.31664,9.67447
"31","Pcod_trawl_fishery",3,1,1980,0,0.201402,0.625202,1.17605,1.75678,2.36571,3.04155,3.77204,4.51359,5.22875,5.89519,6.502,7.04532,7.52553,7.94555,8.30985,8.62367,8.89254,9.12192,9.31697,9.67479
"41","Pcod_trawl_fishery",3,1,1981,0,0.203362,0.578159,1.02692,1.54072,2.18603,2.93465,3.7177,4.48704,5.21542,5.8881,6.49795,7.04284,7.5239,7.94442,8.30901,8.62302,8.89202,9.12149,9.31661,9.67444
"51","Pcod_trawl_fishery",3,1,1982,0,0.168523,0.52593,0.990379,1.52718,2.18289,2.93415,3.71767,4.48706,5.21544,5.88811,6.49795,7.04284,7.5239,7.94442,8.30902,8.62302,8.89202,9.12149,9.31661,9.67444
"61","Pcod_trawl_fishery",3,1,1983,0,0.217494,0.626996,1.1215,1.64462,2.25383,2.96674,3.73108,4.49261,5.2179,5.8893,6.49859,7.04321,7.52413,7.94457,8.30913,8.62311,8.89209,9.12155,9.31665,9.67449
"71","Pcod_trawl_fishery",3,1,1984,0,0.276211,0.669417,1.08282,1.56087,2.19105,2.93564,3.71787,4.48706,5.21542,5.88809,6.49794,7.04283,7.5239,7.94442,8.30901,8.62302,8.89202,9.12149,9.31661,9.67444
"81","Pcod_trawl_fishery",3,1,1985,0,0.160139,0.548331,1.10223,1.72453,2.3724,3.06099,3.78886,4.52478,5.23563,5.89942,6.50468,7.04709,7.52676,7.94645,8.31053,8.62421,8.89298,9.12229,9.31729,9.6751
"91","Pcod_trawl_fishery",3,1,1986,0,0.129646,0.457125,0.933097,1.50225,2.17597,2.93265,3.71738,4.48701,5.21544,5.88811,6.49796,7.04284,7.5239,7.94442,8.30902,8.62302,8.89202,9.12149,9.31661,9.67444
"101","Pcod_trawl_fishery",3,1,1987,0,0.187628,0.570942,1.05723,1.59149,2.22174,2.95153,3.72462,4.48987,5.21666,5.88869,6.49826,7.04302,7.52401,7.94449,8.30907,8.62306,8.89205,9.12152,9.31663,9.67446
"111","Pcod_trawl_fishery",3,1,1988,0,0.203717,0.608441,1.11361,1.65072,2.26308,2.97288,3.73421,4.4941,5.21862,5.88967,6.49879,7.04333,7.52421,7.94463,8.30917,8.62314,8.89211,9.12157,9.31667,9.6745
"121","Pcod_trawl_fishery",3,1,1989,0,0.131857,0.480279,1.00565,1.62363,2.28967,3.00556,3.75636,4.50677,5.22564,5.89367,6.50119,7.04485,7.52523,7.94536,8.30971,8.62356,8.89245,9.12185,9.31692,9.67474
"131","Pcod_trawl_fishery",3,1,1990,0,0.14502,0.5333,1.13014,1.84254,2.58894,3.32247,4.0328,4.7216,5.38367,6.00819,6.58491,7.1074,7.57327,7.98335,8.34064,8.64943,8.91462,9.14126,9.33424,9.69064
"141","Pcod_trawl_fishery",3,1,1991,0,0.14502,0.5333,1.13014,1.84254,2.58894,3.32247,4.0328,4.7216,5.38367,6.00819,6.58491,7.1074,7.57327,7.98335,8.34064,8.64943,8.91462,9.14126,9.33424,9.69064
"151","Pcod_trawl_fishery",3,1,1992,0,0.14502,0.5333,1.13014,1.84254,2.58894,3.32247,4.0328,4.7216,5.38367,6.00819,6.58491,7.1074,7.57327,7.98335,8.34064,8.64943,8.91462,9.14126,9.33424,9.69064
"161","Pcod_trawl_fishery",3,1,1993,0,0.14502,0.5333,1.13014,1.84254,2.58894,3.32247,4.0328,4.7216,5.38367,6.00819,6.58491,7.1074,7.57327,7.98335,8.34064,8.64943,8.91462,9.14126,9.33424,9.69064
"171","Pcod_trawl_fishery",3,1,1994,0,0.14502,0.5333,1.13014,1.84254,2.58894,3.32247,4.0328,4.7216,5.38367,6.00819,6.58491,7.1074,7.57327,7.98335,8.34064,8.64943,8.91462,9.14126,9.33424,9.69064
