,Fleet_name,Fleet_code,Species,Sex,Yr,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Factor,Fleet,Yr.1,Sex.1,Label
63.6,Pcod_bt_survey,1,1,0,2003,0.076918688,0.095936506,0.242894368,0.556779877,0.823394385,0.944005786,0.983140495,0.994604507,0.998057991,0.99919363,0.999609677,0.999779684,0.999856305,0.99989464,0.999915334,0.999927122,0.999934216,0.99993863,0.999941449,0.999942254,Lsel,4,1996,0,1996_4_Lsel
63.7,Pcod_bt_survey,1,1,0,2004,0.076918688,0.095936506,0.242894368,0.556779877,0.823394385,0.944005786,0.983140495,0.994604507,0.998057991,0.99919363,0.999609677,0.999779684,0.999856305,0.99989464,0.999915334,0.999927122,0.999934216,0.99993863,0.999941449,0.999942254,Lsel,4,1996,0,1996_4_Lsel
60,Pcod_bt_survey,1,1,0,2005,0.076918688,0.095936506,0.242894368,0.556779877,0.823394385,0.944005786,0.983140495,0.994604507,0.998057991,0.99919363,0.999609677,0.999779684,0.999856305,0.99989464,0.999915334,0.999927122,0.999934216,0.99993863,0.999941449,0.999942254,Lsel,4,2005,0,2005_4_Lsel
64,Pcod_bt_survey,1,1,0,2006,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
641,Pcod_bt_survey,1,1,0,2007,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
64.1,Pcod_bt_survey,1,1,0,2008,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
64.2,Pcod_bt_survey,1,1,0,2009,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
64.3,Pcod_bt_survey,1,1,0,2010,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
64.4,Pcod_bt_survey,1,1,0,2011,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
64.5,Pcod_bt_survey,1,1,0,2012,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
64.6,Pcod_bt_survey,1,1,0,2013,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
64.7,Pcod_bt_survey,1,1,0,2014,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
64.8,Pcod_bt_survey,1,1,0,2015,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
64.9,Pcod_bt_survey,1,1,0,2016,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
64.1,Pcod_bt_survey,1,1,0,2017,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2006,0,2006_4_Lsel
57,Pcod_bt_survey,1,1,0,2018,0.080102572,0.097395084,0.289799464,0.673280332,0.907372344,0.978499822,0.994913898,0.998622807,0.999544306,0.999806876,0.999893198,0.999925639,0.999939084,0.999945758,0.999949312,0.999951178,0.999952188,0.999952684,0.999952872,0.999952861,Lsel,4,2018,0,2018_4_Lsel
