"","Pred","Pred_species","Prey","Prey_species","PredSex","PreySex","PredAge","PreyAge","propPreyAge"
"14091",1,"W_Pollock",4,"P_Halibut",0,1,"1",7,0
"10948",1,"W_Pollock",4,"P_Halibut",0,2,"1",8,0
"14119",1,"W_Pollock",4,"P_Halibut",0,1,"1",8,0
"10949",1,"W_Pollock",4,"P_Halibut",0,2,"1",9,0
"14106",1,"W_Pollock",4,"P_Halibut",0,1,"1",9,0
"10950",1,"W_Pollock",4,"P_Halibut",0,2,"1",10,0
"14107",1,"W_Pollock",4,"P_Halibut",0,1,"1",10,0
"10951",1,"W_Pollock",4,"P_Halibut",0,2,"1",11,0
"14118",1,"W_Pollock",4,"P_Halibut",0,1,"1",11,0
"10952",1,"W_Pollock",4,"P_Halibut",0,2,"1",12,0
"14109",1,"W_Pollock",4,"P_Halibut",0,1,"1",12,0
"10953",1,"W_Pollock",4,"P_Halibut",0,2,"1",13,0
"14110",1,"W_Pollock",4,"P_Halibut",0,1,"1",13,0
"10954",1,"W_Pollock",4,"P_Halibut",0,2,"1",14,0
"14126",1,"W_Pollock",4,"P_Halibut",0,1,"1",14,0
"10955",1,"W_Pollock",4,"P_Halibut",0,2,"1",15,0
"14099",1,"W_Pollock",4,"P_Halibut",0,1,"1",15,0
"10956",1,"W_Pollock",4,"P_Halibut",0,2,"1",16,0
"14045",1,"W_Pollock",4,"P_Halibut",0,1,"1",16,0
"13144",1,"W_Pollock",4,"P_Halibut",0,2,"1",17,0
"14086",1,"W_Pollock",4,"P_Halibut",0,1,"1",17,0
"13874",1,"W_Pollock",4,"P_Halibut",0,2,"1",18,0
"14047",1,"W_Pollock",4,"P_Halibut",0,1,"1",18,0
"10959",1,"W_Pollock",4,"P_Halibut",0,2,"1",19,0
"13967",1,"W_Pollock",4,"P_Halibut",0,1,"1",19,0
"10960",1,"W_Pollock",4,"P_Halibut",0,2,"1",20,0
"13968",1,"W_Pollock",4,"P_Halibut",0,1,"1",20,0
"10961",1,"W_Pollock",4,"P_Halibut",0,2,"1",21,0
"13929",1,"W_Pollock",4,"P_Halibut",0,1,"1",21,0
"10962",1,"W_Pollock",4,"P_Halibut",0,2,"1",22,0
"13848",1,"W_Pollock",4,"P_Halibut",0,1,"1",22,0
"10963",1,"W_Pollock",4,"P_Halibut",0,2,"1",23,0
"13849",1,"W_Pollock",4,"P_Halibut",0,1,"1",23,0
"10964",1,"W_Pollock",4,"P_Halibut",0,2,"1",24,0
"13729",1,"W_Pollock",4,"P_Halibut",0,1,"1",24,0
"10965",1,"W_Pollock",4,"P_Halibut",0,2,"1",25,0
"13851",1,"W_Pollock",4,"P_Halibut",0,1,"1",25,0
"10966",1,"W_Pollock",4,"P_Halibut",0,2,"1",26,0
"13123",1,"W_Pollock",4,"P_Halibut",0,1,"1",26,0
"10967",1,"W_Pollock",4,"P_Halibut",0,2,"1",27,0
"13124",1,"W_Pollock",4,"P_Halibut",0,1,"1",27,0
"10968",1,"W_Pollock",4,"P_Halibut",0,2,"1",28,0
"13125",1,"W_Pollock",4,"P_Halibut",0,1,"1",28,0
"13126",1,"W_Pollock",4,"P_Halibut",0,1,"1",29,0
"13885",1,"W_Pollock",4,"P_Halibut",0,2,"1",29,0
"13127",1,"W_Pollock",4,"P_Halibut",0,1,"1",30,0
"13886",1,"W_Pollock",4,"P_Halibut",0,2,"1",30,0
"14415",1,"W_Pollock",1,"W_Pollock",0,0,"2",1,0.000165898142575754
"14376",1,"W_Pollock",1,"W_Pollock",0,0,"2",2,2.80581810424732e-07
"14377",1,"W_Pollock",1,"W_Pollock",0,0,"2",3,0
"14742",1,"W_Pollock",1,"W_Pollock",0,0,"2",4,0
"14379",1,"W_Pollock",1,"W_Pollock",0,0,"2",5,0
"14380",1,"W_Pollock",1,"W_Pollock",0,0,"2",6,0
"14381",1,"W_Pollock",1,"W_Pollock",0,0,"2",7,0
"14382",1,"W_Pollock",1,"W_Pollock",0,0,"2",8,0
"14423",1,"W_Pollock",1,"W_Pollock",0,0,"2",9,0
"14384",1,"W_Pollock",1,"W_Pollock",0,0,"2",10,0
"3349",1,"W_Pollock",2,"Arrowtooth",0,2,"2",1,8.13859384100425e-06
"4955",1,"W_Pollock",2,"Arrowtooth",0,1,"2",1,8.20771854837102e-06
"3350",1,"W_Pollock",2,"Arrowtooth",0,2,"2",2,0
"4956",1,"W_Pollock",2,"Arrowtooth",0,1,"2",2,0
"3351",1,"W_Pollock",2,"Arrowtooth",0,2,"2",3,0
"4953",1,"W_Pollock",2,"Arrowtooth",0,1,"2",3,0
"3352",1,"W_Pollock",2,"Arrowtooth",0,2,"2",4,0
"4914",1,"W_Pollock",2,"Arrowtooth",0,1,"2",4,0
"3353",1,"W_Pollock",2,"Arrowtooth",0,2,"2",5,0
"4879",1,"W_Pollock",2,"Arrowtooth",0,1,"2",5,0
"3354",1,"W_Pollock",2,"Arrowtooth",0,2,"2",6,0
"4880",1,"W_Pollock",2,"Arrowtooth",0,1,"2",6,0
"3355",1,"W_Pollock",2,"Arrowtooth",0,2,"2",7,0
"4428",1,"W_Pollock",2,"Arrowtooth",0,1,"2",7,0
"3356",1,"W_Pollock",2,"Arrowtooth",0,2,"2",8,0
"4429",1,"W_Pollock",2,"Arrowtooth",0,1,"2",8,0
"3357",1,"W_Pollock",2,"Arrowtooth",0,2,"2",9,0
"4430",1,"W_Pollock",2,"Arrowtooth",0,1,"2",9,0
"1171",1,"W_Pollock",2,"Arrowtooth",0,2,"2",10,0
"4431",1,"W_Pollock",2,"Arrowtooth",0,1,"2",10,0
"1172",1,"W_Pollock",2,"Arrowtooth",0,2,"2",11,0
"4761",1,"W_Pollock",2,"Arrowtooth",0,1,"2",11,0
"1173",1,"W_Pollock",2,"Arrowtooth",0,2,"2",12,0
"4802",1,"W_Pollock",2,"Arrowtooth",0,1,"2",12,0
"1174",1,"W_Pollock",2,"Arrowtooth",0,2,"2",13,0
"4927",1,"W_Pollock",2,"Arrowtooth",0,1,"2",13,0
"1175",1,"W_Pollock",2,"Arrowtooth",0,2,"2",14,0
"4968",1,"W_Pollock",2,"Arrowtooth",0,1,"2",14,0
"1176",1,"W_Pollock",2,"Arrowtooth",0,2,"2",15,0
"4969",1,"W_Pollock",2,"Arrowtooth",0,1,"2",15,0
"1177",1,"W_Pollock",2,"Arrowtooth",0,2,"2",16,0
"4970",1,"W_Pollock",2,"Arrowtooth",0,1,"2",16,0
"1178",1,"W_Pollock",2,"Arrowtooth",0,2,"2",17,0
"4971",1,"W_Pollock",2,"Arrowtooth",0,1,"2",17,0
"1179",1,"W_Pollock",2,"Arrowtooth",0,2,"2",18,0
"4359",1,"W_Pollock",2,"Arrowtooth",0,1,"2",18,0
"1180",1,"W_Pollock",2,"Arrowtooth",0,2,"2",19,0
"2253",1,"W_Pollock",2,"Arrowtooth",0,1,"2",19,0
"1181",1,"W_Pollock",2,"Arrowtooth",0,2,"2",20,0
"2254",1,"W_Pollock",2,"Arrowtooth",0,1,"2",20,0
"1182",1,"W_Pollock",2,"Arrowtooth",0,2,"2",21,0
"3348",1,"W_Pollock",2,"Arrowtooth",0,1,"2",21,0
"5549",1,"W_Pollock",3,"P_Cod",0,0,"2",1,0
"5591",1,"W_Pollock",3,"P_Cod",0,0,"2",2,0
"5473",1,"W_Pollock",3,"P_Cod",0,0,"2",3,0
"5434",1,"W_Pollock",3,"P_Cod",0,0,"2",4,0
"5312",1,"W_Pollock",3,"P_Cod",0,0,"2",5,0
"5313",1,"W_Pollock",3,"P_Cod",0,0,"2",6,0
"5368",1,"W_Pollock",3,"P_Cod",0,0,"2",7,0
"5288",1,"W_Pollock",3,"P_Cod",0,0,"2",8,0
"5329",1,"W_Pollock",3,"P_Cod",0,0,"2",9,0
"5357",1,"W_Pollock",3,"P_Cod",0,0,"2",10,0
"5330",1,"W_Pollock",3,"P_Cod",0,0,"2",11,0
"5277",1,"W_Pollock",3,"P_Cod",0,0,"2",12,0
"11035",1,"W_Pollock",4,"P_Halibut",0,1,"2",1,0
"13252",1,"W_Pollock",4,"P_Halibut",0,2,"2",1,0
"11036",1,"W_Pollock",4,"P_Halibut",0,1,"2",2,0
"13253",1,"W_Pollock",4,"P_Halibut",0,2,"2",2,0
"13224",1,"W_Pollock",4,"P_Halibut",0,1,"2",3,0
"13254",1,"W_Pollock",4,"P_Halibut",0,2,"2",3,0
"13225",1,"W_Pollock",4,"P_Halibut",0,1,"2",4,0
"13255",1,"W_Pollock",4,"P_Halibut",0,2,"2",4,0
"13226",1,"W_Pollock",4,"P_Halibut",0,1,"2",5,0
"13256",1,"W_Pollock",4,"P_Halibut",0,2,"2",5,0
"13227",1,"W_Pollock",4,"P_Halibut",0,1,"2",6,0
"13865",1,"W_Pollock",4,"P_Halibut",0,2,"2",6,0
"11071",1,"W_Pollock",4,"P_Halibut",0,2,"2",7,0
"13228",1,"W_Pollock",4,"P_Halibut",0,1,"2",7,0
"11072",1,"W_Pollock",4,"P_Halibut",0,2,"2",8,0
"13229",1,"W_Pollock",4,"P_Halibut",0,1,"2",8,0
"11073",1,"W_Pollock",4,"P_Halibut",0,2,"2",9,0
"13230",1,"W_Pollock",4,"P_Halibut",0,1,"2",9,0
"11074",1,"W_Pollock",4,"P_Halibut",0,2,"2",10,0
"13231",1,"W_Pollock",4,"P_Halibut",0,1,"2",10,0
"11075",1,"W_Pollock",4,"P_Halibut",0,2,"2",11,0
"13232",1,"W_Pollock",4,"P_Halibut",0,1,"2",11,0
"11076",1,"W_Pollock",4,"P_Halibut",0,2,"2",12,0
"13233",1,"W_Pollock",4,"P_Halibut",0,1,"2",12,0
"11077",1,"W_Pollock",4,"P_Halibut",0,2,"2",13,0
"14135",1,"W_Pollock",4,"P_Halibut",0,1,"2",13,0
"11078",1,"W_Pollock",4,"P_Halibut",0,2,"2",14,0
"13235",1,"W_Pollock",4,"P_Halibut",0,1,"2",14,0
"11079",1,"W_Pollock",4,"P_Halibut",0,2,"2",15,0
"12143",1,"W_Pollock",4,"P_Halibut",0,1,"2",15,0
"11080",1,"W_Pollock",4,"P_Halibut",0,2,"2",16,0
"12144",1,"W_Pollock",4,"P_Halibut",0,1,"2",16,0
"12145",1,"W_Pollock",4,"P_Halibut",0,1,"2",17,0
"13268",1,"W_Pollock",4,"P_Halibut",0,2,"2",17,0
"12146",1,"W_Pollock",4,"P_Halibut",0,1,"2",18,0
"13998",1,"W_Pollock",4,"P_Halibut",0,2,"2",18,0
"11083",1,"W_Pollock",4,"P_Halibut",0,2,"2",19,0
"12147",1,"W_Pollock",4,"P_Halibut",0,1,"2",19,0
"11084",1,"W_Pollock",4,"P_Halibut",0,2,"2",20,0
"12148",1,"W_Pollock",4,"P_Halibut",0,1,"2",20,0
"11085",1,"W_Pollock",4,"P_Halibut",0,2,"2",21,0
"12149",1,"W_Pollock",4,"P_Halibut",0,1,"2",21,0
"11086",1,"W_Pollock",4,"P_Halibut",0,2,"2",22,0
"12150",1,"W_Pollock",4,"P_Halibut",0,1,"2",22,0
"11087",1,"W_Pollock",4,"P_Halibut",0,2,"2",23,0
"12151",1,"W_Pollock",4,"P_Halibut",0,1,"2",23,0
"11088",1,"W_Pollock",4,"P_Halibut",0,2,"2",24,0
"13245",1,"W_Pollock",4,"P_Halibut",0,1,"2",24,0
"11089",1,"W_Pollock",4,"P_Halibut",0,2,"2",25,0
"13935",1,"W_Pollock",4,"P_Halibut",0,1,"2",25,0
"11090",1,"W_Pollock",4,"P_Halibut",0,2,"2",26,0
"13247",1,"W_Pollock",4,"P_Halibut",0,1,"2",26,0
"11091",1,"W_Pollock",4,"P_Halibut",0,2,"2",27,0
"13248",1,"W_Pollock",4,"P_Halibut",0,1,"2",27,0
"11092",1,"W_Pollock",4,"P_Halibut",0,2,"2",28,0
"13249",1,"W_Pollock",4,"P_Halibut",0,1,"2",28,0
"13250",1,"W_Pollock",4,"P_Halibut",0,1,"2",29,0
"13280",1,"W_Pollock",4,"P_Halibut",0,2,"2",29,0
"13251",1,"W_Pollock",4,"P_Halibut",0,1,"2",30,0
"13281",1,"W_Pollock",4,"P_Halibut",0,2,"2",30,0
"14499",1,"W_Pollock",1,"W_Pollock",0,0,"3",1,0.00213306809180769
"14500",1,"W_Pollock",1,"W_Pollock",0,0,"3",2,4.84912548494606e-06
"14501",1,"W_Pollock",1,"W_Pollock",0,0,"3",3,0
"14866",1,"W_Pollock",1,"W_Pollock",0,0,"3",4,0
"14503",1,"W_Pollock",1,"W_Pollock",0,0,"3",5,0
"14504",1,"W_Pollock",1,"W_Pollock",0,0,"3",6,0
"14505",1,"W_Pollock",1,"W_Pollock",0,0,"3",7,0
"14506",1,"W_Pollock",1,"W_Pollock",0,0,"3",8,0
"14547",1,"W_Pollock",1,"W_Pollock",0,0,"3",9,0
"14508",1,"W_Pollock",1,"W_Pollock",0,0,"3",10,0
"3473",1,"W_Pollock",2,"Arrowtooth",0,2,"3",1,2.68759967815809e-05
"4919",1,"W_Pollock",2,"Arrowtooth",0,1,"3",1,2.71042666091471e-05
"3474",1,"W_Pollock",2,"Arrowtooth",0,2,"3",2,0
"4920",1,"W_Pollock",2,"Arrowtooth",0,1,"3",2,0
"3475",1,"W_Pollock",2,"Arrowtooth",0,2,"3",3,0
"4877",1,"W_Pollock",2,"Arrowtooth",0,1,"3",3,0
"3476",1,"W_Pollock",2,"Arrowtooth",0,2,"3",4,0
"4838",1,"W_Pollock",2,"Arrowtooth",0,1,"3",4,0
"3477",1,"W_Pollock",2,"Arrowtooth",0,2,"3",5,0
"4923",1,"W_Pollock",2,"Arrowtooth",0,1,"3",5,0
"3478",1,"W_Pollock",2,"Arrowtooth",0,2,"3",6,0
"4924",1,"W_Pollock",2,"Arrowtooth",0,1,"3",6,0
"3479",1,"W_Pollock",2,"Arrowtooth",0,2,"3",7,0
"4552",1,"W_Pollock",2,"Arrowtooth",0,1,"3",7,0
"3480",1,"W_Pollock",2,"Arrowtooth",0,2,"3",8,0
"4553",1,"W_Pollock",2,"Arrowtooth",0,1,"3",8,0
"3481",1,"W_Pollock",2,"Arrowtooth",0,2,"3",9,0
"4554",1,"W_Pollock",2,"Arrowtooth",0,1,"3",9,0
"1295",1,"W_Pollock",2,"Arrowtooth",0,2,"3",10,0
"4515",1,"W_Pollock",2,"Arrowtooth",0,1,"3",10,0
"1296",1,"W_Pollock",2,"Arrowtooth",0,2,"3",11,0
"4885",1,"W_Pollock",2,"Arrowtooth",0,1,"3",11,0
"1297",1,"W_Pollock",2,"Arrowtooth",0,2,"3",12,0
"4846",1,"W_Pollock",2,"Arrowtooth",0,1,"3",12,0
"1298",1,"W_Pollock",2,"Arrowtooth",0,2,"3",13,0
"5011",1,"W_Pollock",2,"Arrowtooth",0,1,"3",13,0
"1299",1,"W_Pollock",2,"Arrowtooth",0,2,"3",14,0
"5012",1,"W_Pollock",2,"Arrowtooth",0,1,"3",14,0
"1300",1,"W_Pollock",2,"Arrowtooth",0,2,"3",15,0
"4972",1,"W_Pollock",2,"Arrowtooth",0,1,"3",15,0
"1301",1,"W_Pollock",2,"Arrowtooth",0,2,"3",16,0
"5081",1,"W_Pollock",2,"Arrowtooth",0,1,"3",16,0
"1302",1,"W_Pollock",2,"Arrowtooth",0,2,"3",17,0
"5095",1,"W_Pollock",2,"Arrowtooth",0,1,"3",17,0
"1303",1,"W_Pollock",2,"Arrowtooth",0,2,"3",18,0
"4403",1,"W_Pollock",2,"Arrowtooth",0,1,"3",18,0
"1304",1,"W_Pollock",2,"Arrowtooth",0,2,"3",19,0
"2377",1,"W_Pollock",2,"Arrowtooth",0,1,"3",19,0
"1305",1,"W_Pollock",2,"Arrowtooth",0,2,"3",20,0
"2378",1,"W_Pollock",2,"Arrowtooth",0,1,"3",20,0
"1306",1,"W_Pollock",2,"Arrowtooth",0,2,"3",21,0
"3472",1,"W_Pollock",2,"Arrowtooth",0,1,"3",21,0
"5431",1,"W_Pollock",3,"P_Cod",0,0,"3",1,0
"5432",1,"W_Pollock",3,"P_Cod",0,0,"3",2,0
"5597",1,"W_Pollock",3,"P_Cod",0,0,"3",3,0
"5518",1,"W_Pollock",3,"P_Cod",0,0,"3",4,0
"5396",1,"W_Pollock",3,"P_Cod",0,0,"3",5,0
"5437",1,"W_Pollock",3,"P_Cod",0,0,"3",6,0
"5358",1,"W_Pollock",3,"P_Cod",0,0,"3",7,0
"5304",1,"W_Pollock",3,"P_Cod",0,0,"3",8,0
"5332",1,"W_Pollock",3,"P_Cod",0,0,"3",9,0
"5360",1,"W_Pollock",3,"P_Cod",0,0,"3",10,0
"5361",1,"W_Pollock",3,"P_Cod",0,0,"3",11,0
"5362",1,"W_Pollock",3,"P_Cod",0,0,"3",12,0
"11159",1,"W_Pollock",4,"P_Halibut",0,1,"3",1,3.57632990393708e-09
"13376",1,"W_Pollock",4,"P_Halibut",0,2,"3",1,3.57632990393708e-09
"11160",1,"W_Pollock",4,"P_Halibut",0,1,"3",2,3.57632990393708e-09
"13377",1,"W_Pollock",4,"P_Halibut",0,2,"3",2,3.57632990393708e-09
"13348",1,"W_Pollock",4,"P_Halibut",0,1,"3",3,0
"13378",1,"W_Pollock",4,"P_Halibut",0,2,"3",3,0
"13349",1,"W_Pollock",4,"P_Halibut",0,1,"3",4,0
"13379",1,"W_Pollock",4,"P_Halibut",0,2,"3",4,0
"13350",1,"W_Pollock",4,"P_Halibut",0,1,"3",5,0
"13380",1,"W_Pollock",4,"P_Halibut",0,2,"3",5,0
"13351",1,"W_Pollock",4,"P_Halibut",0,1,"3",6,0
"13868",1,"W_Pollock",4,"P_Halibut",0,2,"3",6,0
"11195",1,"W_Pollock",4,"P_Halibut",0,2,"3",7,0
"13352",1,"W_Pollock",4,"P_Halibut",0,1,"3",7,0
"11196",1,"W_Pollock",4,"P_Halibut",0,2,"3",8,0
"13353",1,"W_Pollock",4,"P_Halibut",0,1,"3",8,0
"11197",1,"W_Pollock",4,"P_Halibut",0,2,"3",9,0
"13354",1,"W_Pollock",4,"P_Halibut",0,1,"3",9,0
"11198",1,"W_Pollock",4,"P_Halibut",0,2,"3",10,0
"13355",1,"W_Pollock",4,"P_Halibut",0,1,"3",10,0
"11199",1,"W_Pollock",4,"P_Halibut",0,2,"3",11,0
"13356",1,"W_Pollock",4,"P_Halibut",0,1,"3",11,0
"11200",1,"W_Pollock",4,"P_Halibut",0,2,"3",12,0
"13357",1,"W_Pollock",4,"P_Halibut",0,1,"3",12,0
"11201",1,"W_Pollock",4,"P_Halibut",0,2,"3",13,0
"14048",1,"W_Pollock",4,"P_Halibut",0,1,"3",13,0
"11202",1,"W_Pollock",4,"P_Halibut",0,2,"3",14,0
"13359",1,"W_Pollock",4,"P_Halibut",0,1,"3",14,0
"11203",1,"W_Pollock",4,"P_Halibut",0,2,"3",15,0
"12267",1,"W_Pollock",4,"P_Halibut",0,1,"3",15,0
"11204",1,"W_Pollock",4,"P_Halibut",0,2,"3",16,0
"12268",1,"W_Pollock",4,"P_Halibut",0,1,"3",16,0
"12269",1,"W_Pollock",4,"P_Halibut",0,1,"3",17,0
"13392",1,"W_Pollock",4,"P_Halibut",0,2,"3",17,0
"12270",1,"W_Pollock",4,"P_Halibut",0,1,"3",18,0
"14001",1,"W_Pollock",4,"P_Halibut",0,2,"3",18,0
"11207",1,"W_Pollock",4,"P_Halibut",0,2,"3",19,0
"12271",1,"W_Pollock",4,"P_Halibut",0,1,"3",19,0
"11208",1,"W_Pollock",4,"P_Halibut",0,2,"3",20,0
"12272",1,"W_Pollock",4,"P_Halibut",0,1,"3",20,0
"11209",1,"W_Pollock",4,"P_Halibut",0,2,"3",21,0
"12273",1,"W_Pollock",4,"P_Halibut",0,1,"3",21,0
"11210",1,"W_Pollock",4,"P_Halibut",0,2,"3",22,0
"12274",1,"W_Pollock",4,"P_Halibut",0,1,"3",22,0
"11211",1,"W_Pollock",4,"P_Halibut",0,2,"3",23,0
"12275",1,"W_Pollock",4,"P_Halibut",0,1,"3",23,0
"11212",1,"W_Pollock",4,"P_Halibut",0,2,"3",24,0
"13369",1,"W_Pollock",4,"P_Halibut",0,1,"3",24,0
"11213",1,"W_Pollock",4,"P_Halibut",0,2,"3",25,0
"13978",1,"W_Pollock",4,"P_Halibut",0,1,"3",25,0
"11214",1,"W_Pollock",4,"P_Halibut",0,2,"3",26,0
"13371",1,"W_Pollock",4,"P_Halibut",0,1,"3",26,0
"11215",1,"W_Pollock",4,"P_Halibut",0,2,"3",27,0
"13372",1,"W_Pollock",4,"P_Halibut",0,1,"3",27,0
"11216",1,"W_Pollock",4,"P_Halibut",0,2,"3",28,0
"13373",1,"W_Pollock",4,"P_Halibut",0,1,"3",28,0
"13374",1,"W_Pollock",4,"P_Halibut",0,1,"3",29,0
"13404",1,"W_Pollock",4,"P_Halibut",0,2,"3",29,0
"13375",1,"W_Pollock",4,"P_Halibut",0,1,"3",30,0
"13405",1,"W_Pollock",4,"P_Halibut",0,2,"3",30,0
"14623",1,"W_Pollock",1,"W_Pollock",0,0,"4",1,0.00310480325364063
"14624",1,"W_Pollock",1,"W_Pollock",0,0,"4",2,1.28215361853605e-05
"14625",1,"W_Pollock",1,"W_Pollock",0,0,"4",3,3.40467859352367e-07
"14990",1,"W_Pollock",1,"W_Pollock",0,0,"4",4,0
"14627",1,"W_Pollock",1,"W_Pollock",0,0,"4",5,0
"14628",1,"W_Pollock",1,"W_Pollock",0,0,"4",6,0
"14629",1,"W_Pollock",1,"W_Pollock",0,0,"4",7,0
"14630",1,"W_Pollock",1,"W_Pollock",0,0,"4",8,0
"14631",1,"W_Pollock",1,"W_Pollock",0,0,"4",9,0
"14632",1,"W_Pollock",1,"W_Pollock",0,0,"4",10,0
"3597",1,"W_Pollock",2,"Arrowtooth",0,2,"4",1,0.000237507372993651
"4963",1,"W_Pollock",2,"Arrowtooth",0,1,"4",1,0.000238974099875822
"3598",1,"W_Pollock",2,"Arrowtooth",0,2,"4",2,8.07898421066488e-06
"4964",1,"W_Pollock",2,"Arrowtooth",0,1,"4",2,8.22621867999367e-06
"3599",1,"W_Pollock",2,"Arrowtooth",0,2,"4",3,0
"4841",1,"W_Pollock",2,"Arrowtooth",0,1,"4",3,0
