"","Area","Yr","Era","Seas","Bio_all","Bio_smry","SpawnBio","Recruit_0","SpawnBio_GP:1","SmryBio_SX:1_GP:1","SmryNum_SX:1_GP:1","sel(B):_1","dead(B):_1","retain(B):_1","sel(N):_1","dead(N):_1","retain(N):_1","obs_cat:_1","F:_1","sel(B):_2","dead(B):_2","retain(B):_2","sel(N):_2","dead(N):_2","retain(N):_2","obs_cat:_2","F:_2","sel(B):_3","dead(B):_3","retain(B):_3","sel(N):_3","dead(N):_3","retain(N):_3","obs_cat:_3","F:_3","SSB_vir_LH","ABC_buffer"
"1465",1,1993,"TIME",1,665035,598760,382899,309854,382899,598760,396797,37809.5,37809.5,37809.5,12520.7,12520.7,12520.7,37809.5,0.14139,8970.38,8970.38,8970.38,2889.01,2889.01,2889.01,8970.38,0.0303079,9707.62,9707.62,9707.62,3139.18,3139.18,3139.18,9707.62,0.0374916,382899,NA
"1466",1,1994,"TIME",1,628624,572142,388969,347856,388969,572142,344109,31446.7,31446.7,31446.7,10275.6,10275.6,10275.6,31446.7,0.116618,6877.4,6877.4,6877.4,2212.45,2212.45,2212.45,6877.4,0.022798,9160.54,9160.54,9160.54,2976.64,2976.64,2976.64,9160.54,0.0343029,388969,NA
"1467",1,1995,"TIME",1,585143,535814,388821,438067,388821,535814,298785,41875,41875,41875,13130,13130,13130,41875,0.159831,11055.3,11055.3,11055.3,3434.51,3434.51,3434.51,11055.3,0.0375578,16054.9,16054.9,16054.9,5067.3,5067.3,5067.3,16054.9,0.0611518,388821,NA
"1468",1,1996,"TIME",1,519793,462568,345532,309470,345532,462568,246982,45990.5,45990.5,45990.5,14040.8,14040.8,14040.8,45990.5,0.197198,10249.3,10249.3,10249.3,3092.23,3092.23,3092.23,10249.3,0.0393477,12040.1,12040.1,12040.1,3692.9,3692.9,3692.9,12040.1,0.0520062,345532,NA
"1469",1,1997,"TIME",1,465313,402790,293694,293505,293694,402790,224521,48405.9,48405.9,48405.9,14816.6,14816.6,14816.6,48405.9,0.244911,11004.2,11004.2,11004.2,3294.89,3294.89,3294.89,11004.2,0.0503796,9065.42,9065.42,9065.42,2751.96,2751.96,2751.96,9065.42,0.0473522,293694,NA
"1470",1,1998,"TIME",1,416933,369812,247246,272155,247246,369812,232664,41569.7,41569.7,41569.7,13251.8,13251.8,13251.8,41569.7,0.250077,10041.1,10041.1,10041.1,3112.1,3112.1,3112.1,10041.1,0.0549532,10510.3,10510.3,10510.3,3282.93,3282.93,3282.93,10510.3,0.0663086,247246,NA
"1471",1,1999,"TIME",1,377406,332947,220957,366527,220957,332947,206994,37174.7,37174.7,37174.7,12389.3,12389.3,12389.3,37174.7,0.261355,12425,12425,12425,4031.46,4031.46,4031.46,12425,0.0787552,19014.8,19014.8,19014.8,6208.18,6208.18,6208.18,19014.8,0.137738,220957,NA
"1472",1,2000,"TIME",1,338761,293034,194687,439377,194687,293034,184662,25456.9,25456.9,25456.9,8675.87,8675.87,8675.87,25456.9,0.202495,11699.8,11699.8,11699.8,3867.91,3867.91,3867.91,11699.8,0.0830394,17350.8,17350.8,17350.8,5748.41,5748.41,5748.41,17350.8,0.138327,194687,NA
"1473",1,2001,"TIME",1,324757,265346,175784,250745,175784,265346,168748,24386.2,24386.2,24386.2,8462.92,8462.92,8462.92,24386.2,0.209527,10061.7,10061.7,10061.7,3350.39,3350.39,3350.39,10061.7,0.0771666,7170.65,7170.65,7170.65,2374.76,2374.76,2374.76,7170.65,0.0613092,175784,NA
"1474",1,2002,"TIME",1,328461,268110,167020,193147,167020,268110,185236,19810.2,19810.2,19810.2,7109.29,7109.29,7109.29,19810.2,0.177908,14841.6,14841.6,14841.6,5051.26,5051.26,5051.26,14841.6,0.119892,7693.58,7693.58,7693.58,2578.56,2578.56,2578.56,7693.58,0.0696366,167020,NA
"1475",1,2003,"TIME",1,323780,287352,165756,244348,165756,287352,213095,18885.5,18885.5,18885.5,7038.23,7038.23,7038.23,18885.5,0.175631,12988,12988,12988,4617.39,4617.39,4617.39,12988,0.10858,20708,20708,20708,7217.49,7217.49,7217.49,20708,0.194438,165756,NA
"1476",1,2004,"TIME",1,300952,269118,166849,307845,166849,269118,180840,17512.6,17512.6,17512.6,6500.93,6500.93,6500.93,17512.6,0.168217,13542.7,13542.7,13542.7,4862.2,4862.2,4862.2,13542.7,0.114893,25568.3,25568.3,25568.3,9062.14,9062.14,9062.14,25568.3,0.239536,166849,NA
"1477",1,2005,"TIME",1,274389,234163,158075,420358,158075,234163,145212,14549.2,14549.2,14549.2,4091.33,4091.33,4091.33,14549.2,0.352927,8633.55,8633.55,8633.55,3201.32,3201.32,3201.32,8633.55,0.0651702,24401.6,24401.6,24401.6,8377.98,8377.98,8377.98,24401.6,0.234785,158075,NA
"1478",1,2006,"TIME",1,266500,214515,141916,686754,141916,214515,139174,13131.8,13131.8,13131.8,3637.88,3637.88,3637.88,13131.8,0.344806,11079,11079,11079,4056.66,4056.66,4056.66,11079,0.095025,23686.3,23686.3,23686.3,7931.7,7931.7,7931.7,23686.3,0.257683,141916,NA
"1479",1,2007,"TIME",1,284405,209046,124747,443195,124747,209046,151120,14775.4,14775.4,14775.4,6155.25,6155.25,6155.25,14775.4,0.19191,12535.2,12535.2,12535.2,4460.09,4460.09,4460.09,12535.2,0.148681,24950.3,24950.3,24950.3,8632.4,8632.4,8632.4,24950.3,0.323327,124747,NA
"1480",1,2008,"TIME",1,321322,224959,116691,651882,116691,224959,183729,20293.4,20293.4,20293.4,9738.75,9738.75,9738.75,20293.4,0.279241,14053.4,14053.4,14053.4,5558.08,5558.08,5558.08,14053.4,0.181827,24667.2,24667.2,24667.2,9258.59,9258.59,9258.59,24667.2,0.3509,116691,NA
"1481",1,2009,"TIME",1,365206,288644,126048,391813,126048,288644,265683,13976.2,13976.2,13976.2,7104.74,7104.74,7104.74,13976.2,0.169446,17350.2,17350.2,17350.2,7426.4,7426.4,7426.4,17350.2,0.198198,21869.9,21869.9,21869.9,8806.79,8806.79,8806.79,21869.9,0.272741,126048,NA
"1482",1,2010,"TIME",1,412065,321740,164317,506839,164317,321740,257870,21842,21842,21842,10688.8,10688.8,10688.8,21842,0.219373,21837.8,21837.8,21837.8,9219.52,9219.52,9219.52,21837.8,0.199897,34720,34720,34720,13932.9,13932.9,13932.9,34720,0.337328,164317,NA
"1483",1,2011,"TIME",1,425550,360550,186628,655108,186628,360550,296314,16456.3,16456.3,16456.3,7645.12,7645.12,7645.12,16456.3,0.147484,23026.2,23026.2,23026.2,9362.75,9362.75,9362.75,23026.2,0.18494,45907.5,45907.5,45907.5,17781.1,17781.1,17781.1,45907.5,0.386723,186628,NA
"1484",1,2012,"TIME",1,431913,347794,198720,1215110,198720,347794,255557,20084.1,20084.1,20084.1,8921.11,8921.11,8921.11,20084.1,0.167521,20668.2,20668.2,20668.2,8099.88,8099.88,8099.88,20668.2,0.153071,37177.9,37177.9,37177.9,14027.9,14027.9,14027.9,37177.9,0.288456,198720,NA
"1485",1,2013,"TIME",1,475139,352042,205243,638080,205243,352042,261290,21706,21706,21706,9577.21,9577.21,9577.21,21706,0.170019,15728.5,15728.5,15728.5,5964.69,5964.69,5964.69,15728.5,0.109821,31166.5,31166.5,31166.5,11378.3,11378.3,11378.3,31166.5,0.228762,205243,NA
"1486",1,2014,"TIME",1,553456,388808,213549,211074,213549,388808,304740,26916.7,26916.7,26916.7,12573.9,12573.9,12573.9,26916.7,0.236616,19647.7,19647.7,19647.7,7636.87,7636.87,7636.87,19647.7,0.158926,38402.8,38402.8,38402.8,14158.1,14158.1,14158.1,38402.8,0.333474,213549,NA
"1487",1,2015,"TIME",1,408888,351762,156531,260163,156531,351762,322012,22268.1,22268.1,22268.1,10966,10966,10966,22268.1,0.269081,16847.3,16847.3,16847.3,7121.61,7121.61,7121.61,16847.3,0.191241,40372.2,40372.2,40372.2,16051.5,16051.5,16051.5,40372.2,0.500086,156531,NA
"1488",1,2016,"TIME",1,266608,247548,125791,168038,125791,247548,197036,15216.9,15216.9,15216.9,7055.83,7055.83,7055.83,15216.9,0.24669,11011.5,11011.5,11011.5,4637.26,4637.26,4637.26,11011.5,0.160004,37857.9,37857.9,37857.9,15324.4,15324.4,15324.4,37857.9,0.581579,125791,NA
"1489",1,2017,"TIME",1,157240,137945,89922.4,246044,89922.4,137945,87420.8,13041.1,13041.1,13041.1,5623.11,5623.11,5623.11,13041.1,0.206354,9265.92,9265.92,9265.92,3541.86,3541.86,3541.86,9265.92,0.162025,26436.5,26436.5,26436.5,10123.7,10123.7,10123.7,26436.5,0.423723,89922.4,NA
"1490",1,2018,"TIME",1,131650,108420,71879.6,389895,71879.6,108420,71400.3,3817.98,3817.98,3817.98,1548.61,1548.61,1548.61,3817.98,0.0660969,3725.55,3725.55,3725.55,1301.54,1301.54,1301.54,3725.55,0.0697667,7673.05,7673.05,7673.05,2686.2,2686.2,2686.2,7673.05,0.134138,71879.6,NA
"1491",1,2019,"TIME",1,149969,106323,69588.3,399011,69588.3,106323,69490.7,4538.01,4538.01,4538.01,1898.67,1898.67,1898.67,4538.01,0.0790579,3632.34,3632.34,3632.34,1231.35,1231.35,1231.35,3632.34,0.0697924,7552.92,7552.92,7552.92,2557.13,2557.13,2557.13,7552.92,0.137314,69588.3,NA
"1492",1,2020,"TIME",1,186666,126135,69262.5,463705,69262.5,126135,99886.9,2148.28,2148.28,2148.28,993.747,993.747,993.747,2148.28,0.0334743,1363.36,1363.36,1363.36,484.792,484.792,484.792,1363.36,0.0245512,1727.29,1727.29,1727.29,608.27,608.27,608.27,1727.29,0.0295455,69262.5,NA
"1493",1,2021,"FORE",1,247415,183283,89117.2,463705,89117.2,183283,157203,7096.03,7096.03,7096.03,3511.93,3511.93,3511.93,NA,0.0895586,4554.28,4554.28,4554.28,1755.68,1755.68,1755.68,NA,0.068925,12961.5,12961.5,12961.5,4940.95,4940.95,4940.95,NA,0.185207,89117.2,0.514508
"1494",1,2022,"FORE",1,299728,228176,113591,463705,113591,228176,189131,11333,11333,11333,5685.54,5685.54,5685.54,NA,0.116664,7271.08,7271.08,7271.08,2926.32,2926.32,2926.32,NA,0.0897856,20957.1,20957.1,20957.1,8351.43,8351.43,8351.43,NA,0.241262,113591,0.670228
"1495",1,2023,"FORE",1,340919,269374,138681,463705,138681,269374,219859,16402.7,16402.7,16402.7,8100.87,8100.87,8100.87,NA,0.144453,10670.9,10670.9,10670.9,4298.91,4298.91,4298.91,NA,0.111172,30885.9,30885.9,30885.9,12325.4,12325.4,12325.4,NA,0.298728,138681,0.82987
"1496",1,2024,"FORE",1,364621,293081,155515,463705,155515,293081,233132,20193.1,20193.1,20193.1,9804.04,9804.04,9804.04,NA,0.163098,13258.5,13258.5,13258.5,5300.85,5300.85,5300.85,NA,0.125521,38385.5,38385.5,38385.5,15221.1,15221.1,15221.1,NA,0.337286,155515,0.936984
"1497",1,2025,"FORE",1,374629,303093,164308,463705,164308,303093,237139,22217.5,22217.5,22217.5,10645.3,10645.3,10645.3,NA,0.172836,14679.8,14679.8,14679.8,5812.83,5812.83,5812.83,NA,0.133016,42490.8,42490.8,42490.8,16702.2,16702.2,16702.2,NA,0.357426,164308,0.992932
"1498",1,2026,"FORE",1,376786,305252,166751,463705,166751,305252,237472,22615.5,22615.5,22615.5,10769.6,10769.6,10769.6,NA,0.174067,14980.7,14980.7,14980.7,5897.84,5897.84,5897.84,NA,0.133963,43332.3,43332.3,43332.3,16940.7,16940.7,16940.7,NA,0.35997,166751,1
"1499",1,2027,"FORE",1,377171,305637,167302,463705,167302,305637,237336,22673,22673,22673,10769.1,10769.1,10769.1,NA,0.174067,15027.9,15027.9,15027.9,5899.34,5899.34,5899.34,NA,0.133963,43448,43448,43448,16940.2,16940.2,16940.2,NA,0.35997,167302,1
"1500",1,2028,"FORE",1,377215,305682,167388,463705,167388,305682,237250,22680.8,22680.8,22680.8,10763.9,10763.9,10763.9,NA,0.174067,15034,15034,15034,5895.48,5895.48,5895.48,NA,0.133963,43457.9,43457.9,43457.9,16927.7,16927.7,16927.7,NA,0.35997,167388,1
"1501",1,2029,"FORE",1,377143,305609,167324,463705,167324,305609,237213,22673.3,22673.3,22673.3,10760.8,10760.8,10760.8,NA,0.174067,15028.1,15028.1,15028.1,5893.07,5893.07,5893.07,NA,0.133963,43440.5,43440.5,43440.5,16920.7,16920.7,16920.7,NA,0.35997,167324,1
"1502",1,2030,"FORE",1,377127,305593,167309,463705,167309,305593,237199,22671.3,22671.3,22671.3,10759.5,10759.5,10759.5,NA,0.174067,15026.5,15026.5,15026.5,5892.08,5892.08,5892.08,NA,0.133963,43435.6,43435.6,43435.6,16917.9,16917.9,16917.9,NA,0.35997,167309,1
"1503",1,2031,"FORE",1,377108,305575,167291,463705,167291,305575,237195,22669.2,22669.2,22669.2,10759,10759,10759,NA,0.174067,15024.8,15024.8,15024.8,5891.72,5891.72,5891.72,NA,0.133963,43431.1,43431.1,43431.1,16916.9,16916.9,16916.9,NA,0.35997,167291,1
"1504",1,2032,"FORE",1,377099,305566,167282,463705,167282,305566,237193,22668.3,22668.3,22668.3,10758.9,10758.9,10758.9,NA,0.174067,15024.1,15024.1,15024.1,5891.6,5891.6,5891.6,NA,0.133963,43429.1,43429.1,43429.1,16916.6,16916.6,16916.6,NA,0.35997,167282,1
"1505",1,2033,"FORE",1,377096,305562,167278,463705,167278,305562,237193,22667.9,22667.9,22667.9,10758.8,10758.8,10758.8,NA,0.174067,15023.8,15023.8,15023.8,5891.56,5891.56,5891.56,NA,0.133963,43428.3,43428.3,43428.3,16916.5,16916.5,16916.5,NA,0.35997,167278,1
"1506",1,2034,"FORE",1,377095,305561,167277,463705,167277,305561,237192,22667.8,22667.8,22667.8,10758.8,10758.8,10758.8,NA,0.174067,15023.7,15023.7,15023.7,5891.54,5891.54,5891.54,NA,0.133963,43428.1,43428.1,43428.1,16916.5,16916.5,16916.5,NA,0.35997,167277,1
"1507",1,2035,"FORE",1,377094,305561,167277,463705,167277,305561,237192,22667.7,22667.7,22667.7,10758.8,10758.8,10758.8,NA,0.174067,15023.7,15023.7,15023.7,5891.54,5891.54,5891.54,NA,0.133963,43428,43428,43428,16916.5,16916.5,16916.5,NA,0.35997,167277,1
