"","Pred","Prey","Pred_sex","Prey_sex","Pred_age","Prey_age","Year","Sample_size","Stomach_proportion_by_weight"
"312",1,3,1,1,5,8,0,20,0
"313",1,3,1,1,5,9,0,20,0
"314",1,3,1,1,5,10,0,20,0
"315",1,3,1,1,5,11,0,20,0
"316",1,3,1,1,5,12,0,20,0
"317",1,3,1,1,5,13,0,20,0
"318",1,3,1,1,5,14,0,20,0
"319",1,3,1,1,5,15,0,20,0
"320",1,3,1,1,5,16,0,20,0
"321",1,3,1,1,5,17,0,20,0
"322",1,3,1,1,5,18,0,20,0
"323",1,3,1,1,5,19,0,20,0
"324",1,3,1,1,5,20,0,20,0
"325",1,3,1,1,5,21,0,20,0
"326",1,3,1,1,6,1,0,20,0.00076051449477284
"327",1,3,1,1,6,2,0,20,0
"328",1,3,1,1,6,3,0,20,0
"329",1,3,1,1,6,4,0,20,0
"330",1,3,1,1,6,5,0,20,0
"331",1,3,1,1,6,6,0,20,0
"332",1,3,1,1,6,7,0,20,0
"333",1,3,1,1,6,8,0,20,0
"334",1,3,1,1,6,9,0,20,0
"335",1,3,1,1,6,10,0,20,0
"336",1,3,1,1,6,11,0,20,0
"337",1,3,1,1,6,12,0,20,0
"338",1,3,1,1,6,13,0,20,0
"339",1,3,1,1,6,14,0,20,0
"340",1,3,1,1,6,15,0,20,0
"341",1,3,1,1,6,16,0,20,0
"342",1,3,1,1,6,17,0,20,0
"343",1,3,1,1,6,18,0,20,0
"344",1,3,1,1,6,19,0,20,0
"345",1,3,1,1,6,20,0,20,0
"346",1,3,1,1,6,21,0,20,0
"347",1,3,1,1,7,1,0,20,0.000101925254813137
"348",1,3,1,1,7,2,0,20,0
"349",1,3,1,1,7,3,0,20,0
"350",1,3,1,1,7,4,0,20,0
"351",1,3,1,1,7,5,0,20,0
"352",1,3,1,1,7,6,0,20,0
"353",1,3,1,1,7,7,0,20,0
"354",1,3,1,1,7,8,0,20,0
"355",1,3,1,1,7,9,0,20,0
"356",1,3,1,1,7,10,0,20,0
"357",1,3,1,1,7,11,0,20,0
"358",1,3,1,1,7,12,0,20,0
"359",1,3,1,1,7,13,0,20,0.000101925254813137
"360",1,3,1,1,7,14,0,20,0
"361",1,3,1,1,7,15,0,20,0
"362",1,3,1,1,7,16,0,20,0
"363",1,3,1,1,7,17,0,20,0
"364",1,3,1,1,7,18,0,20,0
"365",1,3,1,1,7,19,0,20,0
"366",1,3,1,1,7,20,0,20,0
"367",1,3,1,1,7,21,0,20,0
"368",1,3,1,1,8,1,0,20,0
"369",1,3,1,1,8,2,0,20,0
"370",1,3,1,1,8,3,0,20,0
"371",1,3,1,1,8,4,0,20,0
"372",1,3,1,1,8,5,0,20,0
"373",1,3,1,1,8,6,0,20,0
"374",1,3,1,1,8,7,0,20,0
"375",1,3,1,1,8,8,0,20,0
"376",1,3,1,1,8,9,0,20,0
"377",1,3,1,1,8,10,0,20,0
"378",1,3,1,1,8,11,0,20,0
"379",1,3,1,1,8,12,0,20,0
"380",1,3,1,1,8,13,0,20,0
"381",1,3,1,1,8,14,0,20,0
"382",1,3,1,1,8,15,0,20,0
"383",1,3,1,1,8,16,0,20,0
"384",1,3,1,1,8,17,0,20,0
"385",1,3,1,1,8,18,0,20,0
"386",1,3,1,1,8,19,0,20,0
"387",1,3,1,1,8,20,0,20,0
"388",1,3,1,1,8,21,0,20,0
"389",1,3,1,1,9,1,0,20,0.00133909872399737
"390",1,3,1,1,9,2,0,20,0
"391",1,3,1,1,9,3,0,20,0
"392",1,3,1,1,9,4,0,20,0
"393",1,3,1,1,9,5,0,20,0
"394",1,3,1,1,9,6,0,20,0
"395",1,3,1,1,9,7,0,20,0
"396",1,3,1,1,9,8,0,20,0
"397",1,3,1,1,9,9,0,20,0
"398",1,3,1,1,9,10,0,20,0
"399",1,3,1,1,9,11,0,20,0
"400",1,3,1,1,9,12,0,20,0
"401",1,3,1,1,9,13,0,20,0
"402",1,3,1,1,9,14,0,20,0
"403",1,3,1,1,9,15,0,20,0
"404",1,3,1,1,9,16,0,20,0
"405",1,3,1,1,9,17,0,20,0
"406",1,3,1,1,9,18,0,20,0
"407",1,3,1,1,9,19,0,20,0
"408",1,3,1,1,9,20,0,20,0
"409",1,3,1,1,9,21,0,20,0
"410",1,3,1,1,10,1,0,20,0.00119573617777946
"411",1,3,1,1,10,2,0,20,0
"412",1,3,1,1,10,3,0,20,0
"413",1,3,1,1,10,4,0,20,0
"414",1,3,1,1,10,5,0,20,0
"415",1,3,1,1,10,6,0,20,0
"416",1,3,1,1,10,7,0,20,0
"417",1,3,1,1,10,8,0,20,0
"418",1,3,1,1,10,9,0,20,0
"419",1,3,1,1,10,10,0,20,0
"420",1,3,1,1,10,11,0,20,0
"421",1,3,1,1,10,12,0,20,0
"422",1,3,1,1,10,13,0,20,0
"423",1,3,1,1,10,14,0,20,0
"424",1,3,1,1,10,15,0,20,0
"425",1,3,1,1,10,16,0,20,0
"426",1,3,1,1,10,17,0,20,0
"427",1,3,1,1,10,18,0,20,0
"428",1,3,1,1,10,19,0,20,0
"429",1,3,1,1,10,20,0,20,0
"430",1,3,1,1,10,21,0,20,0
"431",1,3,1,2,1,1,0,20,0
"432",1,3,1,2,1,2,0,20,0
"433",1,3,1,2,1,3,0,20,0
"434",1,3,1,2,1,4,0,20,0
"435",1,3,1,2,1,5,0,20,0
"436",1,3,1,2,1,6,0,20,0
"437",1,3,1,2,1,7,0,20,0
"438",1,3,1,2,1,8,0,20,0
"439",1,3,1,2,1,9,0,20,0
"440",1,3,1,2,1,10,0,20,0
"441",1,3,1,2,1,11,0,20,0
"442",1,3,1,2,1,12,0,20,0
"443",1,3,1,2,1,13,0,20,0
"444",1,3,1,2,1,14,0,20,0
"445",1,3,1,2,1,15,0,20,0
"446",1,3,1,2,1,16,0,20,0
"447",1,3,1,2,1,17,0,20,0
"448",1,3,1,2,1,18,0,20,0
"449",1,3,1,2,1,19,0,20,0
"450",1,3,1,2,1,20,0,20,0
"451",1,3,1,2,1,21,0,20,0
"452",1,3,1,2,2,1,0,20,0.000189701630186846
"453",1,3,1,2,2,2,0,20,0
"454",1,3,1,2,2,3,0,20,0
"455",1,3,1,2,2,4,0,20,0
"456",1,3,1,2,2,5,0,20,0
"457",1,3,1,2,2,6,0,20,0
"458",1,3,1,2,2,7,0,20,0
"459",1,3,1,2,2,8,0,20,0
"460",1,3,1,2,2,9,0,20,0
"461",1,3,1,2,2,10,0,20,0
"462",1,3,1,2,2,11,0,20,0
"463",1,3,1,2,2,12,0,20,0
"464",1,3,1,2,2,13,0,20,0
"465",1,3,1,2,2,14,0,20,0
"466",1,3,1,2,2,15,0,20,0
"467",1,3,1,2,2,16,0,20,0
"468",1,3,1,2,2,17,0,20,0
"469",1,3,1,2,2,18,0,20,0
"470",1,3,1,2,2,19,0,20,0
"471",1,3,1,2,2,20,0,20,0
"472",1,3,1,2,2,21,0,20,0
"473",1,3,1,2,3,1,0,20,0.000517799352750809
"474",1,3,1,2,3,2,0,20,0
"475",1,3,1,2,3,3,0,20,0
"476",1,3,1,2,3,4,0,20,0
"477",1,3,1,2,3,5,0,20,0
"478",1,3,1,2,3,6,0,20,0
"479",1,3,1,2,3,7,0,20,0
"480",1,3,1,2,3,8,0,20,0
"481",1,3,1,2,3,9,0,20,0
"482",1,3,1,2,3,10,0,20,0
"483",1,3,1,2,3,11,0,20,0
"484",1,3,1,2,3,12,0,20,0
"485",1,3,1,2,3,13,0,20,0
"486",1,3,1,2,3,14,0,20,0
"487",1,3,1,2,3,15,0,20,0
"488",1,3,1,2,3,16,0,20,0
"489",1,3,1,2,3,17,0,20,0
"490",1,3,1,2,3,18,0,20,0
"491",1,3,1,2,3,19,0,20,0
"492",1,3,1,2,3,20,0,20,0
"493",1,3,1,2,3,21,0,20,0
"494",1,3,1,2,4,1,0,20,2.98764381745694e-05
"495",1,3,1,2,4,2,0,20,0
"496",1,3,1,2,4,3,0,20,0
"497",1,3,1,2,4,4,0,20,0
"498",1,3,1,2,4,5,0,20,0
"499",1,3,1,2,4,6,0,20,0
"500",1,3,1,2,4,7,0,20,0
"501",1,3,1,2,4,8,0,20,0
"502",1,3,1,2,4,9,0,20,0
"503",1,3,1,2,4,10,0,20,0
"504",1,3,1,2,4,11,0,20,0
"505",1,3,1,2,4,12,0,20,0
"506",1,3,1,2,4,13,0,20,0
"507",1,3,1,2,4,14,0,20,0
"508",1,3,1,2,4,15,0,20,0
"509",1,3,1,2,4,16,0,20,0
"510",1,3,1,2,4,17,0,20,0
"511",1,3,1,2,4,18,0,20,0
"512",1,3,1,2,4,19,0,20,0
"513",1,3,1,2,4,20,0,20,0
"514",1,3,1,2,4,21,0,20,0
"515",1,3,1,2,5,1,0,20,0.000433199045493629
"516",1,3,1,2,5,2,0,20,0
"517",1,3,1,2,5,3,0,20,0
"518",1,3,1,2,5,4,0,20,0
"519",1,3,1,2,5,5,0,20,0
"520",1,3,1,2,5,6,0,20,0
"521",1,3,1,2,5,7,0,20,0
"522",1,3,1,2,5,8,0,20,0
"523",1,3,1,2,5,9,0,20,0
"524",1,3,1,2,5,10,0,20,0
"525",1,3,1,2,5,11,0,20,0
"526",1,3,1,2,5,12,0,20,0
"527",1,3,1,2,5,13,0,20,0
"528",1,3,1,2,5,14,0,20,0
"529",1,3,1,2,5,15,0,20,0
"530",1,3,1,2,5,16,0,20,0
"531",1,3,1,2,5,17,0,20,0
"532",1,3,1,2,5,18,0,20,0
"533",1,3,1,2,5,19,0,20,0
"534",1,3,1,2,5,20,0,20,0
"535",1,3,1,2,5,21,0,20,0
"536",1,3,1,2,6,1,0,20,0.00076051449477284
"537",1,3,1,2,6,2,0,20,0
"538",1,3,1,2,6,3,0,20,0
"539",1,3,1,2,6,4,0,20,0
"540",1,3,1,2,6,5,0,20,0
"541",1,3,1,2,6,6,0,20,0
"542",1,3,1,2,6,7,0,20,0
"543",1,3,1,2,6,8,0,20,0
"544",1,3,1,2,6,9,0,20,0
"545",1,3,1,2,6,10,0,20,0
"546",1,3,1,2,6,11,0,20,0
"547",1,3,1,2,6,12,0,20,0
"548",1,3,1,2,6,13,0,20,0
"549",1,3,1,2,6,14,0,20,0
"550",1,3,1,2,6,15,0,20,0
"551",1,3,1,2,6,16,0,20,0
"552",1,3,1,2,6,17,0,20,0
"553",1,3,1,2,6,18,0,20,0
"554",1,3,1,2,6,19,0,20,0
"555",1,3,1,2,6,20,0,20,0
"556",1,3,1,2,6,21,0,20,0
"557",1,3,1,2,7,1,0,20,0.000101925254813137
"558",1,3,1,2,7,2,0,20,0
"559",1,3,1,2,7,3,0,20,0
"560",1,3,1,2,7,4,0,20,0
"561",1,3,1,2,7,5,0,20,0
"562",1,3,1,2,7,6,0,20,0
"563",1,3,1,2,7,7,0,20,0
"564",1,3,1,2,7,8,0,20,0
"565",1,3,1,2,7,9,0,20,0
"566",1,3,1,2,7,10,0,20,0
"567",1,3,1,2,7,11,0,20,0
"568",1,3,1,2,7,12,0,20,0
"569",1,3,1,2,7,13,0,20,0
"570",1,3,1,2,7,14,0,20,0
"571",1,3,1,2,7,15,0,20,0
"572",1,3,1,2,7,16,0,20,0
"573",1,3,1,2,7,17,0,20,0
"574",1,3,1,2,7,18,0,20,0
"575",1,3,1,2,7,19,0,20,0
"576",1,3,1,2,7,20,0,20,0
"577",1,3,1,2,7,21,0,20,0
"578",1,3,1,2,8,1,0,20,0
"579",1,3,1,2,8,2,0,20,0
"580",1,3,1,2,8,3,0,20,0
"581",1,3,1,2,8,4,0,20,0
"582",1,3,1,2,8,5,0,20,0
"583",1,3,1,2,8,6,0,20,0
"584",1,3,1,2,8,7,0,20,0
"585",1,3,1,2,8,8,0,20,0
"586",1,3,1,2,8,9,0,20,0
"587",1,3,1,2,8,10,0,20,0
