Survey,Year,Cruise Join ID,Haul Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satifactory Gear Performance,Gear Performance Description,Gear Depth,Bottom Depth,Specimen ID,Biostratum,Species Code,Common Name,Scientific Name,Length (mm),Sex,Weight (gm),Age (years),Maturity,Maturity Table,Gonad Weight,Specimen Subsample Method,Specimen Sample Type,Age Determination Method,AKFIN Load Date
GOA,2015,-699,-14884,201501,143,224,58.4403,-149.17709,58.45177,-149.19015,131,Kodiak,101,200,Portlock Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,119,127,544,0,10110,arrowtooth flounder,Atheresthes stomias,630,Female,2004,,,,,6,1,,5-Oct-20
GOA,2015,-699,-14914,201501,143,253,60.19187,-146.30672,60.19245,-146.3332,140,Yakutat,101,200,Middleton Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,101,108,558,0,10110,arrowtooth flounder,Atheresthes stomias,500,Male,1060,12,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14916,201501,143,255,60.13737,-146.04044,60.14243,-146.06409,41,Yakutat,1,100,Middleton Shallows,EASTERN GOA,SHELF,,,0,Y,Good performance,80,86,563,0,10110,arrowtooth flounder,Atheresthes stomias,200,Male,66,2,,,,6,1,3,5-Oct-20
GOA,2015,-699,-14918,201501,143,257,59.90447,-146.08595,59.90405,-146.11214,41,Yakutat,1,100,Middleton Shallows,EASTERN GOA,SHELF,,,0,Y,Good performance,85,91,587,0,10110,arrowtooth flounder,Atheresthes stomias,150,Female,26,1,,,,6,1,3,5-Oct-20
GOA,2015,-699,-14922,201501,143,261,60.0006,-145.13466,60.00083,-145.16002,140,Yakutat,101,200,Middleton Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,118,125,612,0,10110,arrowtooth flounder,Atheresthes stomias,340,Female,298,,,,,6,1,,5-Oct-20
GOA,2015,-699,-14922,201501,143,261,60.0006,-145.13466,60.00083,-145.16002,140,Yakutat,101,200,Middleton Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,118,125,615,0,10110,arrowtooth flounder,Atheresthes stomias,510,Female,1114,14,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14922,201501,143,261,60.0006,-145.13466,60.00083,-145.16002,140,Yakutat,101,200,Middleton Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,118,125,617,0,10110,arrowtooth flounder,Atheresthes stomias,510,Male,1206,14,,,,6,1,6,5-Oct-20
GOA,2017,-715,-16849,201701,143,143,57.75265,-151.68137,57.76544,-151.69019,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,47,54,249,0,10110,arrowtooth flounder,Atheresthes stomias,450,Female,692,5,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16859,201701,143,153,57.58761,-150.45274,57.59499,-150.43231,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,,,0,Y,Good performance,112,119,269,0,10110,arrowtooth flounder,Atheresthes stomias,320,Male,220,4,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16870,201701,143,164,58.30685,-149.77028,58.31437,-149.79117,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,75,83,286,0,10110,arrowtooth flounder,Atheresthes stomias,180,Female,48,4,,,,1,1,7,5-Oct-20
GOA,2017,-715,-16873,201701,143,167,58.50056,-150.94233,58.50004,-150.9176,131,Kodiak,101,200,Portlock Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,114,121,289,0,10110,arrowtooth flounder,Atheresthes stomias,400,Female,584,5,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16873,201701,143,167,58.50056,-150.94233,58.50004,-150.9176,131,Kodiak,101,200,Portlock Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,114,121,290,0,10110,arrowtooth flounder,Atheresthes stomias,380,Male,434,5,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16879,201701,143,173,58.0966,-151.30249,58.1006,-151.32691,130,Kodiak,101,200,Albatross Gullies,CENTRAL GOA,GULLY,,,0,Y,Good performance,140,146,301,0,10110,arrowtooth flounder,Atheresthes stomias,630,Female,2272,10,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16881,201701,143,176,57.99948,-151.49238,57.99236,-151.51358,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,83,90,306,0,10110,arrowtooth flounder,Atheresthes stomias,250,Female,122,4,,,,1,1,3,5-Oct-20
GOA,2017,-715,-16882,201701,143,177,58.35476,-151.741,58.36437,-151.75896,30,Kodiak,1,100,Albatross Shallows,CENTRAL GOA,SHELF,,,0,Y,Good performance,68,76,307,0,10110,arrowtooth flounder,Atheresthes stomias,270,Female,168,2,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16886,201701,143,181,58.84307,-152.14935,58.84341,-152.12375,132,Kodiak,101,200,Barren Islands,CENTRAL GOA,SHELF,,,0,Y,Good performance,110,117,315,0,10110,arrowtooth flounder,Atheresthes stomias,250,Female,136,2,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16888,201701,143,183,59.17163,-153.86577,59.17721,-153.89307,32,Kodiak,1,100,Lower Cook Inlet,CENTRAL GOA,SHELF,,,0,Y,Good performance,12,19,319,0,10110,arrowtooth flounder,Atheresthes stomias,170,Female,34,2,,,,1,1,3,5-Oct-20
GOA,2017,-715,-16889,201701,143,184,59.12048,-153.48012,59.12493,-153.50559,32,Kodiak,1,100,Lower Cook Inlet,CENTRAL GOA,SHELF,,,0,Y,Good performance,33,40,321,0,10110,arrowtooth flounder,Atheresthes stomias,530,Female,1124,12,,,,1,1,6,5-Oct-20
GOA,2011,-667,-7439,201101,143,25,53.8911,-164.31228,53.88263,-164.3298,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,87,95,91,0,10110,arrowtooth flounder,Atheresthes stomias,250,Female,120,4,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7439,201101,143,25,53.8911,-164.31228,53.88263,-164.3298,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,87,95,98,0,10110,arrowtooth flounder,Atheresthes stomias,400,Female,452,6,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7439,201101,143,25,53.8911,-164.31228,53.88263,-164.3298,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,87,95,105,0,10110,arrowtooth flounder,Atheresthes stomias,290,Male,194,4,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7441,201101,143,27,54.04588,-164.3546,54.04028,-164.37473,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,89,98,129,0,10110,arrowtooth flounder,Atheresthes stomias,300,Female,222,4,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7441,201101,143,27,54.04588,-164.3546,54.04028,-164.37473,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,89,98,133,0,10110,arrowtooth flounder,Atheresthes stomias,260,Female,138,3,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7441,201101,143,27,54.04588,-164.3546,54.04028,-164.37473,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,89,98,138,0,10110,arrowtooth flounder,Atheresthes stomias,410,Male,652,6,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7441,201101,143,27,54.04588,-164.3546,54.04028,-164.37473,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,89,98,140,0,10110,arrowtooth flounder,Atheresthes stomias,360,Male,370,5,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7448,201101,143,34,54.20235,-164.37743,54.20222,-164.40013,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,90,99,151,0,10110,arrowtooth flounder,Atheresthes stomias,520,Female,1102,12,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7451,201101,143,37,54.40633,-163.89832,54.40592,-163.92163,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,77,85,159,0,10110,arrowtooth flounder,Atheresthes stomias,610,Female,1632,19,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7453,201101,143,39,54.53818,-163.73453,54.53592,-163.75712,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,88,96,164,0,10110,arrowtooth flounder,Atheresthes stomias,440,Female,842,6,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7459,201101,143,45,55.02773,-161.07583,55.03865,-161.06305,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,131,138,177,0,10110,arrowtooth flounder,Atheresthes stomias,740,Female,4026,20,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7460,201101,143,46,55.83557,-159.79417,55.84063,-159.7718,12,Shumagin,1,100,Lower Alaska Peninsula,WESTERN GOA,SHELF,,,0,Y,Good performance,38,46,181,0,10110,arrowtooth flounder,Atheresthes stomias,690,Female,2470,14,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7466,201101,143,52,55.1615,-159.87543,55.17482,-159.87238,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,82,89,194,0,10110,arrowtooth flounder,Atheresthes stomias,440,Male,662,7,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7466,201101,143,52,55.1615,-159.87543,55.17482,-159.87238,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,82,89,196,0,10110,arrowtooth flounder,Atheresthes stomias,500,Male,958,19,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7470,201101,143,56,54.94417,-160.28308,54.95715,-160.27637,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,63,71,237,0,10110,arrowtooth flounder,Atheresthes stomias,470,Female,1074,6,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7474,201101,143,60,54.59932,-161.16078,54.59148,-161.17918,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,88,96,247,0,10110,arrowtooth flounder,Atheresthes stomias,500,Female,1172,7,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7474,201101,143,60,54.59932,-161.16078,54.59148,-161.17918,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,88,96,249,0,10110,arrowtooth flounder,Atheresthes stomias,230,Female,82,,,,,6,1,,5-Oct-20
GOA,2011,-667,-7474,201101,143,60,54.59932,-161.16078,54.59148,-161.17918,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,88,96,253,0,10110,arrowtooth flounder,Atheresthes stomias,120,Female,10,1,,,,6,1,3,5-Oct-20
GOA,2011,-667,-7475,201101,143,61,54.66043,-161.78693,54.64812,-161.78718,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,,,1.11,Y,Completed tow,121,128,269,0,10110,arrowtooth flounder,Atheresthes stomias,600,Female,1674,14,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7475,201101,143,61,54.66043,-161.78693,54.64812,-161.78718,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,,,1.11,Y,Completed tow,121,128,276,0,10110,arrowtooth flounder,Atheresthes stomias,190,Female,54,2,,,,6,1,3,5-Oct-20
GOA,2011,-667,-7476,201101,143,62,54.5603,-161.69933,54.57402,-161.70078,110,Shumagin,101,200,Sanak Gully,WESTERN GOA,GULLY,,,0,Y,Good performance,126,134,278,0,10110,arrowtooth flounder,Atheresthes stomias,460,Female,838,6,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7476,201101,143,62,54.5603,-161.69933,54.57402,-161.70078,110,Shumagin,101,200,Sanak Gully,WESTERN GOA,GULLY,,,0,Y,Good performance,126,134,280,0,10110,arrowtooth flounder,Atheresthes stomias,330,Female,278,4,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14923,201501,143,262,60.04973,-145.12351,60.05235,-145.14789,140,Yakutat,101,200,Middleton Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,115,121,626,0,10110,arrowtooth flounder,Atheresthes stomias,360,Female,400,5,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14934,201501,143,273,59.54613,-140.83159,59.54232,-140.80657,240,Yakutat,201,300,Yakutat Gullies,EASTERN GOA,GULLY,,,0,Y,Good performance,279,285,637,0,10110,arrowtooth flounder,Atheresthes stomias,500,Male,902,15,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14935,201501,143,274,59.56421,-140.76531,59.55978,-140.74085,240,Yakutat,201,300,Yakutat Gullies,EASTERN GOA,GULLY,,,0,Y,Good performance,265,271,644,0,10110,arrowtooth flounder,Atheresthes stomias,550,Female,1466,,,,,6,1,,5-Oct-20
GOA,2015,-699,-14935,201501,143,274,59.56421,-140.76531,59.55978,-140.74085,240,Yakutat,201,300,Yakutat Gullies,EASTERN GOA,GULLY,,,0,Y,Good performance,265,271,646,0,10110,arrowtooth flounder,Atheresthes stomias,440,Female,744,5,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14938,201501,143,277,59.37457,-139.6604,59.38268,-139.68043,142,Yakutat,101,200,Yakutat Flats,EASTERN GOA,SHELF,,,0,Y,Good performance,121,127,673,0,10110,arrowtooth flounder,Atheresthes stomias,220,Female,96,2,,,,6,1,3,5-Oct-20
GOA,2015,-699,-14939,201501,143,278,59.66973,-139.93345,59.65696,-139.93234,40,Yakutat,1,100,Yakutat Shallows,EASTERN GOA,SHELF,,,0,Y,Good performance,139,145,683,0,10110,arrowtooth flounder,Atheresthes stomias,290,Male,194,3,,,,6,1,3,5-Oct-20
GOA,2015,-699,-14939,201501,143,278,59.66973,-139.93345,59.65696,-139.93234,40,Yakutat,1,100,Yakutat Shallows,EASTERN GOA,SHELF,,,0,Y,Good performance,139,145,690,0,10110,arrowtooth flounder,Atheresthes stomias,330,Female,292,3,,,,6,1,3,5-Oct-20
GOA,2015,-699,-14944,201501,143,283,59.0931,-138.84913,59.09725,-138.87301,40,Yakutat,1,100,Yakutat Shallows,EASTERN GOA,SHELF,,,0,Y,Good performance,65,72,705,0,10110,arrowtooth flounder,Atheresthes stomias,160,Female,36,2,,,,6,1,3,5-Oct-20
GOA,2015,-699,-14948,201501,143,287,58.52352,-137.63381,58.51441,-137.65127,143,Yakutat,101,200,Fairweather Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,158,164,719,0,10110,arrowtooth flounder,Atheresthes stomias,620,Female,2350,16,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14948,201501,143,287,58.52352,-137.63381,58.51441,-137.65127,143,Yakutat,101,200,Fairweather Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,158,164,721,0,10110,arrowtooth flounder,Atheresthes stomias,340,Female,294,4,,,,6,1,3,5-Oct-20
GOA,2015,-699,-14952,201501,143,291,57.26881,-136.29586,57.25659,-136.28887,351,Southeastern,301,500,Southeastern Slope,EASTERN GOA,SLOPE,,,0,Y,Good performance,326,332,732,0,10110,arrowtooth flounder,Atheresthes stomias,450,Male,838,,,,,6,1,,5-Oct-20
GOA,2015,-699,-14953,201501,143,292,57.26661,-136.29705,57.27962,-136.30372,351,Southeastern,301,500,Southeastern Slope,EASTERN GOA,SLOPE,,,0,Y,Good performance,335,341,739,0,10110,arrowtooth flounder,Atheresthes stomias,450,Female,838,9,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14956,201501,143,295,56.52453,-135.69931,56.51263,-135.69062,250,Southeastern,201,300,Baranof-Chichagof Slope,EASTERN GOA,SLOPE,,,0,Y,Good performance,215,221,758,0,10110,arrowtooth flounder,Atheresthes stomias,480,Female,1016,8,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14956,201501,143,295,56.52453,-135.69931,56.51263,-135.69062,250,Southeastern,201,300,Baranof-Chichagof Slope,EASTERN GOA,SLOPE,,,0,Y,Good performance,215,221,761,0,10110,arrowtooth flounder,Atheresthes stomias,410,Female,586,5,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14957,201501,143,296,56.17889,-134.95428,56.17933,-134.93106,150,Southeastern,101,200,Baranof-Chichagof Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,175,181,763,0,10110,arrowtooth flounder,Atheresthes stomias,520,Female,1298,10,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14957,201501,143,296,56.17889,-134.95428,56.17933,-134.93106,150,Southeastern,101,200,Baranof-Chichagof Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,175,181,767,0,10110,arrowtooth flounder,Atheresthes stomias,540,Female,1588,8,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14961,201501,143,300,55.81783,-134.88243,55.81099,-134.90026,151,Southeastern,101,200,Prince of Wales Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,184,184,773,0,10110,arrowtooth flounder,Atheresthes stomias,400,Female,530,4,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14967,201501,143,306,55.47984,-134.29083,55.49256,-134.28335,151,Southeastern,101,200,Prince of Wales Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,157,164,799,0,10110,arrowtooth flounder,Atheresthes stomias,310,Female,256,3,,,,6,1,3,5-Oct-20
GOA,2015,-699,-14967,201501,143,306,55.47984,-134.29083,55.49256,-134.28335,151,Southeastern,101,200,Prince of Wales Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,157,164,802,0,10110,arrowtooth flounder,Atheresthes stomias,260,Female,140,2,,,,6,1,7,5-Oct-20
GOA,2015,-699,-14967,201501,143,306,55.47984,-134.29083,55.49256,-134.28335,151,Southeastern,101,200,Prince of Wales Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,157,164,804,0,10110,arrowtooth flounder,Atheresthes stomias,320,Male,290,,,,,6,1,,5-Oct-20
GOA,2015,-699,-14968,201501,143,307,55.6416,-134.16792,55.64631,-134.14517,251,Southeastern,201,300,Prince of Wales Slope/Gullies,EASTERN GOA,SLOPE,,,0,Y,Good performance,214,220,817,0,10110,arrowtooth flounder,Atheresthes stomias,680,Female,3546,17,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14968,201501,143,307,55.6416,-134.16792,55.64631,-134.14517,251,Southeastern,201,300,Prince of Wales Slope/Gullies,EASTERN GOA,SLOPE,,,0,Y,Good performance,214,220,821,0,10110,arrowtooth flounder,Atheresthes stomias,640,Female,2538,13,,,,6,1,6,5-Oct-20
GOA,2015,-699,-14969,201501,143,308,55.59165,-134.16387,55.6006,-134.14683,151,Southeastern,101,200,Prince of Wales Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,158,165,831,0,10110,arrowtooth flounder,Atheresthes stomias,180,Male,42,1,,,,6,1,3,5-Oct-20
GOA,2017,-715,-16898,201701,143,194,59.72355,-151.12855,59.72963,-151.10448,32,Kodiak,1,100,Lower Cook Inlet,CENTRAL GOA,SHELF,,,0,Y,Good performance,43,50,334,0,10110,arrowtooth flounder,Atheresthes stomias,160,Female,26,2,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16906,201701,143,202,59.35788,-150.52587,59.34533,-150.53408,33,Kodiak,1,100,Kenai Peninsula,CENTRAL GOA,SHELF,,,0,Y,Good performance,285,291,344,0,10110,arrowtooth flounder,Atheresthes stomias,410,Female,568,6,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16908,201701,143,204,59.19892,-150.34945,59.19906,-150.32259,133,Kodiak,101,200,Kenai Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,178,183,348,0,10110,arrowtooth flounder,Atheresthes stomias,370,Female,416,4,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16918,201701,143,214,58.63916,-150.41524,58.63695,-150.39023,131,Kodiak,101,200,Portlock Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,188,195,368,0,10110,arrowtooth flounder,Atheresthes stomias,340,Male,330,5,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16924,201701,143,220,58.95271,-149.74143,58.96418,-149.75441,230,Kodiak,201,300,Kenai Gullies,CENTRAL GOA,GULLY,,,0,Y,Good performance,225,231,379,0,10110,arrowtooth flounder,Atheresthes stomias,470,Male,800,8,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16928,201701,143,224,59.79599,-149.31465,59.7988,-149.34007,133,Kodiak,101,200,Kenai Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,268,274,387,0,10110,arrowtooth flounder,Atheresthes stomias,360,Female,362,5,,,,1,1,6,5-Oct-20
GOA,2017,-715,-16928,201701,143,224,59.79599,-149.31465,59.7988,-149.34007,133,Kodiak,101,200,Kenai Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,268,274,388,0,10110,arrowtooth flounder,Atheresthes stomias,420,Female,658,5,,,,1,1,6,5-Oct-20
GOA,2017,-715,-17307,201701,143,225,60.03711,-149.36127,60.02408,-149.36059,33,Kodiak,1,100,Kenai Peninsula,CENTRAL GOA,SHELF,,,0,Y,Good performance,285,291,389,0,10110,arrowtooth flounder,Atheresthes stomias,460,Male,792,6,,,,1,1,6,5-Oct-20
GOA,2017,-715,-17313,201701,143,231,59.14982,-147.8421,59.1494,-147.86801,230,Kodiak,201,300,Kenai Gullies,CENTRAL GOA,GULLY,,,0,Y,Good performance,198,204,402,0,10110,arrowtooth flounder,Atheresthes stomias,400,Female,530,5,,,,1,1,6,5-Oct-20
GOA,2011,-667,-7489,201101,143,75,54.51228,-161.3308,54.4988,-161.33178,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,,,0,Y,Good performance,92,99,287,0,10110,arrowtooth flounder,Atheresthes stomias,120,Female,8,1,,,,6,1,3,5-Oct-20
GOA,2011,-667,-7744,201101,143,82,55.76027,-159.42927,55.75032,-159.44518,12,Shumagin,1,100,Lower Alaska Peninsula,WESTERN GOA,SHELF,,,0,Y,Good performance,85,93,293,0,10110,arrowtooth flounder,Atheresthes stomias,220,Male,76,2,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7750,201101,143,88,55.93113,-158.47017,55.9294,-158.4468,20,Chirikof,1,100,Upper Alaska Peninsula,CENTRAL GOA,SHELF,,,0,Y,Good performance,89,97,311,0,10110,arrowtooth flounder,Atheresthes stomias,270,Male,150,3,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7750,201101,143,88,55.93113,-158.47017,55.9294,-158.4468,20,Chirikof,1,100,Upper Alaska Peninsula,CENTRAL GOA,SHELF,,,0,Y,Good performance,89,97,318,0,10110,arrowtooth flounder,Atheresthes stomias,220,Female,86,2,,,,6,1,3,5-Oct-20
GOA,2011,-667,-7753,201101,143,91,56.0227,-157.7335,56.0356,-157.72825,21,Chirikof,1,100,Semidi Bank,CENTRAL GOA,SHELF,,,0,Y,Good performance,86,94,327,0,10110,arrowtooth flounder,Atheresthes stomias,790,Female,4882,25,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7756,201101,143,94,56.47,-157.78963,56.45872,-157.80105,20,Chirikof,1,100,Upper Alaska Peninsula,CENTRAL GOA,SHELF,,,0,Y,Good performance,69,76,338,0,10110,arrowtooth flounder,Atheresthes stomias,330,Female,280,5,,,,6,1,6,5-Oct-20
GOA,2011,-667,-7756,201101,143,94,56.47,-157.78963,56.45872,-157.80105,20,Chirikof,1,100,Upper Alaska Peninsula,CENTRAL GOA,SHELF,,,0,Y,Good performance,69,76,343,0,10110,arrowtooth flounder,Atheresthes stomias,290,Male,190,3,,,,6,1,3,5-Oct-20
